# event_ticker=KXATPCHALLENGERMATCH-26MAR10FARMAR
# final_score=6-7(3) 6-4 7-5
# score_resolution=6-7 6-4 7-5
# match_winner=Igor Marcondes
# fav_player=Igor Marcondes
# dog_player=Jaime Faria
# kalshi_date=2026-03-10
timestamp,Igor Marcondes,Jaime Faria
2026-03-10T05:15:00Z,35.00,
2026-03-10T06:15:00Z,35.00,66.00
2026-03-10T06:22:00Z,36.07,66.00
2026-03-10T09:03:00Z,36.07,67.00
2026-03-10T10:42:00Z,36.07,67.00
2026-03-10T10:56:00Z,36.00,67.00
2026-03-10T12:34:00Z,36.00,67.00
2026-03-10T12:35:00Z,36.00,67.00
2026-03-10T12:50:00Z,36.00,67.00
2026-03-10T12:55:00Z,36.00,67.00
2026-03-10T12:59:00Z,36.00,67.00
2026-03-10T13:08:00Z,37.92,67.00
2026-03-10T13:09:00Z,40.05,63.00
2026-03-10T13:11:00Z,43.00,63.00
2026-03-10T13:12:00Z,43.00,62.35
2026-03-10T13:13:00Z,42.00,60.00
2026-03-10T13:14:00Z,42.00,63.00
2026-03-10T13:15:00Z,42.00,64.00
2026-03-10T13:16:00Z,34.52,67.00
2026-03-10T13:17:00Z,40.00,65.00
2026-03-10T13:18:00Z,40.00,65.00
2026-03-10T13:19:00Z,42.00,60.00
2026-03-10T13:20:00Z,42.00,60.00
2026-03-10T13:21:00Z,42.00,64.00
2026-03-10T13:22:00Z,42.00,64.51
2026-03-10T13:24:00Z,42.00,61.89
2026-03-10T13:26:00Z,43.91,58.63
2026-03-10T13:28:00Z,46.01,54.00
2026-03-10T13:29:00Z,43.00,59.45
2026-03-10T13:30:00Z,43.00,62.00
2026-03-10T13:31:00Z,37.43,66.00
2026-03-10T13:32:00Z,37.43,64.00
2026-03-10T13:33:00Z,44.00,64.00
2026-03-10T13:34:00Z,44.18,60.00
2026-03-10T13:35:00Z,45.24,60.00
2026-03-10T13:36:00Z,45.24,57.00
2026-03-10T13:37:00Z,50.00,57.00
2026-03-10T13:38:00Z,50.00,61.60
2026-03-10T13:39:00Z,37.65,61.60
2026-03-10T13:40:00Z,41.50,55.97
2026-03-10T13:41:00Z,41.50,54.00
2026-03-10T13:42:00Z,41.50,58.77
2026-03-10T13:43:00Z,46.00,56.00
2026-03-10T13:44:00Z,46.00,52.00
2026-03-10T13:45:00Z,47.09,51.72
2026-03-10T13:46:00Z,52.13,57.90
2026-03-10T13:47:00Z,46.54,57.90
2026-03-10T13:48:00Z,51.94,57.90
2026-03-10T13:49:00Z,51.00,51.00
2026-03-10T13:50:00Z,47.00,54.24
2026-03-10T13:51:00Z,44.40,53.17
