# event_ticker=KXATPCHALLENGERMATCH-26MAY21BARMIC
# final_score=6-3 6-4
# match_winner=Hynek Barton
# fav_player=Hynek Barton
# dog_player=Daniel Michalski
# kalshi_date=2026-05-21
timestamp,Hynek Barton,Daniel Michalski
2026-05-21T13:32:00Z,,38.00
2026-05-21T13:41:00Z,64.00,35.00
2026-05-21T13:43:00Z,65.00,35.00
2026-05-21T13:44:00Z,65.00,35.00
2026-05-21T14:04:00Z,70.00,35.00
2026-05-21T14:05:00Z,70.00,33.00
2026-05-21T14:06:00Z,70.00,31.99
2026-05-21T14:19:00Z,69.12,31.99
2026-05-21T14:30:00Z,71.00,31.99
2026-05-21T14:37:00Z,71.00,32.88
2026-05-21T14:44:00Z,71.00,33.00
2026-05-21T14:50:00Z,71.00,33.00
2026-05-21T14:56:00Z,71.00,33.00
2026-05-21T15:01:00Z,71.00,30.00
2026-05-21T15:10:00Z,71.00,33.00
2026-05-21T15:17:00Z,71.00,32.00
2026-05-21T15:23:00Z,69.83,32.00
2026-05-21T15:24:00Z,71.00,30.00
2026-05-21T15:25:00Z,71.27,30.00
2026-05-21T15:27:00Z,78.51,30.00
2026-05-21T15:28:00Z,79.19,17.00
2026-05-21T15:29:00Z,83.49,14.97
2026-05-21T15:30:00Z,85.00,15.12
2026-05-21T15:31:00Z,86.00,15.00
2026-05-21T15:32:00Z,87.73,15.00
2026-05-21T15:33:00Z,89.99,10.59
2026-05-21T15:34:00Z,88.36,13.69
2026-05-21T15:35:00Z,86.99,14.00
2026-05-21T15:36:00Z,86.00,14.11
2026-05-21T15:37:00Z,86.69,14.16
2026-05-21T15:38:00Z,89.00,15.08
2026-05-21T15:39:00Z,90.91,13.52
2026-05-21T15:40:00Z,90.57,11.00
2026-05-21T15:41:00Z,89.82,10.99
2026-05-21T15:42:00Z,88.97,13.81
2026-05-21T15:43:00Z,86.10,14.95
2026-05-21T15:44:00Z,86.49,14.10
2026-05-21T15:45:00Z,85.02,15.69
2026-05-21T15:46:00Z,84.80,17.00
2026-05-21T15:47:00Z,84.64,17.88
2026-05-21T15:48:00Z,82.00,18.90
2026-05-21T15:49:00Z,84.11,16.89
2026-05-21T15:50:00Z,86.73,15.04
2026-05-21T15:51:00Z,86.87,15.10
2026-05-21T15:52:00Z,86.00,17.24
2026-05-21T15:53:00Z,83.66,15.15
2026-05-21T15:54:00Z,83.27,17.21
2026-05-21T15:55:00Z,83.00,18.07
2026-05-21T15:56:00Z,85.55,15.05
2026-05-21T15:57:00Z,87.07,13.94
2026-05-21T15:58:00Z,87.35,14.00
2026-05-21T15:59:00Z,87.00,13.98
2026-05-21T16:00:00Z,88.03,12.04
2026-05-21T16:01:00Z,88.74,13.14
2026-05-21T16:02:00Z,88.57,12.78
2026-05-21T16:03:00Z,90.99,14.90
2026-05-21T16:04:00Z,90.32,11.16
2026-05-21T16:05:00Z,94.30,6.66
2026-05-21T16:06:00Z,94.23,6.91
2026-05-21T16:07:00Z,95.25,5.80
2026-05-21T16:08:00Z,95.85,5.92
2026-05-21T16:09:00Z,94.88,5.07
2026-05-21T16:10:00Z,94.71,5.36
2026-05-21T16:11:00Z,94.10,6.65
2026-05-21T16:12:00Z,93.85,5.83
2026-05-21T16:13:00Z,93.47,6.17
2026-05-21T16:14:00Z,93.91,7.01
2026-05-21T16:15:00Z,93.55,8.69
2026-05-21T16:16:00Z,94.66,5.71
2026-05-21T16:17:00Z,94.57,4.35
2026-05-21T16:18:00Z,96.38,5.07
2026-05-21T16:19:00Z,94.34,5.59
2026-05-21T16:20:00Z,94.51,6.00
2026-05-21T16:21:00Z,94.26,6.34
2026-05-21T16:22:00Z,95.86,4.93
2026-05-21T16:23:00Z,96.40,5.04
2026-05-21T16:24:00Z,97.00,2.92
2026-05-21T16:25:00Z,97.62,3.37
2026-05-21T16:26:00Z,96.00,5.00
2026-05-21T16:27:00Z,96.90,5.50
2026-05-21T16:28:00Z,95.80,6.00
2026-05-21T16:29:00Z,94.07,7.61
2026-05-21T16:30:00Z,97.96,3.60
2026-05-21T16:31:00Z,97.98,2.36
2026-05-21T16:32:00Z,99.00,1.06
2026-05-21T16:33:00Z,99.00,1.80
2026-05-21T16:34:00Z,98.16,1.23
2026-05-21T16:35:00Z,96.85,2.21
2026-05-21T16:36:00Z,96.95,3.22
2026-05-21T16:37:00Z,96.76,3.72
2026-05-21T16:38:00Z,97.02,2.43
2026-05-21T16:39:00Z,99.00,1.10
2026-05-21T16:40:00Z,98.47,1.46
2026-05-21T16:42:00Z,99.00,1.46
2026-05-21T16:44:00Z,99.00,1.46
2026-05-21T16:45:00Z,99.00,1.00
