# event_ticker=KXATPCHALLENGERMATCH-26JUN01FERMAR
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Pedro Martinez
# fav_player=Frederico Ferreira Silva
# dog_player=Pedro Martinez
# kalshi_date=2026-06-01
timestamp,Frederico Ferreira Silva,Pedro Martinez
2026-06-01T02:06:00Z,38.00,
2026-06-01T02:44:00Z,38.00,65.00
2026-06-01T03:25:00Z,38.00,65.00
2026-06-01T03:42:00Z,37.00,65.00
2026-06-01T04:02:00Z,37.00,65.00
2026-06-01T04:29:00Z,37.00,65.00
2026-06-01T04:41:00Z,37.00,65.00
2026-06-01T04:54:00Z,37.00,65.00
2026-06-01T04:57:00Z,37.00,65.00
2026-06-01T05:15:00Z,37.00,65.00
2026-06-01T05:21:00Z,37.00,63.00
2026-06-01T05:30:00Z,36.00,63.00
2026-06-01T05:38:00Z,36.00,65.00
2026-06-01T06:00:00Z,35.00,65.00
2026-06-01T06:33:00Z,35.00,65.00
2026-06-01T07:55:00Z,35.00,65.60
2026-06-01T10:32:00Z,35.00,64.00
2026-06-01T12:09:00Z,35.00,64.00
2026-06-01T12:11:00Z,35.00,64.00
2026-06-01T12:24:00Z,35.00,64.67
2026-06-01T12:25:00Z,35.00,66.00
2026-06-01T12:32:00Z,35.00,65.00
2026-06-01T12:35:00Z,35.00,65.00
2026-06-01T12:36:00Z,35.00,65.00
2026-06-01T12:39:00Z,35.00,65.00
2026-06-01T12:40:00Z,35.00,65.00
2026-06-01T12:43:00Z,35.00,65.00
2026-06-01T12:48:00Z,35.00,65.00
2026-06-01T12:49:00Z,35.00,65.00
2026-06-01T13:07:00Z,36.00,65.00
2026-06-01T13:13:00Z,36.00,66.00
2026-06-01T13:17:00Z,36.00,66.00
2026-06-01T13:18:00Z,36.00,66.00
2026-06-01T13:20:00Z,36.00,66.00
2026-06-01T13:21:00Z,36.17,66.00
2026-06-01T13:32:00Z,36.17,65.00
2026-06-01T13:41:00Z,36.17,66.00
2026-06-01T13:53:00Z,36.17,66.00
2026-06-01T13:57:00Z,36.17,66.00
2026-06-01T14:05:00Z,39.00,60.06
2026-06-01T14:06:00Z,34.99,66.00
2026-06-01T14:07:00Z,29.94,69.18
2026-06-01T14:08:00Z,30.03,69.51
2026-06-01T14:09:00Z,28.78,72.01
2026-06-01T14:10:00Z,27.00,72.01
2026-06-01T14:11:00Z,27.00,76.00
2026-06-01T14:12:00Z,23.00,77.02
2026-06-01T14:13:00Z,23.56,77.86
2026-06-01T14:14:00Z,23.38,76.25
2026-06-01T14:15:00Z,23.00,77.26
2026-06-01T14:16:00Z,21.00,80.21
2026-06-01T14:17:00Z,20.22,80.00
2026-06-01T14:18:00Z,17.21,82.98
2026-06-01T14:19:00Z,15.76,84.00
2026-06-01T14:20:00Z,15.76,85.07
2026-06-01T14:21:00Z,14.00,85.95
2026-06-01T14:22:00Z,13.93,86.07
2026-06-01T14:23:00Z,14.00,86.06
2026-06-01T14:24:00Z,13.00,87.00
2026-06-01T14:25:00Z,13.99,87.00
2026-06-01T14:26:00Z,14.00,86.29
2026-06-01T14:27:00Z,13.00,87.89
2026-06-01T14:28:00Z,11.87,88.00
2026-06-01T14:29:00Z,13.00,87.54
2026-06-01T14:30:00Z,12.00,87.99
2026-06-01T14:31:00Z,13.38,87.00
2026-06-01T14:32:00Z,14.00,87.00
2026-06-01T14:33:00Z,14.00,87.00
2026-06-01T14:34:00Z,13.50,87.97
2026-06-01T14:35:00Z,12.70,88.00
2026-06-01T14:36:00Z,14.22,86.13
2026-06-01T14:37:00Z,16.00,85.71
2026-06-01T14:38:00Z,16.71,84.72
2026-06-01T14:39:00Z,14.00,84.72
2026-06-01T14:40:00Z,13.00,87.00
2026-06-01T14:41:00Z,13.00,87.00
2026-06-01T14:42:00Z,13.46,86.52
2026-06-01T14:43:00Z,13.85,87.00
2026-06-01T14:44:00Z,14.00,87.00
2026-06-01T14:45:00Z,13.24,87.00
2026-06-01T14:46:00Z,13.00,87.76
2026-06-01T14:47:00Z,13.00,88.04
2026-06-01T14:48:00Z,13.00,88.00
2026-06-01T14:49:00Z,13.00,89.00
2026-06-01T14:50:00Z,13.75,88.31
2026-06-01T14:51:00Z,14.86,86.06
2026-06-01T14:52:00Z,14.94,86.00
2026-06-01T14:53:00Z,14.25,86.00
2026-06-01T14:54:00Z,15.00,86.00
2026-06-01T14:55:00Z,14.00,85.91
2026-06-01T14:56:00Z,16.98,83.98
2026-06-01T14:57:00Z,20.32,80.97
2026-06-01T14:58:00Z,24.33,76.12
2026-06-01T14:59:00Z,27.71,73.13
2026-06-01T15:00:00Z,30.09,67.84
2026-06-01T15:01:00Z,31.97,69.00
2026-06-01T15:02:00Z,31.97,69.00
2026-06-01T15:03:00Z,30.75,69.92
2026-06-01T15:04:00Z,31.96,70.29
2026-06-01T15:05:00Z,33.69,67.08
2026-06-01T15:06:00Z,30.75,69.92
2026-06-01T15:07:00Z,30.00,71.25
2026-06-01T15:08:00Z,31.13,70.42
2026-06-01T15:09:00Z,32.93,68.14
2026-06-01T15:10:00Z,34.98,66.04
2026-06-01T15:11:00Z,33.91,66.29
2026-06-01T15:12:00Z,34.97,65.73
2026-06-01T15:13:00Z,35.00,66.00
2026-06-01T15:14:00Z,34.71,65.66
2026-06-01T15:15:00Z,35.84,65.93
2026-06-01T15:16:00Z,33.87,67.00
2026-06-01T15:17:00Z,31.80,67.77
2026-06-01T15:18:00Z,31.00,69.97
2026-06-01T15:19:00Z,30.67,68.94
2026-06-01T15:20:00Z,30.97,69.99
2026-06-01T15:21:00Z,33.89,67.00
2026-06-01T15:22:00Z,26.68,71.54
2026-06-01T15:23:00Z,20.10,80.29
2026-06-01T15:24:00Z,19.64,80.78
2026-06-01T15:25:00Z,17.22,82.38
2026-06-01T15:26:00Z,17.55,83.85
2026-06-01T15:27:00Z,18.75,83.93
2026-06-01T15:28:00Z,17.07,82.85
2026-06-01T15:29:00Z,15.35,85.00
2026-06-01T15:30:00Z,13.04,88.02
2026-06-01T15:31:00Z,15.33,86.85
2026-06-01T15:32:00Z,18.60,81.33
2026-06-01T15:33:00Z,20.86,80.75
2026-06-01T15:34:00Z,20.29,79.94
2026-06-01T15:35:00Z,19.57,79.67
2026-06-01T15:36:00Z,17.86,82.97
2026-06-01T15:37:00Z,15.22,85.07
2026-06-01T15:38:00Z,15.20,85.09
2026-06-01T15:39:00Z,11.06,90.21
2026-06-01T15:40:00Z,5.29,94.76
2026-06-01T15:41:00Z,6.48,96.50
2026-06-01T15:42:00Z,2.92,97.66
2026-06-01T15:43:00Z,4.30,96.69
2026-06-01T15:44:00Z,4.61,95.42
2026-06-01T15:45:00Z,2.16,97.94
2026-06-01T15:46:00Z,1.28,98.94
2026-06-01T15:47:00Z,1.00,99.00
