# event_ticker=KXATPCHALLENGERMATCH-26APR28BARFUK
# final_score=7-5 7-6(3)
# score_resolution=7-5 7-6
# match_winner=Petr Bar Biryukov
# fav_player=Petr Bar Biryukov
# dog_player=Sora Fukuda
# kalshi_date=2026-04-28
timestamp,Petr Bar Biryukov,Sora Fukuda
2026-04-27T20:02:00Z,61.00,
2026-04-27T22:51:00Z,62.00,
2026-04-27T23:22:00Z,62.00,39.00
2026-04-28T01:23:00Z,62.00,39.00
2026-04-28T02:34:00Z,62.00,39.00
2026-04-28T02:41:00Z,62.00,39.00
2026-04-28T03:39:00Z,62.00,40.00
2026-04-28T03:40:00Z,62.00,40.00
2026-04-28T03:43:00Z,62.00,40.00
2026-04-28T03:56:00Z,62.00,40.00
2026-04-28T03:57:00Z,62.00,39.01
2026-04-28T04:04:00Z,62.00,39.01
2026-04-28T04:07:00Z,62.00,39.01
2026-04-28T04:16:00Z,62.00,40.00
2026-04-28T04:18:00Z,62.00,40.00
2026-04-28T04:20:00Z,62.00,40.00
2026-04-28T04:21:00Z,62.00,40.00
2026-04-28T04:22:00Z,62.00,40.00
2026-04-28T04:25:00Z,62.00,40.00
2026-04-28T04:36:00Z,62.00,40.00
2026-04-28T04:40:00Z,62.00,40.00
2026-04-28T04:41:00Z,62.00,40.00
2026-04-28T04:49:00Z,61.87,40.00
2026-04-28T05:09:00Z,63.34,40.00
2026-04-28T05:10:00Z,61.97,39.20
2026-04-28T05:11:00Z,55.27,45.04
2026-04-28T05:12:00Z,59.82,41.00
2026-04-28T05:13:00Z,62.54,41.00
2026-04-28T05:14:00Z,63.00,41.00
2026-04-28T05:16:00Z,69.67,41.00
2026-04-28T05:17:00Z,76.53,41.00
2026-04-28T05:18:00Z,78.00,24.46
2026-04-28T05:19:00Z,79.00,24.87
2026-04-28T05:20:00Z,76.61,23.00
2026-04-28T05:21:00Z,79.00,24.00
2026-04-28T05:22:00Z,75.34,27.38
2026-04-28T05:23:00Z,69.90,31.76
2026-04-28T05:24:00Z,70.00,34.37
2026-04-28T05:25:00Z,73.10,28.00
2026-04-28T05:26:00Z,75.00,28.00
2026-04-28T05:27:00Z,70.00,29.20
2026-04-28T05:28:00Z,71.00,33.73
2026-04-28T05:29:00Z,63.51,40.62
2026-04-28T05:30:00Z,56.59,44.32
2026-04-28T05:31:00Z,59.66,44.87
2026-04-28T05:32:00Z,61.69,39.06
2026-04-28T05:33:00Z,62.25,41.15
2026-04-28T05:34:00Z,62.63,41.86
2026-04-28T05:35:00Z,66.35,41.86
2026-04-28T05:36:00Z,67.34,38.83
2026-04-28T05:37:00Z,66.93,36.98
2026-04-28T05:38:00Z,59.77,42.28
2026-04-28T05:39:00Z,57.82,46.46
2026-04-28T05:40:00Z,60.09,41.07
2026-04-28T05:41:00Z,61.98,39.13
2026-04-28T05:42:00Z,61.52,39.59
2026-04-28T05:43:00Z,59.34,43.33
2026-04-28T05:44:00Z,56.75,46.13
2026-04-28T05:45:00Z,44.08,57.10
2026-04-28T05:46:00Z,36.13,62.84
2026-04-28T05:47:00Z,33.14,67.47
2026-04-28T05:48:00Z,33.17,71.67
2026-04-28T05:49:00Z,30.11,71.35
2026-04-28T05:50:00Z,34.57,66.79
2026-04-28T05:51:00Z,42.68,59.09
2026-04-28T05:52:00Z,50.90,51.75
2026-04-28T05:53:00Z,45.22,53.10
2026-04-28T05:54:00Z,53.17,50.04
2026-04-28T05:55:00Z,58.53,39.72
2026-04-28T05:56:00Z,60.75,40.25
2026-04-28T05:57:00Z,71.26,29.25
2026-04-28T05:58:00Z,77.69,25.74
2026-04-28T05:59:00Z,80.21,17.15
2026-04-28T06:00:00Z,80.70,19.07
2026-04-28T06:01:00Z,82.34,19.18
2026-04-28T06:02:00Z,80.59,19.00
2026-04-28T06:03:00Z,82.34,18.93
2026-04-28T06:04:00Z,83.35,16.99
2026-04-28T06:05:00Z,84.50,17.40
2026-04-28T06:06:00Z,84.92,13.80
2026-04-28T06:07:00Z,83.40,17.08
2026-04-28T06:08:00Z,81.62,18.99
2026-04-28T06:09:00Z,84.11,15.68
2026-04-28T06:10:00Z,84.31,15.17
2026-04-28T06:11:00Z,83.04,19.07
2026-04-28T06:12:00Z,83.27,16.40
2026-04-28T06:13:00Z,84.05,16.14
2026-04-28T06:14:00Z,84.59,15.06
2026-04-28T06:15:00Z,84.98,14.93
2026-04-28T06:16:00Z,82.16,17.47
2026-04-28T06:17:00Z,80.13,20.26
2026-04-28T06:18:00Z,81.00,22.00
2026-04-28T06:19:00Z,78.77,24.76
2026-04-28T06:20:00Z,80.27,20.20
2026-04-28T06:21:00Z,82.14,18.83
2026-04-28T06:22:00Z,84.94,14.77
2026-04-28T06:23:00Z,86.12,16.00
2026-04-28T06:24:00Z,94.24,5.62
2026-04-28T06:25:00Z,94.74,5.15
2026-04-28T06:26:00Z,95.76,1.52
2026-04-28T06:27:00Z,97.80,1.88
2026-04-28T06:28:00Z,98.82,2.50
2026-04-28T06:29:00Z,98.31,2.09
2026-04-28T06:30:00Z,97.50,2.63
2026-04-28T06:31:00Z,98.55,2.68
2026-04-28T06:32:00Z,96.40,3.67
2026-04-28T06:33:00Z,97.72,5.78
2026-04-28T06:34:00Z,92.69,9.62
2026-04-28T06:35:00Z,83.96,15.84
2026-04-28T06:36:00Z,83.80,16.50
2026-04-28T06:37:00Z,84.28,16.43
2026-04-28T06:38:00Z,87.07,15.40
2026-04-28T06:39:00Z,82.03,19.20
2026-04-28T06:40:00Z,83.58,16.24
2026-04-28T06:41:00Z,83.16,16.32
2026-04-28T06:42:00Z,82.57,18.00
2026-04-28T06:43:00Z,89.73,13.82
2026-04-28T06:44:00Z,97.70,3.47
2026-04-28T06:45:00Z,95.22,5.97
2026-04-28T06:46:00Z,88.14,11.23
2026-04-28T06:47:00Z,80.73,19.16
