# event_ticker=KXATPCHALLENGERMATCH-26JUN03POLMEJ
# final_score=6-4 6-4
# match_winner=Karl Poling
# fav_player=Karl Poling
# dog_player=Nicolas Mejia
# kalshi_date=2026-06-03
timestamp,Karl Poling,Nicolas Mejia
2026-06-03T18:03:00Z,28.00,
2026-06-03T18:14:00Z,20.00,84.00
2026-06-03T18:15:00Z,20.00,84.00
2026-06-03T18:19:00Z,20.00,84.00
2026-06-03T18:36:00Z,19.95,84.00
2026-06-03T18:38:00Z,18.00,84.00
2026-06-03T18:57:00Z,18.00,83.00
2026-06-03T19:03:00Z,18.00,83.00
2026-06-03T19:06:00Z,18.00,83.00
2026-06-03T19:31:00Z,18.00,82.00
2026-06-03T19:33:00Z,18.00,82.00
2026-06-03T19:37:00Z,18.00,82.00
2026-06-03T19:38:00Z,18.00,82.00
2026-06-03T19:39:00Z,17.00,82.00
2026-06-03T19:42:00Z,21.09,82.00
2026-06-03T19:44:00Z,21.00,82.00
2026-06-03T19:46:00Z,21.00,80.87
2026-06-03T19:47:00Z,22.00,80.87
2026-06-03T19:48:00Z,21.90,79.79
2026-06-03T19:49:00Z,23.54,76.59
2026-06-03T19:50:00Z,26.65,76.20
2026-06-03T19:51:00Z,32.10,75.00
2026-06-03T19:52:00Z,29.45,77.03
2026-06-03T19:53:00Z,31.26,77.03
2026-06-03T19:54:00Z,28.32,74.95
2026-06-03T19:55:00Z,26.00,79.83
2026-06-03T19:56:00Z,26.00,78.30
2026-06-03T19:57:00Z,27.71,75.00
2026-06-03T19:58:00Z,27.00,75.00
2026-06-03T19:59:00Z,27.99,75.00
2026-06-03T20:00:00Z,28.06,75.00
2026-06-03T20:01:00Z,27.03,74.00
2026-06-03T20:02:00Z,28.92,74.00
2026-06-03T20:03:00Z,29.36,71.61
2026-06-03T20:04:00Z,28.16,72.59
2026-06-03T20:05:00Z,28.06,74.00
2026-06-03T20:06:00Z,27.00,74.00
2026-06-03T20:07:00Z,28.55,74.00
2026-06-03T20:08:00Z,29.00,72.02
2026-06-03T20:10:00Z,31.00,72.02
2026-06-03T20:11:00Z,31.94,71.82
2026-06-03T20:12:00Z,30.01,71.00
2026-06-03T20:13:00Z,30.00,71.00
2026-06-03T20:14:00Z,24.04,75.24
2026-06-03T20:15:00Z,22.00,78.97
2026-06-03T20:16:00Z,17.19,79.98
2026-06-03T20:17:00Z,21.72,80.52
2026-06-03T20:18:00Z,22.66,77.63
2026-06-03T20:19:00Z,25.49,75.89
2026-06-03T20:20:00Z,32.25,70.59
2026-06-03T20:21:00Z,31.00,68.30
2026-06-03T20:22:00Z,36.26,66.30
2026-06-03T20:23:00Z,40.05,61.35
2026-06-03T20:24:00Z,38.36,60.43
2026-06-03T20:25:00Z,35.00,65.60
2026-06-03T20:26:00Z,29.27,68.48
2026-06-03T20:27:00Z,29.63,70.00
2026-06-03T20:28:00Z,30.82,70.00
2026-06-03T20:29:00Z,35.98,70.00
2026-06-03T20:30:00Z,35.14,68.00
2026-06-03T20:31:00Z,36.00,64.43
2026-06-03T20:32:00Z,44.35,60.86
2026-06-03T20:33:00Z,43.17,59.77
2026-06-03T20:34:00Z,39.86,63.74
2026-06-03T20:35:00Z,42.68,61.58
2026-06-03T20:36:00Z,51.93,51.51
2026-06-03T20:37:00Z,55.85,47.29
2026-06-03T20:38:00Z,51.73,55.17
2026-06-03T20:39:00Z,52.59,53.46
2026-06-03T20:40:00Z,48.95,61.96
2026-06-03T20:41:00Z,48.64,56.45
2026-06-03T20:42:00Z,48.97,57.75
