# event_ticker=KXATPCHALLENGERMATCH-26APR21BOUSCH
# final_score=6-4 6-3
# match_winner=Cesar Bouchelaghem
# fav_player=Cesar Bouchelaghem
# dog_player=Jeremy Schifris
# kalshi_date=2026-04-21
timestamp,Cesar Bouchelaghem,Jeremy Schifris
2026-04-21T18:28:00Z,58.64,
2026-04-21T18:51:00Z,75.00,54.00
2026-04-21T18:52:00Z,66.71,44.01
2026-04-21T18:53:00Z,47.00,59.00
2026-04-21T18:54:00Z,74.99,35.78
2026-04-21T18:55:00Z,73.44,26.43
2026-04-21T18:56:00Z,75.98,34.05
2026-04-21T18:57:00Z,75.98,32.31
2026-04-21T18:58:00Z,75.98,31.56
2026-04-21T18:59:00Z,62.56,40.06
2026-04-21T19:00:00Z,76.04,38.25
2026-04-21T19:01:00Z,76.04,38.00
2026-04-21T19:02:00Z,67.13,39.84
2026-04-21T19:03:00Z,67.13,23.66
2026-04-21T19:04:00Z,67.13,22.05
2026-04-21T19:05:00Z,67.13,19.29
2026-04-21T19:06:00Z,84.33,20.48
2026-04-21T19:07:00Z,86.99,16.59
2026-04-21T19:08:00Z,86.73,13.07
2026-04-21T19:09:00Z,89.00,8.67
2026-04-21T19:10:00Z,86.28,15.96
2026-04-21T19:11:00Z,87.61,17.00
2026-04-21T19:12:00Z,89.11,11.61
2026-04-21T19:13:00Z,88.98,10.04
2026-04-21T19:14:00Z,89.91,13.13
2026-04-21T19:15:00Z,88.86,14.00
2026-04-21T19:16:00Z,88.86,14.00
2026-04-21T19:17:00Z,88.86,15.14
2026-04-21T19:18:00Z,88.86,21.11
2026-04-21T19:19:00Z,88.86,23.81
2026-04-21T19:20:00Z,88.86,32.35
2026-04-21T19:21:00Z,76.00,30.07
2026-04-21T19:22:00Z,73.52,27.07
2026-04-21T19:23:00Z,79.99,23.33
2026-04-21T19:24:00Z,81.45,23.54
2026-04-21T19:25:00Z,81.45,25.37
2026-04-21T19:26:00Z,74.19,27.50
2026-04-21T19:27:00Z,72.98,28.77
2026-04-21T19:28:00Z,71.96,27.60
2026-04-21T19:29:00Z,73.00,26.50
2026-04-21T19:30:00Z,73.39,29.18
2026-04-21T19:31:00Z,75.54,24.99
2026-04-21T19:32:00Z,76.25,29.16
2026-04-21T19:33:00Z,79.11,28.44
2026-04-21T19:34:00Z,85.04,20.53
2026-04-21T19:35:00Z,81.78,16.52
2026-04-21T19:36:00Z,81.78,15.97
2026-04-21T19:37:00Z,84.20,21.31
2026-04-21T19:38:00Z,84.20,23.00
2026-04-21T19:40:00Z,88.66,19.98
2026-04-21T19:41:00Z,87.15,23.00
2026-04-21T19:42:00Z,86.85,19.99
2026-04-21T19:43:00Z,82.18,20.00
2026-04-21T19:44:00Z,87.00,20.00
2026-04-21T19:45:00Z,85.89,15.40
2026-04-21T19:46:00Z,86.00,17.93
2026-04-21T19:47:00Z,85.80,19.21
2026-04-21T19:48:00Z,85.24,15.81
2026-04-21T19:49:00Z,88.14,11.06
2026-04-21T19:50:00Z,90.15,10.59
2026-04-21T19:51:00Z,89.48,15.02
2026-04-21T19:52:00Z,90.40,13.42
2026-04-21T19:53:00Z,92.08,8.92
2026-04-21T19:54:00Z,94.09,4.53
2026-04-21T19:55:00Z,95.82,5.83
2026-04-21T19:56:00Z,97.06,6.00
2026-04-21T19:57:00Z,97.00,5.00
2026-04-21T19:58:00Z,98.52,5.00
2026-04-21T19:59:00Z,98.00,2.17
2026-04-21T20:00:00Z,99.00,1.02
2026-04-21T20:01:00Z,98.00,1.02
2026-04-21T20:02:00Z,99.00,3.00
2026-04-21T20:03:00Z,98.00,3.00
2026-04-21T20:04:00Z,98.00,4.00
2026-04-21T20:05:00Z,98.00,4.00
2026-04-21T20:06:00Z,97.19,4.00
2026-04-21T20:07:00Z,97.19,5.00
2026-04-21T20:08:00Z,97.19,3.00
2026-04-21T20:09:00Z,99.00,3.88
2026-04-21T20:10:00Z,99.00,3.62
2026-04-21T20:11:00Z,97.00,5.00
2026-04-21T20:12:00Z,97.00,2.41
2026-04-21T20:13:00Z,97.00,4.00
2026-04-21T20:14:00Z,99.00,2.00
2026-04-21T20:15:00Z,99.00,3.00
2026-04-21T20:16:00Z,97.00,3.00
2026-04-21T20:17:00Z,97.00,2.72
2026-04-21T20:18:00Z,97.00,3.02
2026-04-21T20:19:00Z,97.07,4.29
2026-04-21T20:20:00Z,96.00,6.52
2026-04-21T20:21:00Z,96.29,5.85
2026-04-21T20:22:00Z,96.07,5.78
2026-04-21T20:23:00Z,96.00,5.87
2026-04-21T20:24:00Z,96.03,5.77
2026-04-21T20:25:00Z,96.29,6.00
2026-04-21T20:26:00Z,96.32,6.00
2026-04-21T20:27:00Z,95.75,6.57
2026-04-21T20:28:00Z,95.00,7.00
2026-04-21T20:29:00Z,95.00,7.00
2026-04-21T20:30:00Z,94.77,6.00
2026-04-21T20:31:00Z,91.73,5.64
2026-04-21T20:32:00Z,91.73,9.00
2026-04-21T20:33:00Z,91.73,5.49
2026-04-21T20:34:00Z,92.80,5.00
2026-04-21T20:35:00Z,92.00,6.83
2026-04-21T20:36:00Z,91.30,6.83
2026-04-21T20:37:00Z,92.00,7.00
2026-04-21T20:39:00Z,91.00,7.00
2026-04-21T20:40:00Z,91.00,4.00
2026-04-21T20:41:00Z,91.00,7.00
2026-04-21T20:42:00Z,94.00,7.00
2026-04-21T20:44:00Z,94.00,7.00
2026-04-21T20:45:00Z,94.00,3.82
2026-04-21T20:46:00Z,94.00,3.00
2026-04-21T20:47:00Z,94.00,4.00
2026-04-21T20:48:00Z,94.25,6.00
2026-04-21T20:49:00Z,92.00,4.29
2026-04-21T20:50:00Z,95.00,3.02
2026-04-21T20:51:00Z,95.00,4.00
2026-04-21T20:53:00Z,98.27,3.53
2026-04-21T20:54:00Z,98.00,3.23
2026-04-21T20:55:00Z,98.00,3.23
2026-04-21T20:56:00Z,98.95,3.23
2026-04-21T20:57:00Z,98.31,1.03
2026-04-21T20:58:00Z,98.31,1.00
2026-04-21T20:59:00Z,99.00,1.00
2026-04-21T21:00:00Z,95.45,1.52
2026-04-21T21:01:00Z,95.36,1.51
2026-04-21T21:02:00Z,99.00,1.51
2026-04-21T21:03:00Z,98.49,1.51
2026-04-21T21:04:00Z,99.00,1.00
2026-04-21T21:05:00Z,99.00,1.00
2026-04-21T21:06:00Z,99.00,1.00
2026-04-21T21:08:00Z,98.18,1.53
2026-04-21T21:09:00Z,98.18,2.00
2026-04-21T21:10:00Z,98.18,2.61
2026-04-21T21:12:00Z,98.00,3.00
2026-04-21T21:13:00Z,93.18,3.12
2026-04-21T21:14:00Z,93.18,3.00
2026-04-21T21:18:00Z,98.36,2.00
2026-04-21T21:19:00Z,98.36,2.00
2026-04-21T21:21:00Z,98.00,2.00
2026-04-21T21:22:00Z,93.00,3.00
2026-04-21T21:23:00Z,98.00,2.67
2026-04-21T21:24:00Z,98.00,3.00
2026-04-21T21:25:00Z,98.00,1.00
2026-04-21T21:26:00Z,98.87,3.00
2026-04-21T21:27:00Z,98.04,2.81
2026-04-21T21:28:00Z,93.00,1.65
2026-04-21T21:29:00Z,93.00,1.00
2026-04-21T21:32:00Z,99.00,1.00
