# event_ticker=KXATPCHALLENGERMATCH-26MAR18OFNBRA
# final_score=6-0 6-4
# match_winner=Sebastian Ofner
# fav_player=Sebastian Ofner
# dog_player=Raul Brancaccio
# kalshi_date=2026-03-18
timestamp,Sebastian Ofner,Raul Brancaccio
2026-03-17T23:02:00Z,78.00,
2026-03-18T00:08:00Z,80.36,
2026-03-18T00:28:00Z,82.00,
2026-03-18T00:30:00Z,83.00,
2026-03-18T00:40:00Z,83.00,
2026-03-18T01:10:00Z,83.00,
2026-03-18T01:20:00Z,83.00,
2026-03-18T01:28:00Z,83.00,
2026-03-18T01:30:00Z,83.00,
2026-03-18T01:40:00Z,83.00,
2026-03-18T02:02:00Z,83.00,
2026-03-18T02:03:00Z,82.00,
2026-03-18T03:08:00Z,84.00,
2026-03-18T03:17:00Z,84.00,16.00
2026-03-18T03:21:00Z,84.00,16.00
2026-03-18T03:25:00Z,84.00,16.00
2026-03-18T03:27:00Z,84.00,16.00
2026-03-18T03:29:00Z,84.00,16.00
2026-03-18T03:32:00Z,85.00,16.00
2026-03-18T03:41:00Z,83.87,16.00
2026-03-18T04:03:00Z,85.00,16.00
2026-03-18T04:09:00Z,85.00,17.00
2026-03-18T04:12:00Z,85.00,17.00
2026-03-18T04:15:00Z,85.00,16.00
2026-03-18T04:19:00Z,85.00,17.00
2026-03-18T04:20:00Z,85.00,16.00
2026-03-18T04:24:00Z,85.00,16.00
2026-03-18T04:28:00Z,85.00,16.00
2026-03-18T04:35:00Z,86.00,16.00
2026-03-18T04:46:00Z,84.00,18.00
2026-03-18T04:50:00Z,84.00,18.00
2026-03-18T04:55:00Z,84.00,18.00
2026-03-18T05:02:00Z,85.00,16.00
2026-03-18T05:04:00Z,85.00,16.00
2026-03-18T05:12:00Z,85.00,18.00
2026-03-18T05:13:00Z,86.00,18.00
2026-03-18T05:19:00Z,86.00,12.00
2026-03-18T05:25:00Z,86.00,15.00
2026-03-18T05:26:00Z,87.00,15.00
2026-03-18T05:27:00Z,87.00,15.00
2026-03-18T05:28:00Z,87.00,15.00
2026-03-18T05:39:00Z,86.97,15.00
2026-03-18T05:47:00Z,86.00,15.00
2026-03-18T05:49:00Z,87.00,15.00
2026-03-18T05:57:00Z,87.88,15.00
2026-03-18T05:58:00Z,86.00,15.00
2026-03-18T06:03:00Z,86.00,15.00
2026-03-18T06:04:00Z,86.00,15.00
2026-03-18T06:07:00Z,87.65,15.00
2026-03-18T06:11:00Z,88.00,15.00
2026-03-18T06:29:00Z,88.00,15.00
2026-03-18T06:52:00Z,88.00,14.00
2026-03-18T07:15:00Z,88.71,14.00
2026-03-18T07:18:00Z,88.71,14.00
2026-03-18T08:39:00Z,88.00,14.00
2026-03-18T08:51:00Z,88.00,13.00
2026-03-18T08:58:00Z,88.00,13.00
2026-03-18T09:13:00Z,87.00,13.00
2026-03-18T09:36:00Z,87.00,13.00
2026-03-18T09:37:00Z,87.00,13.00
2026-03-18T09:46:00Z,88.00,13.00
2026-03-18T09:51:00Z,88.00,13.00
2026-03-18T09:53:00Z,88.00,14.00
2026-03-18T09:57:00Z,88.00,14.00
2026-03-18T10:04:00Z,88.00,14.00
2026-03-18T10:05:00Z,85.00,15.96
2026-03-18T10:06:00Z,86.00,16.00
2026-03-18T10:07:00Z,85.00,15.24
2026-03-18T10:09:00Z,86.82,13.73
2026-03-18T10:10:00Z,87.89,13.72
2026-03-18T10:11:00Z,87.00,14.00
2026-03-18T10:12:00Z,90.18,13.79
2026-03-18T10:13:00Z,92.94,8.98
2026-03-18T10:14:00Z,92.00,11.81
2026-03-18T10:15:00Z,86.62,11.39
2026-03-18T10:16:00Z,91.00,9.16
2026-03-18T10:17:00Z,92.67,10.02
2026-03-18T10:18:00Z,94.95,8.83
2026-03-18T10:19:00Z,94.95,10.00
2026-03-18T10:20:00Z,94.95,9.77
2026-03-18T10:21:00Z,94.00,7.00
2026-03-18T10:22:00Z,95.00,6.59
2026-03-18T10:23:00Z,95.00,5.00
2026-03-18T10:24:00Z,96.00,5.00
2026-03-18T10:25:00Z,95.50,5.78
2026-03-18T10:26:00Z,95.00,4.51
2026-03-18T10:27:00Z,96.00,4.51
2026-03-18T10:28:00Z,96.00,4.51
2026-03-18T10:29:00Z,96.00,5.00
2026-03-18T10:30:00Z,96.00,4.85
2026-03-18T10:31:00Z,96.00,5.00
2026-03-18T10:32:00Z,96.00,5.00
2026-03-18T10:33:00Z,96.55,3.32
2026-03-18T10:35:00Z,97.00,4.00
2026-03-18T10:36:00Z,97.00,4.00
2026-03-18T10:37:00Z,97.00,4.77
2026-03-18T10:38:00Z,95.83,6.00
2026-03-18T10:39:00Z,96.21,5.00
2026-03-18T10:40:00Z,97.99,3.00
2026-03-18T10:41:00Z,98.00,3.20
2026-03-18T10:42:00Z,98.00,2.00
2026-03-18T10:43:00Z,99.00,1.00
2026-03-18T10:44:00Z,99.00,1.00
2026-03-18T10:45:00Z,99.00,1.00
2026-03-18T10:46:00Z,99.00,1.86
2026-03-18T10:47:00Z,99.00,1.63
2026-03-18T10:48:00Z,99.00,3.00
2026-03-18T10:49:00Z,99.00,3.00
2026-03-18T10:50:00Z,98.00,2.98
2026-03-18T10:51:00Z,98.00,3.00
2026-03-18T10:52:00Z,99.00,3.00
2026-03-18T10:53:00Z,99.00,1.23
2026-03-18T10:54:00Z,98.00,2.93
2026-03-18T10:55:00Z,97.61,2.43
2026-03-18T10:56:00Z,97.61,1.61
2026-03-18T10:57:00Z,97.61,1.96
2026-03-18T10:58:00Z,99.00,2.46
2026-03-18T10:59:00Z,97.00,4.10
2026-03-18T11:00:00Z,98.12,1.94
2026-03-18T11:01:00Z,98.12,1.00
2026-03-18T11:02:00Z,98.12,1.90
2026-03-18T11:03:00Z,99.00,2.28
2026-03-18T11:04:00Z,99.00,1.97
2026-03-18T11:05:00Z,99.00,2.81
2026-03-18T11:06:00Z,97.60,1.55
2026-03-18T11:07:00Z,97.60,2.00
2026-03-18T11:08:00Z,97.60,1.11
2026-03-18T11:09:00Z,99.00,2.83
