# event_ticker=KXATPMATCH-25OCT06SHALEH
# final_score=6-4 6-4
# match_winner=Jiri Lehecka
# fav_player=Jiri Lehecka
# dog_player=Denis Shapovalov
# kalshi_date=2025-10-06
timestamp,Jiri Lehecka,Denis Shapovalov
2025-10-05T20:20:00Z,,38.00
2025-10-05T20:34:00Z,,38.00
2025-10-05T21:12:00Z,68.74,38.00
2025-10-05T21:56:00Z,68.74,37.00
2025-10-05T22:25:00Z,68.74,37.00
2025-10-05T22:36:00Z,68.74,37.00
2025-10-05T22:38:00Z,68.74,37.00
2025-10-05T22:39:00Z,68.74,37.00
2025-10-05T22:53:00Z,68.74,37.00
2025-10-05T22:57:00Z,68.74,37.00
2025-10-05T23:07:00Z,64.00,37.00
2025-10-05T23:30:00Z,64.00,37.00
2025-10-05T23:37:00Z,64.00,37.00
2025-10-05T23:38:00Z,64.00,37.00
2025-10-05T23:39:00Z,64.00,37.00
2025-10-05T23:53:00Z,64.00,37.00
2025-10-06T00:06:00Z,64.00,37.00
2025-10-06T00:07:00Z,64.00,37.00
2025-10-06T00:13:00Z,64.00,37.00
2025-10-06T00:18:00Z,64.00,37.00
2025-10-06T00:19:00Z,64.00,37.00
2025-10-06T00:24:00Z,64.00,37.00
2025-10-06T00:33:00Z,64.00,37.00
2025-10-06T00:56:00Z,64.00,37.00
2025-10-06T01:00:00Z,64.00,37.00
2025-10-06T01:27:00Z,64.00,37.00
2025-10-06T01:31:00Z,64.00,37.00
2025-10-06T01:32:00Z,64.00,37.00
2025-10-06T01:47:00Z,64.00,37.00
2025-10-06T01:53:00Z,64.00,37.00
2025-10-06T02:07:00Z,64.00,37.00
2025-10-06T02:12:00Z,64.00,37.00
2025-10-06T02:29:00Z,64.00,37.00
2025-10-06T02:47:00Z,64.00,37.00
2025-10-06T02:48:00Z,64.00,37.00
2025-10-06T02:51:00Z,64.00,37.00
2025-10-06T02:52:00Z,64.00,37.00
2025-10-06T03:04:00Z,64.00,37.00
2025-10-06T03:13:00Z,64.00,37.00
2025-10-06T03:14:00Z,64.00,37.00
