# event_ticker=KXATPMATCH-26JUN08HERLAN
# final_score=5-7 6-3 6-4
# score_resolution=7-5 3-6 4-6
# match_winner=Martin Landaluce
# fav_player=Pierre-Hugues Herbert
# dog_player=Martin Landaluce
# kalshi_date=2026-06-08
timestamp,Pierre-Hugues Herbert,Martin Landaluce
2026-06-07T23:49:00Z,,60.00
2026-06-08T00:17:00Z,42.00,60.00
2026-06-08T00:24:00Z,42.00,60.00
2026-06-08T00:47:00Z,42.00,60.00
2026-06-08T00:55:00Z,42.00,60.00
2026-06-08T01:11:00Z,42.00,60.00
2026-06-08T01:13:00Z,42.00,60.00
2026-06-08T01:29:00Z,42.00,60.00
2026-06-08T01:37:00Z,42.00,60.00
2026-06-08T01:38:00Z,42.00,60.00
2026-06-08T01:52:00Z,42.00,60.00
2026-06-08T01:55:00Z,41.00,60.00
2026-06-08T01:57:00Z,42.00,60.00
2026-06-08T02:05:00Z,42.00,60.00
2026-06-08T02:09:00Z,42.00,60.00
2026-06-08T02:14:00Z,42.00,60.00
2026-06-08T02:16:00Z,42.00,60.00
2026-06-08T02:17:00Z,42.00,60.00
2026-06-08T02:21:00Z,42.00,60.00
2026-06-08T02:23:00Z,42.00,60.00
2026-06-08T02:24:00Z,42.00,60.00
2026-06-08T02:29:00Z,42.00,60.00
2026-06-08T02:30:00Z,42.00,60.00
2026-06-08T02:31:00Z,42.00,60.00
2026-06-08T02:33:00Z,42.00,60.00
2026-06-08T02:34:00Z,42.00,60.00
2026-06-08T02:35:00Z,42.00,60.00
2026-06-08T02:36:00Z,42.00,60.00
2026-06-08T02:37:00Z,42.00,60.00
2026-06-08T02:42:00Z,42.00,60.00
2026-06-08T02:46:00Z,42.00,60.00
2026-06-08T02:49:00Z,42.00,60.00
2026-06-08T02:51:00Z,42.00,60.00
2026-06-08T02:53:00Z,42.00,60.00
2026-06-08T02:57:00Z,42.00,60.00
2026-06-08T03:00:00Z,42.00,60.00
2026-06-08T03:19:00Z,42.00,60.00
2026-06-08T03:22:00Z,42.00,60.00
2026-06-08T03:28:00Z,42.00,60.00
2026-06-08T03:35:00Z,42.00,60.00
2026-06-08T03:36:00Z,42.00,59.00
2026-06-08T03:39:00Z,42.00,60.00
2026-06-08T03:42:00Z,42.00,60.00
2026-06-08T03:43:00Z,42.00,60.00
2026-06-08T03:44:00Z,42.00,60.00
2026-06-08T03:46:00Z,42.00,60.00
2026-06-08T03:47:00Z,42.00,60.00
2026-06-08T03:48:00Z,42.00,60.00
2026-06-08T03:50:00Z,42.00,60.00
2026-06-08T03:51:00Z,42.00,60.00
2026-06-08T03:54:00Z,42.00,60.00
2026-06-08T03:55:00Z,42.00,60.00
2026-06-08T03:57:00Z,42.00,60.00
