# event_ticker=KXATPCHALLENGERMATCH-26APR07BERMOR
# final_score=6-4 6-1
# match_winner=Alejandro Moro Canas
# fav_player=Alejandro Moro Canas
# dog_player=Henry Bernet
# kalshi_date=2026-04-07
timestamp,Alejandro Moro Canas,Henry Bernet
2026-04-06T22:01:00Z,67.00,
2026-04-07T01:17:00Z,67.00,
2026-04-07T02:47:00Z,67.00,
2026-04-07T03:15:00Z,66.00,
2026-04-07T03:25:00Z,66.00,36.00
2026-04-07T04:04:00Z,66.00,36.00
2026-04-07T04:07:00Z,66.00,36.00
2026-04-07T04:10:00Z,66.91,36.00
2026-04-07T04:27:00Z,66.00,36.00
2026-04-07T04:43:00Z,66.00,36.00
2026-04-07T04:49:00Z,66.00,34.00
2026-04-07T04:55:00Z,66.00,34.00
2026-04-07T05:02:00Z,65.00,34.00
2026-04-07T05:16:00Z,66.00,34.00
2026-04-07T06:27:00Z,66.00,36.00
2026-04-07T09:30:00Z,66.00,36.00
2026-04-07T09:43:00Z,67.77,36.00
2026-04-07T09:50:00Z,65.00,36.00
2026-04-07T09:53:00Z,62.00,36.00
2026-04-07T09:55:00Z,66.00,34.29
2026-04-07T09:56:00Z,72.00,28.00
2026-04-07T09:57:00Z,72.00,25.00
2026-04-07T09:59:00Z,79.70,22.00
2026-04-07T10:00:00Z,81.00,18.02
2026-04-07T10:02:00Z,81.00,19.00
2026-04-07T10:05:00Z,81.00,19.00
2026-04-07T10:06:00Z,82.00,17.00
2026-04-07T10:07:00Z,82.00,17.00
2026-04-07T10:14:00Z,82.00,21.39
2026-04-07T10:15:00Z,85.00,16.39
2026-04-07T10:16:00Z,83.14,18.21
2026-04-07T10:17:00Z,86.00,15.00
2026-04-07T10:18:00Z,86.00,15.00
2026-04-07T10:19:00Z,86.00,15.00
2026-04-07T10:20:00Z,86.00,13.00
2026-04-07T10:21:00Z,87.67,15.00
2026-04-07T10:22:00Z,86.00,13.00
2026-04-07T10:23:00Z,85.00,16.00
2026-04-07T10:24:00Z,85.00,14.00
2026-04-07T10:25:00Z,85.00,15.00
2026-04-07T10:27:00Z,83.00,16.00
2026-04-07T10:28:00Z,84.57,16.00
2026-04-07T10:30:00Z,84.57,13.65
2026-04-07T10:31:00Z,84.57,13.00
2026-04-07T10:32:00Z,88.00,13.00
2026-04-07T10:33:00Z,88.00,13.00
2026-04-07T10:35:00Z,88.02,11.11
2026-04-07T10:36:00Z,88.92,11.29
2026-04-07T10:37:00Z,88.83,9.00
2026-04-07T10:38:00Z,88.83,11.35
2026-04-07T10:41:00Z,88.83,9.06
2026-04-07T10:42:00Z,93.00,6.48
2026-04-07T10:43:00Z,96.00,4.37
2026-04-07T10:44:00Z,96.06,5.00
2026-04-07T10:45:00Z,97.00,3.00
2026-04-07T10:46:00Z,98.00,3.00
2026-04-07T10:47:00Z,98.00,4.00
2026-04-07T10:48:00Z,98.00,4.00
2026-04-07T10:49:00Z,97.00,5.74
2026-04-07T10:50:00Z,97.00,5.00
2026-04-07T10:51:00Z,95.00,6.00
2026-04-07T10:52:00Z,95.00,4.63
2026-04-07T10:53:00Z,94.55,4.63
2026-04-07T10:54:00Z,95.00,5.00
2026-04-07T10:55:00Z,94.06,4.98
2026-04-07T10:56:00Z,95.00,6.10
2026-04-07T10:57:00Z,96.00,3.43
2026-04-07T10:58:00Z,96.00,5.57
2026-04-07T10:59:00Z,97.90,2.14
2026-04-07T11:00:00Z,99.00,1.00
2026-04-07T11:01:00Z,99.00,1.00
2026-04-07T11:02:00Z,99.00,1.33
2026-04-07T11:03:00Z,99.00,1.33
2026-04-07T11:04:00Z,97.74,1.00
2026-04-07T11:06:00Z,99.00,1.67
