# event_ticker=KXATPCHALLENGERMATCH-26MAR25CINFOR
# final_score=6-3 6-3
# match_winner=Federico Cina
# fav_player=Federico Cina
# dog_player=Francesco Forti
# kalshi_date=2026-03-25
timestamp,Federico Cina,Francesco Forti
2026-03-25T00:35:00Z,73.00,
2026-03-25T00:41:00Z,73.00,
2026-03-25T02:01:00Z,73.00,
2026-03-25T02:12:00Z,73.00,
2026-03-25T02:43:00Z,74.00,
2026-03-25T03:59:00Z,74.00,28.00
2026-03-25T04:00:00Z,75.00,28.00
2026-03-25T04:14:00Z,75.00,28.00
2026-03-25T04:19:00Z,75.00,28.00
2026-03-25T04:47:00Z,73.00,28.00
2026-03-25T04:56:00Z,75.00,28.00
2026-03-25T05:47:00Z,75.00,27.33
2026-03-25T05:57:00Z,73.00,27.33
2026-03-25T06:00:00Z,75.00,27.33
2026-03-25T06:08:00Z,73.00,27.33
2026-03-25T06:10:00Z,75.82,26.00
2026-03-25T06:12:00Z,75.82,25.00
2026-03-25T06:13:00Z,75.00,24.00
2026-03-25T06:23:00Z,75.00,25.00
2026-03-25T06:32:00Z,75.69,25.00
2026-03-25T06:48:00Z,76.00,25.00
2026-03-25T06:57:00Z,75.00,25.00
2026-03-25T06:58:00Z,76.00,25.00
2026-03-25T07:00:00Z,76.00,25.00
2026-03-25T07:01:00Z,76.00,24.59
2026-03-25T07:42:00Z,76.00,25.00
2026-03-25T07:48:00Z,76.00,25.00
2026-03-25T08:00:00Z,76.00,25.00
2026-03-25T08:06:00Z,76.00,25.00
2026-03-25T08:29:00Z,76.00,25.00
2026-03-25T08:30:00Z,76.00,24.99
2026-03-25T08:57:00Z,76.00,24.99
2026-03-25T09:02:00Z,76.00,25.00
2026-03-25T09:23:00Z,76.00,25.00
2026-03-25T09:26:00Z,76.00,25.00
2026-03-25T09:32:00Z,76.00,25.00
2026-03-25T10:00:00Z,76.00,25.00
2026-03-25T10:05:00Z,76.00,24.00
2026-03-25T10:18:00Z,76.00,24.00
2026-03-25T10:40:00Z,76.00,24.00
2026-03-25T10:58:00Z,76.00,24.00
2026-03-25T11:00:00Z,76.40,24.00
2026-03-25T11:02:00Z,78.00,24.00
2026-03-25T11:08:00Z,78.00,25.00
2026-03-25T11:15:00Z,78.00,25.00
2026-03-25T11:35:00Z,78.00,25.00
2026-03-25T11:41:00Z,78.00,25.00
2026-03-25T11:50:00Z,78.00,25.00
2026-03-25T11:51:00Z,77.95,25.00
2026-03-25T11:52:00Z,77.95,24.00
2026-03-25T11:53:00Z,78.00,24.00
2026-03-25T11:55:00Z,78.00,24.00
2026-03-25T11:56:00Z,78.00,24.00
2026-03-25T12:01:00Z,78.00,25.00
2026-03-25T12:02:00Z,78.00,25.00
2026-03-25T12:03:00Z,78.00,25.00
2026-03-25T12:08:00Z,78.00,25.00
2026-03-25T12:10:00Z,78.00,25.00
2026-03-25T12:11:00Z,78.00,26.00
2026-03-25T12:12:00Z,78.00,26.00
2026-03-25T12:13:00Z,77.00,26.00
2026-03-25T12:14:00Z,78.00,25.00
2026-03-25T12:15:00Z,78.00,26.00
2026-03-25T12:16:00Z,77.00,26.00
2026-03-25T12:17:00Z,77.00,26.66
2026-03-25T12:18:00Z,77.00,27.00
2026-03-25T12:19:00Z,77.00,27.00
2026-03-25T12:20:00Z,73.00,27.53
2026-03-25T12:21:00Z,72.75,31.80
2026-03-25T12:22:00Z,69.88,32.72
2026-03-25T12:23:00Z,66.00,35.79
2026-03-25T12:24:00Z,64.69,40.56
2026-03-25T12:25:00Z,53.31,47.85
2026-03-25T12:26:00Z,54.44,48.78
2026-03-25T12:27:00Z,60.06,47.00
2026-03-25T12:28:00Z,66.46,35.30
