# event_ticker=KXATPCHALLENGERMATCH-26MAR23AMBSAR
# final_score=7-5 6-0
# score_resolution=5-7 0-6
# match_winner=Luciano Emanuel Ambrogi
# fav_player=Paulo Andre Saraiva Dos Santos
# dog_player=Luciano Emanuel Ambrogi
# kalshi_date=2026-03-23
timestamp,Paulo Andre Saraiva Dos Santos,Luciano Emanuel Ambrogi
2026-03-23T11:48:00Z,17.99,82.31
2026-03-23T12:12:00Z,17.99,85.00
2026-03-23T13:06:00Z,17.99,85.00
2026-03-23T13:25:00Z,17.99,85.00
2026-03-23T14:13:00Z,17.99,85.00
2026-03-23T14:18:00Z,17.99,85.00
2026-03-23T14:57:00Z,17.00,85.00
2026-03-23T15:27:00Z,17.00,85.00
2026-03-23T15:57:00Z,17.00,85.00
2026-03-23T17:09:00Z,17.00,85.00
2026-03-23T18:13:00Z,17.00,85.00
2026-03-23T18:48:00Z,17.00,86.00
2026-03-23T19:26:00Z,17.00,86.00
2026-03-23T20:29:00Z,17.00,86.00
2026-03-23T20:33:00Z,16.00,86.00
2026-03-23T20:39:00Z,16.00,86.00
2026-03-23T20:44:00Z,16.00,86.00
2026-03-23T20:45:00Z,16.00,86.00
2026-03-23T20:46:00Z,15.00,86.00
2026-03-23T20:49:00Z,16.00,86.00
2026-03-23T20:50:00Z,16.42,86.00
2026-03-23T20:51:00Z,17.00,86.00
2026-03-23T20:52:00Z,15.34,86.00
2026-03-23T20:53:00Z,17.00,86.00
2026-03-23T20:54:00Z,17.65,86.00
2026-03-23T20:55:00Z,19.07,84.00
2026-03-23T20:56:00Z,15.00,84.00
2026-03-23T20:57:00Z,17.00,82.08
2026-03-23T20:58:00Z,19.31,77.56
2026-03-23T20:59:00Z,21.16,77.00
2026-03-23T21:00:00Z,25.00,75.00
2026-03-23T21:01:00Z,25.79,78.00
2026-03-23T21:02:00Z,26.86,73.75
2026-03-23T21:03:00Z,26.25,71.00
2026-03-23T21:04:00Z,22.05,77.43
2026-03-23T21:05:00Z,23.82,81.00
2026-03-23T21:06:00Z,23.90,81.00
2026-03-23T21:07:00Z,16.00,84.71
2026-03-23T21:08:00Z,13.60,84.71
2026-03-23T21:09:00Z,13.00,84.71
2026-03-23T21:10:00Z,12.97,84.71
2026-03-23T21:11:00Z,15.15,85.00
2026-03-23T21:12:00Z,17.66,84.00
2026-03-23T21:13:00Z,17.91,85.00
2026-03-23T21:14:00Z,17.00,85.90
2026-03-23T21:15:00Z,17.00,86.00
2026-03-23T21:16:00Z,14.53,86.00
2026-03-23T21:17:00Z,13.54,86.00
2026-03-23T21:18:00Z,12.44,89.87
2026-03-23T21:19:00Z,12.52,89.87
2026-03-23T21:20:00Z,10.00,92.00
2026-03-23T21:21:00Z,11.70,92.00
2026-03-23T21:22:00Z,15.93,84.23
2026-03-23T21:23:00Z,18.10,83.00
2026-03-23T21:24:00Z,14.14,86.00
2026-03-23T21:26:00Z,14.65,86.00
2026-03-23T21:27:00Z,14.00,86.00
2026-03-23T21:28:00Z,16.97,86.00
2026-03-23T21:31:00Z,16.55,83.20
2026-03-23T21:32:00Z,17.71,83.20
2026-03-23T21:33:00Z,16.35,83.20
2026-03-23T21:34:00Z,15.00,87.00
2026-03-23T21:35:00Z,17.91,87.00
2026-03-23T21:36:00Z,19.00,87.00
2026-03-23T21:37:00Z,18.44,87.00
2026-03-23T21:38:00Z,17.14,82.00
2026-03-23T21:39:00Z,19.42,82.00
2026-03-23T21:40:00Z,17.00,82.00
2026-03-23T21:41:00Z,17.06,82.00
2026-03-23T21:42:00Z,20.60,79.02
2026-03-23T21:43:00Z,18.79,79.02
2026-03-23T21:44:00Z,15.31,85.99
2026-03-23T21:45:00Z,7.42,92.88
2026-03-23T21:46:00Z,6.26,94.00
2026-03-23T21:47:00Z,6.00,93.75
2026-03-23T21:48:00Z,5.97,94.00
2026-03-23T21:49:00Z,6.00,94.00
2026-03-23T21:50:00Z,6.79,94.00
2026-03-23T21:51:00Z,6.99,94.00
2026-03-23T21:52:00Z,5.64,95.28
2026-03-23T21:53:00Z,4.88,96.00
2026-03-23T21:54:00Z,5.18,96.00
2026-03-23T21:55:00Z,3.37,96.50
2026-03-23T21:56:00Z,2.15,97.99
2026-03-23T21:57:00Z,2.86,99.00
2026-03-23T21:58:00Z,2.93,98.56
2026-03-23T21:59:00Z,2.13,97.17
2026-03-23T22:00:00Z,1.04,99.00
2026-03-23T22:01:00Z,3.00,97.00
2026-03-23T22:02:00Z,1.00,99.00
2026-03-23T22:03:00Z,3.00,99.00
2026-03-23T22:04:00Z,2.04,95.50
2026-03-23T22:05:00Z,2.00,98.00
2026-03-23T22:06:00Z,2.12,98.00
2026-03-23T22:07:00Z,3.00,98.43
2026-03-23T22:08:00Z,1.21,98.21
2026-03-23T22:09:00Z,1.03,99.00
2026-03-23T22:10:00Z,1.03,99.00
2026-03-23T22:11:00Z,1.00,99.00
2026-03-23T22:12:00Z,1.37,99.00
2026-03-23T22:13:00Z,1.37,99.00
