# event_ticker=KXATPCHALLENGERMATCH-26APR27SINJUB
# final_score=7-6(0) 6-1
# score_resolution=7-6 6-1
# match_winner=Paul Jubb
# fav_player=Paul Jubb
# dog_player=Digvijay Pratap Singh
# kalshi_date=2026-04-27
timestamp,Digvijay Pratap Singh,Paul Jubb
2026-04-27T11:19:00Z,,84.00
2026-04-27T12:56:00Z,,79.00
2026-04-27T13:58:00Z,,85.00
2026-04-27T14:18:00Z,,84.00
2026-04-27T14:25:00Z,,85.00
2026-04-27T14:30:00Z,17.00,85.00
2026-04-27T14:46:00Z,16.00,85.00
2026-04-27T14:47:00Z,16.00,85.00
2026-04-27T14:51:00Z,17.00,85.00
2026-04-27T16:03:00Z,17.00,85.00
2026-04-27T16:28:00Z,17.00,85.00
2026-04-27T16:48:00Z,17.00,85.00
2026-04-27T16:50:00Z,17.00,85.00
2026-04-27T16:57:00Z,17.00,85.00
2026-04-27T17:15:00Z,17.00,85.00
2026-04-27T17:17:00Z,17.00,85.00
2026-04-27T17:31:00Z,17.00,85.00
2026-04-27T17:32:00Z,16.00,85.00
2026-04-27T17:35:00Z,16.00,84.00
2026-04-27T17:42:00Z,17.00,84.00
2026-04-27T17:47:00Z,17.00,85.00
2026-04-27T17:49:00Z,17.00,85.00
2026-04-27T17:51:00Z,17.00,85.00
2026-04-27T17:59:00Z,16.00,85.00
2026-04-27T18:01:00Z,17.00,85.00
2026-04-27T18:02:00Z,17.00,85.00
2026-04-27T18:04:00Z,17.00,85.00
2026-04-27T19:11:00Z,17.00,84.50
2026-04-27T19:13:00Z,17.00,84.00
2026-04-27T19:24:00Z,17.00,82.00
2026-04-27T19:26:00Z,18.00,82.00
2026-04-27T19:27:00Z,18.00,82.00
2026-04-27T19:39:00Z,18.00,84.90
2026-04-27T19:48:00Z,18.00,85.63
2026-04-27T19:51:00Z,17.00,85.63
2026-04-27T19:52:00Z,17.00,85.63
2026-04-27T19:54:00Z,18.00,85.63
2026-04-27T19:55:00Z,18.00,85.00
2026-04-27T19:56:00Z,18.00,84.00
2026-04-27T19:58:00Z,18.00,85.00
2026-04-27T20:00:00Z,16.89,85.00
2026-04-27T20:01:00Z,17.56,85.00
2026-04-27T20:08:00Z,17.56,85.83
2026-04-27T20:10:00Z,17.56,85.93
2026-04-27T20:17:00Z,17.97,85.93
2026-04-27T20:18:00Z,16.00,85.93
2026-04-27T20:23:00Z,17.00,85.93
