# event_ticker=KXATPCHALLENGERMATCH-26APR14MOLJAR
# final_score=6-2 3-6 6-0
# score_resolution=2-6 6-3 0-6
# match_winner=Nicolas Jarry
# fav_player=Elmer Moller
# dog_player=Nicolas Jarry
# kalshi_date=2026-04-14
timestamp,Elmer Moller,Nicolas Jarry
2026-04-14T05:58:00Z,,61.00
2026-04-14T06:30:00Z,,61.00
2026-04-14T08:42:00Z,42.00,61.00
2026-04-14T08:54:00Z,42.00,61.00
2026-04-14T11:23:00Z,42.00,61.00
2026-04-14T11:50:00Z,42.00,61.00
2026-04-14T12:06:00Z,42.00,61.00
2026-04-14T12:07:00Z,42.00,61.00
2026-04-14T12:15:00Z,42.00,61.00
2026-04-14T13:43:00Z,42.00,61.00
2026-04-14T13:44:00Z,42.00,61.00
2026-04-14T13:46:00Z,42.00,61.00
2026-04-14T14:11:00Z,42.00,61.98
2026-04-14T14:49:00Z,42.00,61.00
2026-04-14T15:13:00Z,40.00,61.00
2026-04-14T15:25:00Z,40.00,61.00
2026-04-14T15:47:00Z,40.00,59.75
2026-04-14T15:59:00Z,40.00,59.75
2026-04-14T16:00:00Z,40.00,59.75
2026-04-14T16:20:00Z,40.00,62.00
2026-04-14T16:23:00Z,40.00,62.39
2026-04-14T16:24:00Z,40.00,62.39
2026-04-14T16:29:00Z,40.00,62.39
2026-04-14T16:36:00Z,40.00,62.39
2026-04-14T16:37:00Z,40.51,62.39
2026-04-14T16:38:00Z,41.00,62.39
2026-04-14T16:39:00Z,41.21,60.96
2026-04-14T16:40:00Z,41.21,67.00
2026-04-14T16:41:00Z,35.86,67.00
2026-04-14T16:42:00Z,36.00,63.00
2026-04-14T16:43:00Z,33.97,62.12
2026-04-14T16:44:00Z,41.80,59.00
2026-04-14T16:45:00Z,43.00,58.01
2026-04-14T16:46:00Z,38.88,61.92
2026-04-14T16:47:00Z,44.07,58.61
2026-04-14T16:48:00Z,42.00,59.47
2026-04-14T16:49:00Z,35.35,63.76
2026-04-14T16:50:00Z,32.48,66.05
2026-04-14T16:51:00Z,37.00,67.96
2026-04-14T16:52:00Z,25.77,71.92
2026-04-14T16:53:00Z,25.00,71.92
2026-04-14T16:54:00Z,25.00,75.00
2026-04-14T16:55:00Z,25.83,75.00
2026-04-14T16:56:00Z,25.86,74.59
2026-04-14T16:57:00Z,27.00,73.72
2026-04-14T16:58:00Z,24.30,74.05
2026-04-14T16:59:00Z,25.01,74.05
2026-04-14T17:00:00Z,25.01,78.09
2026-04-14T17:01:00Z,22.17,79.73
2026-04-14T17:02:00Z,20.55,81.83
2026-04-14T17:03:00Z,20.55,84.49
2026-04-14T17:04:00Z,14.36,84.08
2026-04-14T17:05:00Z,16.78,84.00
2026-04-14T17:06:00Z,18.97,79.98
2026-04-14T17:07:00Z,14.00,87.00
