# event_ticker=KXATPCHALLENGERMATCH-26FEB23BERMMO
# final_score=6-4 6-7(2) 6-4
# score_resolution=6-4 6-7 6-4
# match_winner=Michael Mmoh
# fav_player=Michael Mmoh
# dog_player=Remy Bertola
# kalshi_date=2026-02-23
timestamp,Michael Mmoh,Remy Bertola
2026-02-23T08:04:00Z,70.00,39.00
2026-02-23T08:15:00Z,70.00,44.00
2026-02-23T08:16:00Z,70.00,44.00
2026-02-23T09:06:00Z,70.00,44.00
2026-02-23T09:40:00Z,67.00,39.00
2026-02-23T09:49:00Z,67.00,36.43
2026-02-23T10:18:00Z,63.00,40.00
2026-02-23T10:26:00Z,64.00,40.00
2026-02-23T10:52:00Z,63.00,40.00
2026-02-23T10:59:00Z,63.00,39.00
2026-02-23T11:05:00Z,61.00,39.00
2026-02-23T11:07:00Z,61.59,39.00
2026-02-23T11:23:00Z,59.36,39.00
2026-02-23T12:04:00Z,59.36,43.35
2026-02-23T12:33:00Z,60.00,43.35
2026-02-23T12:35:00Z,60.00,43.35
2026-02-23T12:45:00Z,60.00,43.35
2026-02-23T12:51:00Z,60.00,43.35
2026-02-23T12:58:00Z,59.00,43.35
2026-02-23T14:02:00Z,58.00,43.35
2026-02-23T14:09:00Z,58.00,43.35
2026-02-23T14:22:00Z,58.00,43.35
2026-02-23T14:37:00Z,58.00,43.35
2026-02-23T14:43:00Z,58.00,44.00
2026-02-23T14:50:00Z,58.00,44.00
2026-02-23T14:55:00Z,58.00,44.00
2026-02-23T14:57:00Z,57.00,44.00
2026-02-23T15:25:00Z,56.00,44.00
2026-02-23T15:26:00Z,56.00,47.00
2026-02-23T15:27:00Z,56.00,44.00
2026-02-23T15:51:00Z,57.00,44.00
2026-02-23T16:06:00Z,57.00,44.00
2026-02-23T16:21:00Z,57.00,45.00
2026-02-23T16:23:00Z,57.00,45.00
2026-02-23T16:24:00Z,57.00,45.00
2026-02-23T16:31:00Z,57.00,45.00
2026-02-23T16:36:00Z,57.00,43.00
2026-02-23T16:40:00Z,57.00,45.00
2026-02-23T16:49:00Z,57.00,46.00
2026-02-23T16:52:00Z,57.00,46.00
2026-02-23T16:53:00Z,57.00,46.00
2026-02-23T17:07:00Z,57.00,46.00
2026-02-23T17:10:00Z,57.00,46.00
2026-02-23T17:12:00Z,57.00,46.00
2026-02-23T17:13:00Z,57.00,46.00
