# event_ticker=KXATPCHALLENGERMATCH-26MAY06DEVFER
# final_score=7-6(3) 6-3
# score_resolution=6-7 3-6
# match_winner=Murkel Dellien
# fav_player=Bruno Fernandez
# dog_player=Murkel Dellien
# kalshi_date=2026-05-06
timestamp,Murkel Dellien,Bruno Fernandez
2026-05-06T03:17:00Z,,50.00
2026-05-06T04:04:00Z,81.00,50.00
2026-05-06T04:05:00Z,81.00,39.00
2026-05-06T04:23:00Z,81.18,39.00
2026-05-06T04:26:00Z,66.00,42.00
2026-05-06T04:59:00Z,66.00,43.00
2026-05-06T05:01:00Z,54.00,44.00
2026-05-06T05:06:00Z,62.00,40.00
2026-05-06T06:27:00Z,60.00,40.00
2026-05-06T06:46:00Z,60.00,39.00
2026-05-06T07:00:00Z,60.00,40.00
2026-05-06T07:56:00Z,62.00,39.00
2026-05-06T07:57:00Z,62.00,39.00
2026-05-06T08:00:00Z,62.00,39.00
2026-05-06T08:01:00Z,62.00,39.00
2026-05-06T08:02:00Z,62.00,39.00
2026-05-06T08:03:00Z,63.75,38.73
2026-05-06T08:12:00Z,67.35,38.73
2026-05-06T08:26:00Z,66.48,38.73
2026-05-06T08:33:00Z,66.48,35.00
2026-05-06T08:36:00Z,66.25,33.93
2026-05-06T08:38:00Z,66.25,33.00
2026-05-06T08:39:00Z,68.00,33.00
2026-05-06T08:59:00Z,68.00,33.00
2026-05-06T09:07:00Z,68.00,33.00
2026-05-06T09:36:00Z,68.00,33.00
2026-05-06T10:50:00Z,68.00,33.00
2026-05-06T11:03:00Z,68.00,33.00
2026-05-06T11:34:00Z,68.00,33.00
2026-05-06T11:45:00Z,71.00,33.00
2026-05-06T12:32:00Z,71.00,30.00
2026-05-06T12:41:00Z,71.00,30.00
2026-05-06T12:57:00Z,71.00,30.00
2026-05-06T13:01:00Z,71.00,30.00
2026-05-06T13:12:00Z,71.00,29.00
2026-05-06T13:21:00Z,72.00,29.00
2026-05-06T13:25:00Z,72.00,29.00
2026-05-06T13:26:00Z,72.00,29.00
2026-05-06T13:31:00Z,72.00,27.79
2026-05-06T13:39:00Z,72.00,30.70
2026-05-06T13:40:00Z,69.67,30.03
2026-05-06T13:41:00Z,68.22,31.30
2026-05-06T13:42:00Z,64.81,35.10
2026-05-06T13:43:00Z,66.52,32.25
2026-05-06T13:44:00Z,58.00,34.49
2026-05-06T13:45:00Z,57.82,42.89
2026-05-06T13:46:00Z,57.54,43.00
2026-05-06T13:47:00Z,55.00,46.52
2026-05-06T13:48:00Z,55.00,46.00
2026-05-06T13:49:00Z,55.50,45.00
2026-05-06T13:50:00Z,55.00,46.00
2026-05-06T13:51:00Z,53.78,46.00
2026-05-06T13:52:00Z,52.91,49.00
2026-05-06T13:53:00Z,50.30,50.95
2026-05-06T13:54:00Z,50.00,52.00
2026-05-06T13:55:00Z,50.00,52.00
2026-05-06T13:56:00Z,51.99,51.00
2026-05-06T13:57:00Z,52.00,51.00
2026-05-06T13:58:00Z,52.00,51.00
2026-05-06T13:59:00Z,52.16,47.12
