# event_ticker=KXATPCHALLENGERMATCH-26APR10COLHER
# final_score=7-6(5) 2-6 7-5
# score_resolution=6-7 6-2 5-7
# match_winner=Tibo Colson
# fav_player=Alex Hernandez
# dog_player=Tibo Colson
# kalshi_date=2026-04-10
timestamp,Alex Hernandez,Tibo Colson
2026-04-10T12:11:00Z,,66.00
2026-04-10T12:12:00Z,,66.00
2026-04-10T12:28:00Z,,67.00
2026-04-10T12:36:00Z,,68.00
2026-04-10T12:57:00Z,34.00,68.00
2026-04-10T13:06:00Z,34.00,68.00
2026-04-10T13:10:00Z,34.00,66.00
2026-04-10T13:20:00Z,34.00,67.00
2026-04-10T13:28:00Z,34.00,67.00
2026-04-10T13:36:00Z,34.00,67.00
2026-04-10T13:43:00Z,34.00,68.00
2026-04-10T13:46:00Z,34.00,68.00
2026-04-10T14:06:00Z,34.00,68.00
2026-04-10T14:10:00Z,34.00,68.00
2026-04-10T14:17:00Z,34.00,68.00
2026-04-10T14:18:00Z,34.00,68.00
2026-04-10T14:52:00Z,34.00,68.00
2026-04-10T15:07:00Z,34.00,68.00
2026-04-10T15:37:00Z,35.00,68.00
2026-04-10T15:58:00Z,35.00,68.00
2026-04-10T16:19:00Z,35.00,68.00
2026-04-10T16:28:00Z,35.00,68.00
2026-04-10T16:31:00Z,35.00,68.00
2026-04-10T16:41:00Z,35.00,68.00
2026-04-10T16:56:00Z,35.00,68.00
2026-04-10T17:05:00Z,35.00,67.00
2026-04-10T17:08:00Z,35.00,67.00
2026-04-10T17:14:00Z,35.00,65.00
2026-04-10T17:16:00Z,35.00,65.00
2026-04-10T17:30:00Z,35.00,67.00
2026-04-10T17:34:00Z,35.00,67.00
2026-04-10T17:43:00Z,35.00,67.00
2026-04-10T17:55:00Z,35.00,67.00
2026-04-10T18:05:00Z,35.00,67.00
2026-04-10T18:06:00Z,35.00,67.00
2026-04-10T18:07:00Z,35.00,67.00
2026-04-10T18:08:00Z,35.00,67.00
2026-04-10T18:09:00Z,35.00,67.00
2026-04-10T18:11:00Z,35.00,67.00
2026-04-10T18:12:00Z,34.00,67.00
2026-04-10T18:20:00Z,34.00,67.00
2026-04-10T18:24:00Z,34.00,67.00
2026-04-10T18:26:00Z,34.00,67.00
2026-04-10T18:27:00Z,34.00,67.00
2026-04-10T18:35:00Z,34.94,67.00
2026-04-10T18:36:00Z,34.94,67.23
2026-04-10T18:37:00Z,35.00,67.23
2026-04-10T18:38:00Z,35.00,68.00
2026-04-10T18:41:00Z,35.00,68.00
2026-04-10T18:42:00Z,35.00,68.00
2026-04-10T18:45:00Z,35.00,68.00
2026-04-10T18:58:00Z,35.00,68.00
