# event_ticker=KXATPCHALLENGERMATCH-26APR21SIMKWON
# final_score=7-6(1) 6-3
# score_resolution=7-6 6-3
# match_winner=Soonwoo Kwon
# fav_player=Soonwoo Kwon
# dog_player=Ilia Simakin
# kalshi_date=2026-04-21
timestamp,Ilia Simakin,Soonwoo Kwon
2026-04-22T16:40:00Z,30.80,
2026-04-22T18:09:00Z,30.80,75.00
2026-04-22T18:19:00Z,30.80,63.06
2026-04-22T19:01:00Z,35.00,64.94
2026-04-22T19:02:00Z,35.00,65.00
2026-04-22T19:15:00Z,35.00,66.00
2026-04-22T20:05:00Z,35.00,65.76
2026-04-22T20:41:00Z,35.00,66.17
2026-04-22T20:44:00Z,35.00,64.00
2026-04-22T20:58:00Z,35.00,63.00
2026-04-22T21:29:00Z,35.85,63.00
2026-04-22T21:38:00Z,36.00,63.00
2026-04-22T21:57:00Z,36.68,63.00
2026-04-22T22:53:00Z,36.68,74.00
2026-04-22T22:55:00Z,36.68,74.00
2026-04-22T23:09:00Z,37.00,65.00
2026-04-22T23:12:00Z,37.00,64.02
2026-04-22T23:18:00Z,37.00,64.00
2026-04-22T23:29:00Z,37.00,61.00
2026-04-22T23:31:00Z,37.00,66.00
2026-04-23T00:05:00Z,37.00,73.00
2026-04-23T00:14:00Z,37.00,77.00
2026-04-23T00:15:00Z,37.00,77.00
2026-04-23T00:16:00Z,37.00,77.00
2026-04-23T00:24:00Z,37.00,71.00
2026-04-23T01:29:00Z,31.00,71.00
2026-04-23T01:33:00Z,31.00,71.00
2026-04-23T01:36:00Z,31.00,71.00
2026-04-23T01:43:00Z,31.00,71.00
2026-04-23T01:48:00Z,31.00,71.00
2026-04-23T01:57:00Z,31.00,71.00
2026-04-23T02:05:00Z,31.00,71.00
2026-04-23T02:15:00Z,31.00,71.00
2026-04-23T02:22:00Z,31.00,71.00
2026-04-23T02:24:00Z,31.00,71.32
2026-04-23T02:27:00Z,31.00,71.32
2026-04-23T02:30:00Z,31.00,71.00
2026-04-23T02:38:00Z,31.00,71.00
2026-04-23T02:49:00Z,31.00,71.00
2026-04-23T02:56:00Z,31.00,71.00
2026-04-23T02:57:00Z,31.00,71.00
2026-04-23T02:58:00Z,31.00,71.00
2026-04-23T03:01:00Z,31.00,71.00
2026-04-23T03:05:00Z,31.00,71.00
2026-04-23T03:08:00Z,31.00,71.00
2026-04-23T03:14:00Z,31.00,71.00
2026-04-23T03:28:00Z,28.00,71.00
2026-04-23T03:29:00Z,31.00,71.00
2026-04-23T03:31:00Z,31.00,71.00
2026-04-23T03:33:00Z,30.96,71.00
2026-04-23T03:36:00Z,31.00,71.00
2026-04-23T03:40:00Z,31.00,71.00
2026-04-23T03:42:00Z,31.00,71.00
2026-04-23T03:45:00Z,30.64,71.00
2026-04-23T03:46:00Z,31.00,71.00
2026-04-23T03:47:00Z,31.00,71.00
2026-04-23T03:51:00Z,31.00,71.00
2026-04-23T03:53:00Z,31.00,71.00
2026-04-23T03:56:00Z,31.00,71.00
2026-04-23T03:59:00Z,30.99,71.00
2026-04-23T04:02:00Z,28.00,71.00
2026-04-23T04:14:00Z,28.00,71.00
