# event_ticker=KXATPCHALLENGERMATCH-26MAR28GUEGEN
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Tom Gentzsch
# fav_player=Sascha Gueymard Wayenburg
# dog_player=Tom Gentzsch
# kalshi_date=2026-03-28
timestamp,Sascha Gueymard Wayenburg,Tom Gentzsch
2026-03-28T00:04:00Z,,48.00
2026-03-28T00:14:00Z,,48.00
2026-03-28T00:40:00Z,,48.00
2026-03-28T00:43:00Z,54.00,48.00
2026-03-28T00:58:00Z,54.00,48.00
2026-03-28T01:00:00Z,54.00,48.00
2026-03-28T02:03:00Z,54.00,48.00
2026-03-28T02:10:00Z,54.00,48.00
2026-03-28T02:21:00Z,54.00,48.00
2026-03-28T02:29:00Z,54.00,48.00
2026-03-28T02:32:00Z,54.00,48.00
2026-03-28T02:51:00Z,54.00,47.00
2026-03-28T02:55:00Z,54.00,47.98
2026-03-28T03:29:00Z,54.00,47.98
2026-03-28T03:39:00Z,51.08,47.98
2026-03-28T03:44:00Z,54.00,47.98
2026-03-28T03:49:00Z,53.00,47.98
2026-03-28T03:54:00Z,53.00,48.00
2026-03-28T03:57:00Z,53.00,48.57
2026-03-28T04:04:00Z,53.00,49.00
2026-03-28T04:17:00Z,53.00,49.00
2026-03-28T04:26:00Z,53.00,49.00
2026-03-28T04:28:00Z,51.00,49.00
2026-03-28T04:53:00Z,53.00,49.00
2026-03-28T05:00:00Z,53.50,49.00
2026-03-28T05:01:00Z,53.50,48.72
2026-03-28T05:04:00Z,53.50,49.00
2026-03-28T05:08:00Z,53.50,49.00
2026-03-28T05:14:00Z,53.50,49.00
2026-03-28T05:15:00Z,53.00,49.00
2026-03-28T05:19:00Z,53.00,49.00
2026-03-28T05:22:00Z,53.00,49.00
2026-03-28T05:23:00Z,53.00,49.00
2026-03-28T05:25:00Z,51.00,49.00
2026-03-28T05:27:00Z,53.00,49.00
2026-03-28T05:43:00Z,53.00,49.00
2026-03-28T05:44:00Z,53.00,49.00
2026-03-28T05:51:00Z,53.00,49.00
2026-03-28T05:53:00Z,53.00,49.00
2026-03-28T05:56:00Z,53.00,49.00
2026-03-28T06:14:00Z,53.00,49.00
2026-03-28T06:15:00Z,53.00,49.00
2026-03-28T06:26:00Z,53.00,49.00
2026-03-28T06:29:00Z,53.00,49.00
2026-03-28T06:30:00Z,53.00,49.00
2026-03-28T06:33:00Z,53.00,49.00
2026-03-28T06:35:00Z,51.00,49.00
2026-03-28T06:39:00Z,53.00,49.00
2026-03-28T06:40:00Z,53.34,48.00
2026-03-28T06:43:00Z,54.00,48.00
2026-03-28T06:45:00Z,54.00,48.00
2026-03-28T06:46:00Z,54.00,48.00
2026-03-28T06:49:00Z,54.00,48.00
2026-03-28T06:56:00Z,54.00,48.00
2026-03-28T06:58:00Z,54.00,48.00
2026-03-28T07:03:00Z,54.00,48.00
2026-03-28T07:04:00Z,53.00,48.00
2026-03-28T07:06:00Z,53.00,48.00
2026-03-28T07:08:00Z,54.00,48.00
2026-03-28T07:09:00Z,53.00,48.98
2026-03-28T07:10:00Z,53.00,48.98
2026-03-28T07:11:00Z,53.25,48.98
2026-03-28T07:12:00Z,53.00,48.00
2026-03-28T07:16:00Z,53.53,48.00
2026-03-28T07:17:00Z,53.53,48.00
2026-03-28T07:18:00Z,53.53,48.00
2026-03-28T07:19:00Z,53.53,48.00
2026-03-28T07:20:00Z,53.53,48.00
2026-03-28T07:21:00Z,54.00,48.00
2026-03-28T07:24:00Z,54.00,48.00
2026-03-28T07:27:00Z,54.00,48.00
2026-03-28T07:29:00Z,54.00,48.00
2026-03-28T07:30:00Z,54.00,48.00
2026-03-28T07:34:00Z,54.00,48.00
2026-03-28T07:37:00Z,54.00,48.00
2026-03-28T07:38:00Z,53.74,48.76
2026-03-28T07:41:00Z,53.74,49.00
2026-03-28T07:52:00Z,53.00,49.00
2026-03-28T07:54:00Z,53.00,49.00
2026-03-28T07:55:00Z,53.00,49.00
2026-03-28T08:02:00Z,53.00,49.00
2026-03-28T08:06:00Z,53.00,49.00
2026-03-28T08:09:00Z,53.00,48.00
2026-03-28T08:10:00Z,53.00,49.00
2026-03-28T08:11:00Z,53.00,49.00
2026-03-28T08:13:00Z,53.00,49.00
2026-03-28T08:15:00Z,53.00,49.00
2026-03-28T08:17:00Z,53.00,49.00
2026-03-28T08:25:00Z,53.00,49.00
2026-03-28T08:31:00Z,52.00,49.00
2026-03-28T08:34:00Z,52.00,49.00
2026-03-28T08:36:00Z,52.00,49.00
2026-03-28T08:38:00Z,52.00,49.00
2026-03-28T08:39:00Z,52.00,49.00
2026-03-28T08:45:00Z,52.51,49.00
2026-03-28T08:47:00Z,52.51,49.00
2026-03-28T08:49:00Z,53.00,49.00
2026-03-28T08:50:00Z,53.00,49.00
2026-03-28T08:51:00Z,53.00,49.00
2026-03-28T08:52:00Z,53.00,49.00
2026-03-28T08:54:00Z,53.00,49.00
2026-03-28T08:58:00Z,53.00,49.00
2026-03-28T09:03:00Z,52.00,49.00
2026-03-28T09:06:00Z,53.00,49.00
2026-03-28T09:08:00Z,53.00,49.00
2026-03-28T09:10:00Z,52.00,49.00
2026-03-28T09:11:00Z,52.00,49.00
2026-03-28T09:12:00Z,52.00,49.00
2026-03-28T09:14:00Z,52.00,49.00
2026-03-28T09:17:00Z,52.00,50.00
2026-03-28T09:18:00Z,52.00,50.00
2026-03-28T09:20:00Z,52.00,49.84
2026-03-28T09:23:00Z,52.00,49.84
2026-03-28T09:24:00Z,52.00,48.00
2026-03-28T09:25:00Z,52.00,48.00
2026-03-28T09:26:00Z,52.00,48.00
2026-03-28T09:27:00Z,52.14,48.00
2026-03-28T09:33:00Z,53.00,48.00
2026-03-28T09:36:00Z,53.00,49.00
2026-03-28T09:38:00Z,53.00,49.00
2026-03-28T09:39:00Z,53.00,49.00
2026-03-28T09:40:00Z,53.00,49.00
2026-03-28T09:41:00Z,53.00,49.00
2026-03-28T09:42:00Z,53.00,49.00
2026-03-28T09:43:00Z,53.00,49.00
2026-03-28T09:45:00Z,53.00,49.00
2026-03-28T09:47:00Z,53.00,49.00
2026-03-28T09:48:00Z,53.00,49.00
2026-03-28T09:49:00Z,53.00,49.00
2026-03-28T09:50:00Z,53.00,49.00
2026-03-28T09:51:00Z,53.00,49.00
2026-03-28T09:52:00Z,53.00,49.00
2026-03-28T09:53:00Z,54.00,49.00
2026-03-28T09:54:00Z,54.00,49.00
2026-03-28T09:55:00Z,54.00,49.00
2026-03-28T09:56:00Z,54.00,49.00
2026-03-28T09:57:00Z,54.00,49.00
2026-03-28T09:58:00Z,54.00,49.00
2026-03-28T09:59:00Z,54.00,48.00
2026-03-28T10:00:00Z,54.00,48.00
2026-03-28T10:01:00Z,54.00,48.00
2026-03-28T10:02:00Z,54.00,48.00
2026-03-28T10:03:00Z,54.00,48.00
2026-03-28T10:04:00Z,53.00,49.10
2026-03-28T10:05:00Z,52.76,50.00
2026-03-28T10:06:00Z,52.23,50.00
2026-03-28T10:07:00Z,52.00,50.26
2026-03-28T10:08:00Z,52.00,50.26
2026-03-28T10:09:00Z,52.00,52.58
2026-03-28T10:10:00Z,48.19,53.69
2026-03-28T10:11:00Z,48.19,49.31
2026-03-28T10:12:00Z,49.93,52.01
2026-03-28T10:13:00Z,49.00,51.99
2026-03-28T10:14:00Z,53.53,52.00
2026-03-28T10:15:00Z,54.25,47.26
2026-03-28T10:16:00Z,56.50,45.32
2026-03-28T10:17:00Z,57.25,43.74
2026-03-28T10:18:00Z,55.54,46.54
2026-03-28T10:19:00Z,51.15,47.62
2026-03-28T10:20:00Z,51.00,50.00
2026-03-28T10:21:00Z,48.84,54.69
2026-03-28T10:22:00Z,49.40,52.09
2026-03-28T10:23:00Z,49.00,53.00
2026-03-28T10:24:00Z,51.00,51.20
2026-03-28T10:25:00Z,51.00,47.10
2026-03-28T10:26:00Z,55.00,43.74
2026-03-28T10:27:00Z,52.08,48.17
2026-03-28T10:28:00Z,49.78,52.64
2026-03-28T10:29:00Z,48.03,53.34
2026-03-28T10:30:00Z,50.53,50.76
2026-03-28T10:31:00Z,52.34,50.01
2026-03-28T10:32:00Z,52.05,48.22
2026-03-28T10:33:00Z,51.76,48.48
2026-03-28T10:34:00Z,53.00,48.05
2026-03-28T10:35:00Z,58.00,43.46
2026-03-28T10:36:00Z,59.67,46.24
2026-03-28T10:37:00Z,59.93,43.33
2026-03-28T10:38:00Z,57.03,44.54
2026-03-28T10:39:00Z,60.47,40.11
2026-03-28T10:40:00Z,58.22,39.35
2026-03-28T10:41:00Z,58.46,42.42
2026-03-28T10:42:00Z,50.63,51.17
2026-03-28T10:43:00Z,50.00,50.36
2026-03-28T10:44:00Z,50.00,51.00
2026-03-28T10:45:00Z,49.74,50.42
2026-03-28T10:46:00Z,54.92,47.68
2026-03-28T10:47:00Z,56.00,48.24
2026-03-28T10:48:00Z,56.00,48.99
2026-03-28T10:49:00Z,50.57,51.35
2026-03-28T10:50:00Z,52.92,49.22
2026-03-28T10:51:00Z,57.66,46.46
2026-03-28T10:52:00Z,57.24,45.42
2026-03-28T10:53:00Z,55.94,46.98
2026-03-28T10:54:00Z,54.00,45.21
