# event_ticker=KXATPCHALLENGERMATCH-26APR29SONBEL
# final_score=6-4 1-6 7-5
# score_resolution=4-6 6-1 5-7
# match_winner=Mattia Bellucci
# fav_player=Lorenzo Sonego
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-29
timestamp,Lorenzo Sonego,Mattia Bellucci
2026-04-29T03:30:00Z,59.00,
2026-04-29T03:32:00Z,59.00,
2026-04-29T04:10:00Z,58.00,
2026-04-29T04:25:00Z,58.00,
2026-04-29T04:26:00Z,58.00,
2026-04-29T04:27:00Z,56.00,
2026-04-29T04:33:00Z,58.00,
2026-04-29T04:39:00Z,58.81,
2026-04-29T05:18:00Z,58.81,41.00
2026-04-29T05:55:00Z,58.00,41.00
2026-04-29T05:56:00Z,59.00,41.00
2026-04-29T06:07:00Z,59.00,41.00
2026-04-29T06:08:00Z,59.00,41.00
2026-04-29T06:34:00Z,57.00,41.00
2026-04-29T07:12:00Z,57.00,41.00
2026-04-29T07:55:00Z,57.00,44.00
2026-04-29T08:33:00Z,57.00,44.00
2026-04-29T08:59:00Z,57.00,44.00
2026-04-29T09:16:00Z,57.00,44.00
2026-04-29T10:18:00Z,57.00,44.00
2026-04-29T10:46:00Z,57.00,44.00
2026-04-29T11:24:00Z,58.00,44.00
2026-04-29T11:37:00Z,58.00,44.00
2026-04-29T11:41:00Z,58.00,44.04
2026-04-29T12:00:00Z,58.00,45.00
2026-04-29T12:11:00Z,58.00,45.00
2026-04-29T12:15:00Z,57.00,45.00
2026-04-29T12:16:00Z,57.00,45.00
2026-04-29T12:18:00Z,57.00,45.00
2026-04-29T12:27:00Z,57.00,45.00
2026-04-29T12:30:00Z,57.00,42.25
2026-04-29T12:50:00Z,57.00,43.00
2026-04-29T12:54:00Z,57.00,43.00
2026-04-29T13:03:00Z,58.00,43.00
2026-04-29T13:10:00Z,58.00,43.00
2026-04-29T13:11:00Z,58.00,43.00
2026-04-29T13:12:00Z,58.00,43.00
2026-04-29T13:15:00Z,58.00,43.00
2026-04-29T13:20:00Z,58.00,43.00
2026-04-29T13:23:00Z,58.00,43.00
2026-04-29T13:24:00Z,58.00,43.00
2026-04-29T13:25:00Z,58.00,43.00
2026-04-29T13:28:00Z,58.00,43.00
2026-04-29T13:29:00Z,58.00,43.00
2026-04-29T13:30:00Z,58.00,43.00
2026-04-29T13:32:00Z,58.00,43.00
2026-04-29T13:33:00Z,55.66,43.00
2026-04-29T13:34:00Z,57.00,43.00
2026-04-29T13:35:00Z,57.00,43.00
2026-04-29T13:38:00Z,57.00,43.00
