# event_ticker=KXATPCHALLENGERMATCH-26MAR19VARPRA
# final_score=6-3 4-6 6-3
# match_winner=Juan Pablo Varillas
# fav_player=Juan Pablo Varillas
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-19
timestamp,Juan Pablo Varillas,Juan Carlos Prado Angelo
2026-03-19T09:04:00Z,57.00,
2026-03-19T10:26:00Z,57.00,
2026-03-19T10:41:00Z,57.00,
2026-03-19T10:50:00Z,57.00,46.00
2026-03-19T11:29:00Z,55.00,46.00
2026-03-19T12:08:00Z,55.00,46.00
2026-03-19T12:45:00Z,55.00,46.00
2026-03-19T12:46:00Z,56.00,46.00
2026-03-19T12:50:00Z,56.00,46.00
2026-03-19T13:24:00Z,56.00,46.00
2026-03-19T14:40:00Z,56.00,46.00
2026-03-19T14:51:00Z,56.00,46.00
2026-03-19T15:42:00Z,54.00,46.00
2026-03-19T16:25:00Z,56.00,46.00
2026-03-19T16:37:00Z,56.00,46.00
2026-03-19T17:05:00Z,56.00,46.00
2026-03-19T17:08:00Z,56.00,45.10
2026-03-19T17:11:00Z,56.00,46.61
2026-03-19T17:47:00Z,56.78,46.61
2026-03-19T17:51:00Z,56.78,46.00
2026-03-19T17:54:00Z,57.00,46.00
2026-03-19T18:11:00Z,57.00,45.96
2026-03-19T18:12:00Z,55.89,45.96
2026-03-19T18:13:00Z,54.91,51.53
2026-03-19T18:14:00Z,52.00,50.00
2026-03-19T18:15:00Z,50.00,55.00
2026-03-19T18:16:00Z,49.00,51.03
2026-03-19T18:17:00Z,50.00,50.00
2026-03-19T18:18:00Z,50.00,51.95
2026-03-19T18:19:00Z,57.62,43.00
2026-03-19T18:20:00Z,59.00,41.00
2026-03-19T18:21:00Z,59.00,39.00
2026-03-19T18:22:00Z,70.00,33.00
2026-03-19T18:23:00Z,70.00,29.70
2026-03-19T18:24:00Z,72.00,29.00
2026-03-19T18:25:00Z,75.00,26.01
2026-03-19T18:26:00Z,73.45,26.01
2026-03-19T18:27:00Z,72.20,28.98
2026-03-19T18:28:00Z,71.87,31.00
2026-03-19T18:29:00Z,71.87,34.46
2026-03-19T18:30:00Z,74.00,28.98
2026-03-19T18:31:00Z,74.00,28.00
2026-03-19T18:32:00Z,74.00,26.00
2026-03-19T18:33:00Z,74.00,30.00
2026-03-19T18:34:00Z,74.00,31.00
2026-03-19T18:35:00Z,66.86,33.48
2026-03-19T18:36:00Z,70.78,32.02
2026-03-19T18:38:00Z,68.87,35.55
2026-03-19T18:39:00Z,68.87,42.43
2026-03-19T18:40:00Z,68.87,42.99
2026-03-19T18:41:00Z,56.00,43.32
2026-03-19T18:42:00Z,55.06,43.17
2026-03-19T18:43:00Z,54.32,47.76
2026-03-19T18:44:00Z,51.00,47.76
2026-03-19T18:46:00Z,51.00,45.00
2026-03-19T18:47:00Z,57.00,45.00
2026-03-19T18:48:00Z,55.00,45.00
2026-03-19T18:49:00Z,57.99,44.00
2026-03-19T18:50:00Z,55.01,44.00
2026-03-19T18:51:00Z,56.00,39.00
2026-03-19T18:52:00Z,65.88,34.00
2026-03-19T18:53:00Z,70.06,31.11
2026-03-19T18:55:00Z,77.00,23.00
2026-03-19T18:56:00Z,77.00,21.56
2026-03-19T18:57:00Z,78.15,25.00
2026-03-19T18:58:00Z,77.56,25.00
2026-03-19T18:59:00Z,77.56,22.00
2026-03-19T19:00:00Z,79.00,22.00
2026-03-19T19:01:00Z,79.00,22.00
2026-03-19T19:02:00Z,79.00,22.00
2026-03-19T19:03:00Z,79.00,22.00
2026-03-19T19:05:00Z,79.00,22.54
2026-03-19T19:06:00Z,79.00,22.92
2026-03-19T19:08:00Z,77.00,23.97
2026-03-19T19:09:00Z,78.67,23.97
2026-03-19T19:10:00Z,86.00,13.12
2026-03-19T19:11:00Z,89.00,13.12
2026-03-19T19:12:00Z,89.37,11.45
2026-03-19T19:13:00Z,91.99,9.00
2026-03-19T19:14:00Z,92.00,9.00
2026-03-19T19:15:00Z,92.00,9.00
2026-03-19T19:16:00Z,91.48,7.00
2026-03-19T19:17:00Z,91.00,8.07
2026-03-19T19:18:00Z,90.00,7.00
2026-03-19T19:19:00Z,90.00,10.97
2026-03-19T19:20:00Z,90.00,10.97
2026-03-19T19:21:00Z,88.82,14.30
2026-03-19T19:22:00Z,88.82,18.19
2026-03-19T19:23:00Z,88.82,21.00
2026-03-19T19:24:00Z,80.42,23.19
2026-03-19T19:25:00Z,84.86,17.10
2026-03-19T19:26:00Z,84.86,9.24
2026-03-19T19:27:00Z,92.00,8.91
2026-03-19T19:28:00Z,94.83,6.92
2026-03-19T19:29:00Z,94.00,7.30
2026-03-19T19:30:00Z,91.00,10.25
2026-03-19T19:31:00Z,90.00,11.00
2026-03-19T19:33:00Z,83.00,17.00
2026-03-19T19:34:00Z,83.77,16.13
2026-03-19T19:35:00Z,86.95,14.78
2026-03-19T19:36:00Z,77.73,24.69
2026-03-19T19:37:00Z,77.58,24.65
2026-03-19T19:38:00Z,74.18,28.97
2026-03-19T19:39:00Z,69.75,29.10
2026-03-19T19:40:00Z,69.00,32.00
2026-03-19T19:41:00Z,70.15,29.19
2026-03-19T19:42:00Z,72.00,29.19
2026-03-19T19:43:00Z,72.00,28.11
2026-03-19T19:44:00Z,76.00,24.50
2026-03-19T19:45:00Z,72.00,24.50
2026-03-19T19:46:00Z,72.00,29.79
2026-03-19T19:47:00Z,75.65,25.76
2026-03-19T19:48:00Z,70.00,28.36
2026-03-19T19:49:00Z,70.00,30.00
2026-03-19T19:50:00Z,69.67,35.00
2026-03-19T19:51:00Z,59.29,41.00
2026-03-19T19:52:00Z,62.00,36.80
2026-03-19T19:53:00Z,55.92,49.07
2026-03-19T19:54:00Z,70.00,27.13
2026-03-19T19:55:00Z,71.01,33.00
2026-03-19T19:56:00Z,69.20,30.95
2026-03-19T19:57:00Z,64.19,33.63
2026-03-19T19:58:00Z,51.00,49.29
2026-03-19T19:59:00Z,52.00,48.03
2026-03-19T20:00:00Z,51.92,48.05
2026-03-19T20:01:00Z,52.00,48.75
2026-03-19T20:02:00Z,52.00,49.92
2026-03-19T20:03:00Z,52.00,49.22
2026-03-19T20:04:00Z,52.00,48.92
2026-03-19T20:05:00Z,52.00,50.00
2026-03-19T20:06:00Z,52.00,49.68
2026-03-19T20:07:00Z,52.00,49.69
2026-03-19T20:08:00Z,51.79,50.00
2026-03-19T20:10:00Z,49.78,53.21
2026-03-19T20:11:00Z,48.02,57.03
2026-03-19T20:12:00Z,45.00,55.63
2026-03-19T20:13:00Z,32.87,62.00
2026-03-19T20:14:00Z,33.13,65.74
2026-03-19T20:15:00Z,42.83,54.62
2026-03-19T20:16:00Z,42.17,56.06
2026-03-19T20:17:00Z,51.00,48.79
2026-03-19T20:18:00Z,44.04,54.73
2026-03-19T20:19:00Z,42.78,57.74
2026-03-19T20:20:00Z,42.60,56.15
2026-03-19T20:21:00Z,50.43,44.04
2026-03-19T20:22:00Z,62.13,38.63
2026-03-19T20:23:00Z,70.57,27.09
2026-03-19T20:24:00Z,85.89,15.43
2026-03-19T20:25:00Z,87.74,12.72
2026-03-19T20:26:00Z,87.32,11.41
2026-03-19T20:27:00Z,92.26,7.60
2026-03-19T20:28:00Z,89.90,7.88
2026-03-19T20:29:00Z,87.00,12.88
2026-03-19T20:30:00Z,90.39,14.62
2026-03-19T20:31:00Z,89.97,13.17
2026-03-19T20:32:00Z,90.27,9.31
2026-03-19T20:33:00Z,94.61,5.84
2026-03-19T20:34:00Z,95.06,6.31
2026-03-19T20:35:00Z,98.65,1.03
2026-03-19T20:36:00Z,98.65,1.00
2026-03-19T20:37:00Z,99.00,1.00
2026-03-19T20:38:00Z,99.00,1.00
2026-03-19T20:39:00Z,99.00,1.00
2026-03-19T20:40:00Z,99.00,1.00
