# event_ticker=KXATPCHALLENGERMATCH-26APR02TUNMOR
# final_score=7-6(7) 7-6(1)
# score_resolution=6-7 6-7
# match_winner=Tung-Lin Wu
# fav_player=Hiroki Moriya
# dog_player=Tung-Lin Wu
# kalshi_date=2026-04-02
timestamp,Hiroki Moriya,Tung-Lin Wu
2026-04-02T15:05:00Z,41.23,59.08
2026-04-02T15:08:00Z,39.00,69.00
2026-04-02T15:11:00Z,57.00,66.09
2026-04-02T15:12:00Z,57.00,70.00
2026-04-02T15:15:00Z,57.00,55.00
2026-04-02T15:22:00Z,57.00,35.00
2026-04-02T15:24:00Z,53.00,35.00
2026-04-02T15:25:00Z,53.00,47.00
2026-04-02T15:28:00Z,53.00,52.00
2026-04-02T15:29:00Z,55.00,52.00
2026-04-02T15:40:00Z,52.00,52.00
2026-04-02T15:46:00Z,51.00,52.00
2026-04-02T15:50:00Z,50.00,52.00
2026-04-02T16:07:00Z,40.30,77.75
2026-04-02T16:08:00Z,45.00,77.75
2026-04-02T16:52:00Z,45.00,68.00
2026-04-02T17:19:00Z,45.00,68.00
2026-04-02T17:33:00Z,45.00,68.00
2026-04-02T17:49:00Z,36.00,68.00
2026-04-02T18:55:00Z,34.00,68.00
2026-04-02T19:27:00Z,34.00,68.00
2026-04-02T19:31:00Z,34.00,68.00
2026-04-02T19:39:00Z,31.00,68.00
2026-04-02T20:02:00Z,31.00,72.90
2026-04-02T20:04:00Z,31.00,72.90
2026-04-02T20:11:00Z,31.00,72.90
2026-04-02T20:12:00Z,31.00,72.90
2026-04-02T21:20:00Z,31.00,72.00
2026-04-02T21:37:00Z,31.00,72.00
2026-04-02T21:42:00Z,31.00,72.00
2026-04-02T21:52:00Z,31.00,73.00
2026-04-02T22:03:00Z,31.00,72.00
2026-04-02T22:04:00Z,31.00,72.00
2026-04-02T23:04:00Z,31.00,72.00
2026-04-02T23:26:00Z,31.00,73.00
2026-04-02T23:27:00Z,30.00,73.00
2026-04-02T23:59:00Z,30.00,73.00
2026-04-03T00:18:00Z,29.00,73.00
2026-04-03T00:36:00Z,29.00,73.00
2026-04-03T00:41:00Z,29.00,73.00
2026-04-03T00:42:00Z,27.00,73.00
2026-04-03T00:43:00Z,29.00,73.00
2026-04-03T00:51:00Z,29.00,73.00
2026-04-03T00:52:00Z,29.00,73.00
2026-04-03T00:53:00Z,29.00,73.00
2026-04-03T01:04:00Z,29.00,73.00
2026-04-03T01:22:00Z,29.00,73.00
2026-04-03T01:49:00Z,29.00,73.00
2026-04-03T01:50:00Z,29.00,73.00
2026-04-03T01:54:00Z,29.00,73.00
2026-04-03T01:55:00Z,29.00,73.00
2026-04-03T01:56:00Z,29.92,73.00
2026-04-03T01:57:00Z,29.92,73.00
2026-04-03T01:58:00Z,29.92,73.00
2026-04-03T02:05:00Z,29.99,72.46
2026-04-03T02:08:00Z,29.99,73.00
2026-04-03T02:09:00Z,30.00,73.00
2026-04-03T02:10:00Z,29.79,74.00
2026-04-03T02:11:00Z,31.00,73.67
2026-04-03T02:12:00Z,29.50,71.75
2026-04-03T02:13:00Z,29.75,72.79
2026-04-03T02:14:00Z,27.01,72.79
2026-04-03T02:15:00Z,27.80,74.82
2026-04-03T02:16:00Z,28.03,74.82
2026-04-03T02:17:00Z,27.00,74.82
2026-04-03T02:18:00Z,29.86,72.82
2026-04-03T02:19:00Z,32.90,70.00
2026-04-03T02:20:00Z,32.90,71.07
2026-04-03T02:21:00Z,32.43,68.00
2026-04-03T02:22:00Z,41.69,62.52
2026-04-03T02:23:00Z,45.92,55.95
2026-04-03T02:24:00Z,44.79,56.96
