# event_ticker=KXATPCHALLENGERMATCH-26MAY13MARCLA
# final_score=7-5 6-1
# match_winner=Jay Clarke
# fav_player=Jay Clarke
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-05-13
timestamp,Pol Martin Tiffon,Jay Clarke
2026-05-13T00:09:00Z,59.00,
2026-05-13T01:40:00Z,59.00,
2026-05-13T02:36:00Z,60.00,
2026-05-13T02:37:00Z,60.00,40.00
2026-05-13T02:55:00Z,60.00,40.00
2026-05-13T03:46:00Z,60.00,40.00
2026-05-13T03:53:00Z,61.00,40.00
2026-05-13T04:57:00Z,61.00,40.00
2026-05-13T04:58:00Z,61.00,40.00
2026-05-13T05:09:00Z,61.00,40.00
2026-05-13T05:12:00Z,61.00,40.00
2026-05-13T05:19:00Z,61.00,40.00
2026-05-13T05:44:00Z,61.72,40.00
2026-05-13T06:49:00Z,61.72,40.00
2026-05-13T07:38:00Z,61.00,40.00
2026-05-13T09:35:00Z,61.00,39.00
2026-05-13T10:52:00Z,64.00,39.00
2026-05-13T11:02:00Z,64.00,39.00
2026-05-13T11:05:00Z,64.00,39.00
2026-05-13T11:06:00Z,64.00,39.00
2026-05-13T11:41:00Z,68.86,32.09
2026-05-13T11:42:00Z,68.86,23.00
2026-05-13T11:43:00Z,90.29,24.00
2026-05-13T11:46:00Z,70.76,24.00
2026-05-13T11:50:00Z,67.00,24.00
2026-05-13T11:51:00Z,67.00,30.00
2026-05-13T11:52:00Z,63.24,35.89
2026-05-13T11:53:00Z,60.59,41.25
2026-05-13T11:54:00Z,57.21,42.51
2026-05-13T11:55:00Z,57.23,42.69
2026-05-13T11:56:00Z,55.74,46.31
2026-05-13T11:57:00Z,62.68,44.25
2026-05-13T11:58:00Z,69.70,32.21
2026-05-13T11:59:00Z,70.00,32.21
2026-05-13T12:00:00Z,70.28,34.40
2026-05-13T12:01:00Z,69.57,34.00
2026-05-13T12:02:00Z,72.25,28.00
2026-05-13T12:03:00Z,73.95,28.00
2026-05-13T12:04:00Z,74.00,31.68
2026-05-13T12:05:00Z,73.93,27.00
2026-05-13T12:06:00Z,75.11,25.00
2026-05-13T12:07:00Z,76.00,25.00
2026-05-13T12:08:00Z,73.14,28.94
2026-05-13T12:09:00Z,72.00,29.00
2026-05-13T12:10:00Z,72.50,27.00
2026-05-13T12:11:00Z,75.21,26.68
2026-05-13T12:12:00Z,71.00,26.32
2026-05-13T12:13:00Z,70.96,34.90
2026-05-13T12:14:00Z,54.17,47.31
2026-05-13T12:15:00Z,54.00,48.51
2026-05-13T12:16:00Z,53.95,46.80
2026-05-13T12:17:00Z,54.40,49.30
2026-05-13T12:18:00Z,48.14,52.81
2026-05-13T12:19:00Z,50.09,50.09
2026-05-13T12:20:00Z,52.34,48.04
2026-05-13T12:21:00Z,51.31,49.01
2026-05-13T12:22:00Z,52.67,49.79
2026-05-13T12:23:00Z,42.27,58.78
2026-05-13T12:24:00Z,29.22,65.29
2026-05-13T12:25:00Z,29.45,73.83
2026-05-13T12:26:00Z,26.98,73.00
2026-05-13T12:27:00Z,30.31,73.00
2026-05-13T12:28:00Z,30.25,73.23
2026-05-13T12:29:00Z,31.06,72.33
2026-05-13T12:30:00Z,33.45,68.16
2026-05-13T12:31:00Z,29.57,70.48
2026-05-13T12:32:00Z,29.13,72.04
2026-05-13T12:33:00Z,26.43,74.85
2026-05-13T12:34:00Z,23.05,77.37
2026-05-13T12:35:00Z,17.92,78.41
2026-05-13T12:36:00Z,24.04,77.86
2026-05-13T12:37:00Z,20.17,81.87
2026-05-13T12:38:00Z,21.52,80.25
2026-05-13T12:39:00Z,13.73,88.29
2026-05-13T12:40:00Z,11.89,89.30
2026-05-13T12:41:00Z,13.72,88.98
2026-05-13T12:42:00Z,11.81,87.97
2026-05-13T12:43:00Z,16.91,84.76
2026-05-13T12:44:00Z,14.42,86.37
2026-05-13T12:45:00Z,12.49,89.33
2026-05-13T12:46:00Z,11.94,88.69
2026-05-13T12:47:00Z,12.71,88.09
2026-05-13T12:48:00Z,16.87,88.79
2026-05-13T12:49:00Z,14.20,89.56
2026-05-13T12:50:00Z,11.27,86.21
2026-05-13T12:51:00Z,9.27,90.94
2026-05-13T12:52:00Z,8.81,90.90
2026-05-13T12:53:00Z,11.57,90.43
2026-05-13T12:54:00Z,13.36,91.54
2026-05-13T12:55:00Z,10.37,89.99
2026-05-13T12:56:00Z,13.97,89.78
2026-05-13T12:57:00Z,11.22,91.10
2026-05-13T12:58:00Z,7.72,92.13
2026-05-13T12:59:00Z,6.98,93.02
2026-05-13T13:00:00Z,6.83,93.02
2026-05-13T13:01:00Z,9.47,92.35
2026-05-13T13:02:00Z,5.80,94.51
2026-05-13T13:03:00Z,5.85,95.96
2026-05-13T13:04:00Z,4.00,94.21
2026-05-13T13:05:00Z,1.83,97.08
2026-05-13T13:06:00Z,1.85,98.95
2026-05-13T13:07:00Z,1.77,99.00
2026-05-13T13:08:00Z,1.00,99.00
2026-05-13T13:09:00Z,1.00,99.00
2026-05-13T13:10:00Z,1.00,99.00
2026-05-13T13:11:00Z,1.00,99.00
2026-05-13T13:12:00Z,1.00,99.00
