# event_ticker=KXATPCHALLENGERMATCH-26FEB16BUTGEE
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Michael Geerts
# fav_player=Edas Butvilas
# dog_player=Michael Geerts
# kalshi_date=2026-02-16
timestamp,Edas Butvilas,Michael Geerts
2026-02-15T22:40:00Z,70.00,
2026-02-15T23:34:00Z,70.00,32.00
2026-02-15T23:58:00Z,70.00,32.00
2026-02-16T00:14:00Z,70.00,34.00
2026-02-16T00:15:00Z,70.00,34.00
2026-02-16T00:16:00Z,66.00,34.00
2026-02-16T00:22:00Z,70.00,34.00
2026-02-16T01:32:00Z,70.00,34.00
2026-02-16T01:42:00Z,70.00,34.00
2026-02-16T02:13:00Z,70.00,34.00
2026-02-16T02:35:00Z,70.00,34.00
2026-02-16T02:46:00Z,70.00,34.00
2026-02-16T03:06:00Z,70.00,34.00
2026-02-16T03:10:00Z,70.00,34.00
2026-02-16T03:12:00Z,70.00,34.00
2026-02-16T03:44:00Z,70.00,34.00
2026-02-16T04:03:00Z,70.00,34.00
2026-02-16T04:04:00Z,70.00,34.00
2026-02-16T04:05:00Z,70.00,34.00
2026-02-16T04:11:00Z,70.00,33.00
2026-02-16T04:14:00Z,70.00,33.00
2026-02-16T04:23:00Z,70.00,33.00
2026-02-16T04:24:00Z,70.00,33.00
2026-02-16T04:36:00Z,70.00,33.00
2026-02-16T04:41:00Z,70.00,31.00
2026-02-16T04:49:00Z,70.00,33.00
2026-02-16T04:51:00Z,70.00,33.00
2026-02-16T04:53:00Z,70.00,33.00
2026-02-16T04:54:00Z,70.00,33.00
2026-02-16T05:06:00Z,70.00,33.00
2026-02-16T05:11:00Z,70.00,33.00
2026-02-16T05:24:00Z,70.00,33.00
2026-02-16T05:29:00Z,70.00,31.00
2026-02-16T05:44:00Z,70.00,33.00
2026-02-16T05:59:00Z,70.00,33.00
2026-02-16T06:30:00Z,69.00,33.00
2026-02-16T06:35:00Z,70.00,33.00
2026-02-16T06:40:00Z,70.00,33.00
2026-02-16T06:43:00Z,70.00,33.00
2026-02-16T06:46:00Z,70.00,33.00
2026-02-16T06:59:00Z,70.00,33.00
2026-02-16T07:02:00Z,70.00,33.00
2026-02-16T07:09:00Z,70.00,33.00
2026-02-16T07:15:00Z,70.00,33.00
2026-02-16T07:24:00Z,70.00,33.00
2026-02-16T07:25:00Z,70.00,33.00
2026-02-16T07:26:00Z,70.00,33.00
2026-02-16T07:29:00Z,70.00,33.00
2026-02-16T07:31:00Z,70.00,33.00
2026-02-16T07:37:00Z,70.00,33.00
2026-02-16T07:38:00Z,70.00,33.00
2026-02-16T07:41:00Z,70.00,33.00
2026-02-16T07:44:00Z,70.00,33.00
2026-02-16T07:52:00Z,70.00,33.00
2026-02-16T08:03:00Z,69.00,33.00
2026-02-16T08:08:00Z,69.00,33.00
2026-02-16T08:10:00Z,69.00,33.00
2026-02-16T08:11:00Z,69.00,33.00
2026-02-16T08:12:00Z,69.00,33.00
2026-02-16T08:14:00Z,69.00,33.00
2026-02-16T08:16:00Z,69.00,33.58
2026-02-16T08:17:00Z,68.97,33.58
2026-02-16T08:20:00Z,69.00,33.58
2026-02-16T08:21:00Z,68.97,33.58
2026-02-16T08:22:00Z,70.17,33.58
2026-02-16T08:26:00Z,69.99,33.58
2026-02-16T08:28:00Z,69.99,33.00
2026-02-16T08:29:00Z,69.00,33.00
2026-02-16T08:30:00Z,69.00,33.00
2026-02-16T08:32:00Z,70.00,33.00
2026-02-16T08:33:00Z,69.65,33.00
2026-02-16T08:34:00Z,67.18,34.45
2026-02-16T08:35:00Z,61.15,39.37
2026-02-16T08:36:00Z,54.12,49.00
2026-02-16T08:38:00Z,58.96,46.86
2026-02-16T08:39:00Z,61.36,42.00
2026-02-16T08:40:00Z,59.01,40.99
2026-02-16T08:41:00Z,54.05,44.00
2026-02-16T08:42:00Z,49.04,51.04
2026-02-16T08:43:00Z,48.36,53.25
2026-02-16T08:44:00Z,37.47,61.39
2026-02-16T08:45:00Z,37.47,64.00
2026-02-16T08:46:00Z,38.00,64.00
2026-02-16T08:47:00Z,41.52,60.07
2026-02-16T08:48:00Z,40.74,59.38
2026-02-16T08:49:00Z,40.00,61.00
2026-02-16T08:50:00Z,41.12,58.50
2026-02-16T08:51:00Z,41.12,64.00
2026-02-16T08:52:00Z,33.49,65.99
2026-02-16T08:53:00Z,35.05,66.02
2026-02-16T08:54:00Z,31.58,68.68
2026-02-16T08:55:00Z,34.00,67.00
