# event_ticker=KXATPCHALLENGERMATCH-26MAR16BARKIN
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Alex Barrena
# fav_player=Cannon Kingsley
# dog_player=Alex Barrena
# kalshi_date=2026-03-16
timestamp,Cannon Kingsley,Alex Barrena
2026-03-17T13:34:00Z,,64.00
2026-03-17T13:35:00Z,35.00,64.00
2026-03-17T13:49:00Z,35.00,64.00
2026-03-17T14:40:00Z,35.00,64.00
2026-03-17T15:34:00Z,35.00,65.00
2026-03-17T17:36:00Z,35.00,66.00
2026-03-17T18:09:00Z,35.00,66.00
2026-03-17T18:11:00Z,35.00,66.00
2026-03-17T18:14:00Z,35.00,66.00
2026-03-17T18:37:00Z,35.00,66.00
2026-03-17T19:26:00Z,35.00,67.00
2026-03-17T19:47:00Z,35.00,67.00
2026-03-17T20:05:00Z,35.00,67.00
2026-03-17T20:33:00Z,35.00,67.00
2026-03-17T21:15:00Z,35.00,67.00
2026-03-17T21:41:00Z,35.00,67.00
2026-03-17T22:22:00Z,35.00,66.00
2026-03-17T22:55:00Z,35.00,67.00
2026-03-17T23:23:00Z,35.00,67.00
2026-03-17T23:29:00Z,34.00,67.00
2026-03-17T23:30:00Z,34.00,68.00
2026-03-17T23:31:00Z,34.03,68.00
2026-03-17T23:32:00Z,34.03,68.00
2026-03-17T23:35:00Z,34.30,68.92
2026-03-17T23:36:00Z,37.00,68.00
2026-03-17T23:37:00Z,32.00,70.00
2026-03-17T23:38:00Z,31.00,70.33
2026-03-17T23:39:00Z,32.00,72.46
2026-03-17T23:40:00Z,32.00,71.00
2026-03-17T23:41:00Z,34.00,71.00
2026-03-17T23:42:00Z,36.00,71.00
2026-03-17T23:43:00Z,36.00,64.00
2026-03-17T23:44:00Z,35.00,64.00
2026-03-17T23:45:00Z,37.46,60.00
2026-03-17T23:46:00Z,40.94,59.63
2026-03-17T23:47:00Z,40.94,60.40
2026-03-17T23:48:00Z,40.94,60.00
2026-03-17T23:49:00Z,38.40,62.01
2026-03-17T23:50:00Z,39.97,57.00
2026-03-17T23:51:00Z,46.00,50.48
2026-03-17T23:52:00Z,46.00,50.45
2026-03-17T23:53:00Z,46.00,53.82
2026-03-17T23:54:00Z,53.97,48.94
2026-03-17T23:55:00Z,57.56,45.00
2026-03-17T23:56:00Z,55.05,43.84
2026-03-17T23:57:00Z,56.12,43.15
2026-03-17T23:58:00Z,62.88,39.01
2026-03-17T23:59:00Z,57.89,47.00
2026-03-18T00:00:00Z,54.00,47.00
2026-03-18T00:01:00Z,54.79,46.86
2026-03-18T00:02:00Z,54.78,49.33
2026-03-18T00:03:00Z,54.78,45.83
2026-03-18T00:04:00Z,52.05,48.65
2026-03-18T00:05:00Z,49.41,51.27
2026-03-18T00:06:00Z,39.83,60.45
2026-03-18T00:07:00Z,39.64,62.68
2026-03-18T00:08:00Z,41.94,61.09
2026-03-18T00:09:00Z,38.00,64.17
2026-03-18T00:10:00Z,38.00,63.03
2026-03-18T00:11:00Z,38.62,64.85
2026-03-18T00:12:00Z,37.84,63.42
2026-03-18T00:13:00Z,30.75,69.16
2026-03-18T00:14:00Z,30.48,70.03
2026-03-18T00:15:00Z,25.13,72.80
2026-03-18T00:16:00Z,26.41,75.34
2026-03-18T00:17:00Z,34.94,68.22
