# event_ticker=KXATPCHALLENGERMATCH-26APR28GULNED
# final_score=6-0 2-0 RET
# match_winner=Andrej Nedic
# fav_player=Andrej Nedic
# dog_player=Svyatoslav Gulin
# kalshi_date=2026-04-28
timestamp,Svyatoslav Gulin,Andrej Nedic
2026-04-27T20:02:00Z,,55.00
2026-04-27T21:12:00Z,39.00,55.00
2026-04-27T21:37:00Z,39.00,60.00
2026-04-27T21:50:00Z,39.00,60.00
2026-04-27T21:51:00Z,39.00,61.00
2026-04-27T22:00:00Z,38.00,61.00
2026-04-27T22:07:00Z,38.00,62.00
2026-04-27T22:11:00Z,38.00,62.00
2026-04-27T22:23:00Z,38.00,63.00
2026-04-27T22:50:00Z,38.00,63.00
2026-04-27T23:38:00Z,38.00,64.00
2026-04-28T00:36:00Z,38.00,64.00
2026-04-28T01:22:00Z,38.00,64.00
2026-04-28T01:30:00Z,38.00,64.00
2026-04-28T02:34:00Z,38.00,64.00
2026-04-28T02:41:00Z,38.00,64.00
2026-04-28T03:11:00Z,38.00,64.00
2026-04-28T03:18:00Z,38.00,64.00
2026-04-28T03:19:00Z,38.00,64.00
2026-04-28T03:26:00Z,38.00,64.00
2026-04-28T03:32:00Z,38.00,64.00
2026-04-28T03:40:00Z,38.00,64.00
2026-04-28T03:44:00Z,38.00,64.00
2026-04-28T03:48:00Z,38.00,64.00
2026-04-28T03:49:00Z,38.00,64.93
2026-04-28T03:55:00Z,38.00,65.00
2026-04-28T03:56:00Z,38.00,65.00
2026-04-28T03:57:00Z,38.00,65.00
2026-04-28T03:58:00Z,38.00,65.85
2026-04-28T04:01:00Z,37.00,66.00
2026-04-28T04:07:00Z,37.00,67.00
2026-04-28T04:08:00Z,37.00,67.00
2026-04-28T04:14:00Z,37.00,65.00
2026-04-28T04:15:00Z,37.00,65.00
2026-04-28T04:16:00Z,37.00,65.00
2026-04-28T04:19:00Z,37.00,64.00
2026-04-28T04:20:00Z,37.00,64.76
2026-04-28T04:22:00Z,37.00,64.00
2026-04-28T04:39:00Z,37.00,64.00
2026-04-28T04:40:00Z,37.00,64.00
2026-04-28T04:47:00Z,37.00,64.00
2026-04-28T04:48:00Z,37.00,64.00
2026-04-28T04:53:00Z,37.00,64.00
2026-04-28T04:54:00Z,37.00,64.00
2026-04-28T04:57:00Z,37.00,64.00
2026-04-28T04:59:00Z,37.00,64.00
2026-04-28T05:00:00Z,37.00,65.00
2026-04-28T05:01:00Z,37.00,65.00
2026-04-28T05:03:00Z,37.00,65.00
2026-04-28T05:04:00Z,37.70,64.00
2026-04-28T05:05:00Z,37.70,65.79
2026-04-28T05:06:00Z,35.00,68.40
2026-04-28T05:07:00Z,35.00,64.00
2026-04-28T05:08:00Z,32.70,66.39
2026-04-28T05:09:00Z,32.70,74.00
2026-04-28T05:10:00Z,28.00,75.00
2026-04-28T05:11:00Z,22.40,78.41
2026-04-28T05:12:00Z,22.40,82.13
2026-04-28T05:13:00Z,22.40,82.18
2026-04-28T05:14:00Z,14.10,85.98
2026-04-28T05:15:00Z,16.00,86.00
2026-04-28T05:16:00Z,15.00,86.79
2026-04-28T05:17:00Z,13.00,86.78
2026-04-28T05:18:00Z,14.00,87.77
2026-04-28T05:19:00Z,13.01,88.02
2026-04-28T05:20:00Z,12.00,91.20
2026-04-28T05:21:00Z,8.00,92.14
2026-04-28T05:22:00Z,9.37,93.33
2026-04-28T05:23:00Z,8.00,93.24
2026-04-28T05:24:00Z,8.00,94.00
2026-04-28T05:25:00Z,8.41,93.34
2026-04-28T05:26:00Z,8.55,93.00
2026-04-28T05:27:00Z,8.79,93.05
2026-04-28T05:28:00Z,6.00,95.34
2026-04-28T05:29:00Z,6.32,95.35
2026-04-28T05:30:00Z,7.05,93.07
2026-04-28T05:31:00Z,7.56,92.02
2026-04-28T05:32:00Z,8.28,91.00
2026-04-28T05:33:00Z,7.76,95.00
2026-04-28T05:34:00Z,4.17,96.33
2026-04-28T05:35:00Z,5.00,97.00
2026-04-28T05:36:00Z,1.68,94.45
2026-04-28T05:37:00Z,1.03,98.98
2026-04-28T05:38:00Z,1.00,99.00
2026-04-28T05:40:00Z,1.00,99.00
2026-04-28T05:43:00Z,1.00,99.00
