# event_ticker=KXATPCHALLENGERMATCH-26JUN01KOTDEN
# final_score=6-2 6-1
# match_winner=Guy Den Ouden
# fav_player=Guy Den Ouden
# dog_player=Pavel Kotov
# kalshi_date=2026-06-01
timestamp,Pavel Kotov,Guy Den Ouden
2026-06-01T02:06:00Z,,50.00
2026-06-01T03:14:00Z,53.00,50.00
2026-06-01T03:16:00Z,53.00,50.00
2026-06-01T03:45:00Z,53.00,50.00
2026-06-01T04:20:00Z,52.00,50.00
2026-06-01T04:54:00Z,52.00,49.00
2026-06-01T05:01:00Z,53.00,49.00
2026-06-01T05:59:00Z,51.05,49.00
2026-06-01T06:32:00Z,51.00,49.00
2026-06-01T06:42:00Z,51.00,49.00
2026-06-01T07:13:00Z,51.00,49.00
2026-06-01T09:10:00Z,51.00,49.00
2026-06-01T09:25:00Z,51.00,49.00
2026-06-01T09:31:00Z,51.00,49.00
2026-06-01T09:48:00Z,51.00,49.00
2026-06-01T11:51:00Z,51.00,49.00
2026-06-01T12:24:00Z,54.00,49.00
2026-06-01T12:34:00Z,53.73,49.00
2026-06-01T12:48:00Z,53.73,49.00
2026-06-01T13:00:00Z,54.00,49.00
2026-06-01T13:01:00Z,54.97,49.00
2026-06-01T13:02:00Z,52.00,49.00
2026-06-01T13:03:00Z,49.67,52.68
2026-06-01T13:04:00Z,48.00,52.00
2026-06-01T13:05:00Z,48.00,53.49
2026-06-01T13:06:00Z,45.00,56.27
2026-06-01T13:07:00Z,42.21,61.30
2026-06-01T13:08:00Z,40.95,60.46
2026-06-01T13:09:00Z,33.00,64.32
2026-06-01T13:10:00Z,35.00,64.00
2026-06-01T13:11:00Z,35.00,66.99
2026-06-01T13:12:00Z,35.00,68.84
2026-06-01T13:13:00Z,31.00,70.00
2026-06-01T13:14:00Z,30.00,72.85
2026-06-01T13:15:00Z,28.00,73.05
2026-06-01T13:16:00Z,28.82,73.05
2026-06-01T13:17:00Z,32.00,68.00
2026-06-01T13:18:00Z,34.73,65.01
2026-06-01T13:19:00Z,36.25,65.01
2026-06-01T13:20:00Z,40.00,60.00
2026-06-01T13:21:00Z,41.43,60.00
2026-06-01T13:22:00Z,40.00,60.00
2026-06-01T13:24:00Z,43.00,59.00
2026-06-01T13:25:00Z,40.33,59.92
2026-06-01T13:26:00Z,42.20,59.67
2026-06-01T13:27:00Z,39.51,59.60
2026-06-01T13:28:00Z,39.00,59.60
2026-06-01T13:29:00Z,35.32,65.74
2026-06-01T13:30:00Z,31.50,69.52
2026-06-01T13:31:00Z,28.86,73.00
2026-06-01T13:32:00Z,28.00,73.00
2026-06-01T13:33:00Z,28.00,73.00
2026-06-01T13:34:00Z,28.00,72.82
2026-06-01T13:35:00Z,27.89,72.00
2026-06-01T13:36:00Z,24.62,75.18
2026-06-01T13:37:00Z,23.00,78.00
2026-06-01T13:38:00Z,23.00,78.00
2026-06-01T13:39:00Z,22.68,77.61
2026-06-01T13:40:00Z,24.33,75.74
2026-06-01T13:41:00Z,20.88,78.44
2026-06-01T13:42:00Z,23.67,74.58
2026-06-01T13:43:00Z,25.84,75.24
2026-06-01T13:44:00Z,22.54,77.90
2026-06-01T13:45:00Z,19.70,80.93
2026-06-01T13:46:00Z,17.03,81.61
2026-06-01T13:47:00Z,17.33,84.64
2026-06-01T13:48:00Z,12.51,88.33
2026-06-01T13:49:00Z,9.00,87.10
2026-06-01T13:50:00Z,6.64,91.79
2026-06-01T13:51:00Z,6.61,93.97
2026-06-01T13:52:00Z,7.17,93.88
2026-06-01T13:53:00Z,11.36,90.55
2026-06-01T13:54:00Z,9.38,88.79
2026-06-01T13:55:00Z,9.40,92.38
2026-06-01T13:56:00Z,7.00,93.01
2026-06-01T13:57:00Z,6.97,93.89
2026-06-01T13:58:00Z,6.81,93.92
2026-06-01T13:59:00Z,8.07,92.00
2026-06-01T14:00:00Z,9.43,89.15
2026-06-01T14:01:00Z,11.05,88.41
2026-06-01T14:02:00Z,14.68,83.00
2026-06-01T14:03:00Z,15.50,85.49
2026-06-01T14:04:00Z,8.25,91.68
2026-06-01T14:05:00Z,8.89,92.90
2026-06-01T14:06:00Z,5.68,94.40
2026-06-01T14:07:00Z,5.30,95.00
2026-06-01T14:08:00Z,3.90,96.30
2026-06-01T14:09:00Z,3.56,97.76
2026-06-01T14:10:00Z,3.75,97.00
2026-06-01T14:11:00Z,4.24,96.02
2026-06-01T14:12:00Z,3.23,97.16
2026-06-01T14:13:00Z,2.01,97.16
2026-06-01T14:14:00Z,2.32,97.87
2026-06-01T14:15:00Z,2.38,97.84
2026-06-01T14:16:00Z,1.00,98.91
2026-06-01T14:17:00Z,1.00,99.00
2026-06-01T14:18:00Z,1.00,99.00
2026-06-01T14:22:00Z,1.00,99.00
2026-06-01T14:25:00Z,1.00,99.00
