# event_ticker=KXATPCHALLENGERMATCH-26MAR24FERMIC
# final_score=6-4 6-2
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Daniel Michalski
# kalshi_date=2026-03-24
timestamp,Frederico Ferreira Silva,Daniel Michalski
2026-03-24T00:32:00Z,55.00,
2026-03-24T00:44:00Z,55.00,47.00
2026-03-24T02:46:00Z,55.00,46.00
2026-03-24T04:57:00Z,55.00,46.00
2026-03-24T05:39:00Z,55.00,45.00
2026-03-24T06:22:00Z,55.00,47.00
2026-03-24T06:54:00Z,55.00,47.00
2026-03-24T07:02:00Z,55.00,47.00
2026-03-24T08:09:00Z,55.00,47.00
2026-03-24T08:32:00Z,55.00,47.00
2026-03-24T09:09:00Z,55.00,47.00
2026-03-24T09:44:00Z,57.00,47.00
2026-03-24T10:07:00Z,58.00,47.00
2026-03-24T10:08:00Z,58.00,44.00
2026-03-24T10:11:00Z,58.00,44.00
2026-03-24T10:15:00Z,58.00,45.00
2026-03-24T10:17:00Z,59.00,45.00
2026-03-24T10:19:00Z,58.66,44.00
2026-03-24T10:25:00Z,55.07,44.10
2026-03-24T10:26:00Z,54.01,46.02
2026-03-24T10:27:00Z,51.80,46.02
2026-03-24T10:28:00Z,52.01,48.02
2026-03-24T10:29:00Z,55.00,48.02
2026-03-24T10:30:00Z,58.00,48.02
2026-03-24T10:32:00Z,53.07,48.02
2026-03-24T10:33:00Z,57.00,48.02
2026-03-24T10:36:00Z,60.00,41.25
2026-03-24T10:37:00Z,66.08,30.88
2026-03-24T10:38:00Z,67.69,29.00
2026-03-24T10:40:00Z,70.00,29.00
2026-03-24T10:41:00Z,65.55,36.74
2026-03-24T10:43:00Z,58.34,42.00
2026-03-24T10:44:00Z,60.95,43.00
2026-03-24T10:46:00Z,55.98,47.86
2026-03-24T10:47:00Z,56.00,47.86
2026-03-24T10:48:00Z,51.57,50.87
2026-03-24T10:49:00Z,56.68,47.00
2026-03-24T10:50:00Z,59.43,47.00
2026-03-24T10:51:00Z,63.98,37.99
2026-03-24T10:52:00Z,61.58,37.75
2026-03-24T10:53:00Z,66.00,37.75
2026-03-24T10:54:00Z,64.07,39.00
2026-03-24T10:55:00Z,66.30,40.78
2026-03-24T10:56:00Z,69.85,39.73
2026-03-24T10:57:00Z,68.72,33.00
2026-03-24T10:58:00Z,69.90,33.92
2026-03-24T10:59:00Z,66.92,36.00
2026-03-24T11:00:00Z,68.77,33.00
2026-03-24T11:01:00Z,73.38,29.04
2026-03-24T11:02:00Z,69.47,31.04
2026-03-24T11:03:00Z,67.44,32.22
2026-03-24T11:04:00Z,67.64,34.00
2026-03-24T11:05:00Z,71.00,33.58
2026-03-24T11:06:00Z,73.84,27.78
2026-03-24T11:07:00Z,68.00,33.00
2026-03-24T11:08:00Z,69.00,33.00
2026-03-24T11:09:00Z,68.29,32.06
2026-03-24T11:10:00Z,71.97,30.40
2026-03-24T11:11:00Z,73.91,27.00
2026-03-24T11:12:00Z,70.99,28.00
2026-03-24T11:13:00Z,76.00,27.50
2026-03-24T11:14:00Z,76.00,24.00
2026-03-24T11:15:00Z,76.24,24.00
2026-03-24T11:16:00Z,74.00,26.17
2026-03-24T11:17:00Z,72.80,27.00
2026-03-24T11:18:00Z,73.34,29.00
2026-03-24T11:19:00Z,73.04,27.53
2026-03-24T11:20:00Z,71.98,27.53
2026-03-24T11:21:00Z,73.00,30.45
2026-03-24T11:22:00Z,75.00,30.45
2026-03-24T11:23:00Z,75.00,28.00
2026-03-24T11:24:00Z,78.28,20.24
2026-03-24T11:25:00Z,80.24,20.52
2026-03-24T11:26:00Z,79.14,20.98
2026-03-24T11:27:00Z,80.16,20.98
2026-03-24T11:28:00Z,80.00,21.00
2026-03-24T11:29:00Z,79.12,21.00
2026-03-24T11:30:00Z,82.58,20.28
2026-03-24T11:31:00Z,81.89,18.00
2026-03-24T11:32:00Z,80.00,18.00
2026-03-24T11:33:00Z,77.00,18.00
2026-03-24T11:34:00Z,77.49,23.04
2026-03-24T11:35:00Z,76.86,26.00
