# event_ticker=KXATPMATCH-25AUG08KECQUI
# final_score=7-6(5) 6-4
# score_resolution=7-6 6-4
# match_winner=Ethan Quinn
# fav_player=Ethan Quinn
# dog_player=Miomir Kecmanovic
# kalshi_date=2025-08-08
timestamp,Ethan Quinn,Miomir Kecmanovic
2025-08-08T08:46:00Z,48.00,
2025-08-08T08:52:00Z,48.00,57.00
2025-08-08T10:32:00Z,48.00,57.00
2025-08-08T11:27:00Z,50.00,57.00
2025-08-08T12:07:00Z,48.00,57.00
2025-08-08T12:32:00Z,48.00,57.00
2025-08-08T12:37:00Z,48.00,57.00
2025-08-08T13:00:00Z,48.00,57.00
2025-08-08T13:06:00Z,48.00,54.00
2025-08-08T13:08:00Z,48.00,54.00
2025-08-08T13:14:00Z,48.00,54.00
2025-08-08T13:21:00Z,48.00,54.00
2025-08-08T13:46:00Z,48.00,55.00
2025-08-08T14:22:00Z,46.00,55.00
2025-08-08T14:33:00Z,46.00,56.00
2025-08-08T14:38:00Z,45.00,56.00
2025-08-08T14:39:00Z,45.00,54.00
2025-08-08T14:44:00Z,46.00,54.00
2025-08-08T14:56:00Z,46.00,56.00
2025-08-08T15:01:00Z,46.00,56.00
2025-08-08T15:08:00Z,46.00,56.00
2025-08-08T15:25:00Z,45.00,56.00
2025-08-08T15:52:00Z,45.00,56.00
2025-08-08T16:12:00Z,45.00,56.00
2025-08-08T16:17:00Z,45.00,56.00
2025-08-08T16:58:00Z,46.00,56.00
2025-08-08T17:33:00Z,47.00,56.00
2025-08-08T17:34:00Z,47.00,56.00
2025-08-08T17:35:00Z,47.00,56.00
2025-08-08T17:55:00Z,47.00,56.00
2025-08-08T18:07:00Z,47.00,56.00
2025-08-08T18:14:00Z,47.00,56.00
2025-08-08T18:19:00Z,46.00,56.00
2025-08-08T18:27:00Z,46.00,56.00
2025-08-08T18:32:00Z,46.00,56.00
2025-08-08T18:46:00Z,46.00,56.00
2025-08-08T18:47:00Z,46.28,56.00
2025-08-08T18:52:00Z,46.28,55.00
2025-08-08T18:54:00Z,48.00,52.00
2025-08-08T18:55:00Z,48.00,54.00
2025-08-08T18:56:00Z,48.00,54.72
2025-08-08T18:57:00Z,48.00,56.00
2025-08-08T18:58:00Z,47.90,56.00
2025-08-08T19:01:00Z,47.90,58.00
2025-08-08T19:02:00Z,43.00,58.26
2025-08-08T19:03:00Z,43.00,54.56
2025-08-08T19:04:00Z,49.64,53.34
2025-08-08T19:05:00Z,49.64,50.11
2025-08-08T19:06:00Z,49.64,52.25
2025-08-08T19:07:00Z,46.00,57.72
2025-08-08T19:08:00Z,45.53,57.72
2025-08-08T19:10:00Z,45.53,54.00
2025-08-08T19:11:00Z,50.16,54.00
2025-08-08T19:12:00Z,50.16,52.00
2025-08-08T19:13:00Z,54.03,52.00
2025-08-08T19:14:00Z,46.23,53.71
2025-08-08T19:15:00Z,46.23,55.58
2025-08-08T19:16:00Z,43.46,56.00
2025-08-08T19:17:00Z,43.29,62.00
2025-08-08T19:18:00Z,43.00,60.00
2025-08-08T19:19:00Z,39.00,66.08
2025-08-08T19:23:00Z,30.00,66.08
2025-08-08T19:24:00Z,30.00,72.63
2025-08-08T19:25:00Z,27.61,72.63
2025-08-08T19:27:00Z,27.61,73.85
2025-08-08T19:28:00Z,27.61,74.94
2025-08-08T19:29:00Z,27.61,76.00
2025-08-08T19:30:00Z,27.50,76.00
2025-08-08T19:32:00Z,23.00,76.00
2025-08-08T19:33:00Z,23.00,77.00
2025-08-08T19:34:00Z,24.46,76.00
2025-08-08T19:36:00Z,27.47,76.00
2025-08-08T19:37:00Z,28.03,76.00
2025-08-08T19:38:00Z,31.00,71.46
2025-08-08T19:39:00Z,31.63,71.46
2025-08-08T19:40:00Z,39.92,58.00
