# event_ticker=KXATPMATCH-25JUL16CAZETC
# final_score=6-3 4-6 6-4
# match_winner=Arthur Cazaux
# fav_player=Arthur Cazaux
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-07-16
timestamp,Arthur Cazaux,Tomas Martin Etcheverry
2025-07-17T01:23:00Z,,67.00
2025-07-17T03:44:00Z,,67.00
2025-07-17T04:19:00Z,35.00,67.00
2025-07-17T05:13:00Z,35.00,66.00
2025-07-17T05:18:00Z,35.00,66.00
2025-07-17T05:41:00Z,35.00,66.00
2025-07-17T05:51:00Z,35.00,66.00
2025-07-17T06:14:00Z,35.00,65.00
2025-07-17T06:33:00Z,35.00,65.00
2025-07-17T06:48:00Z,35.00,66.00
2025-07-17T07:00:00Z,36.00,66.00
2025-07-17T12:01:00Z,63.00,66.00
2025-07-17T12:02:00Z,59.00,44.29
2025-07-17T12:03:00Z,57.74,44.29
2025-07-17T12:04:00Z,64.00,46.01
2025-07-17T12:05:00Z,55.91,47.95
2025-07-17T12:06:00Z,65.71,45.28
2025-07-17T12:07:00Z,61.97,40.89
2025-07-17T12:08:00Z,61.97,45.00
2025-07-17T12:09:00Z,58.00,45.00
2025-07-17T12:11:00Z,58.00,43.00
2025-07-17T12:12:00Z,58.00,46.61
2025-07-17T12:13:00Z,59.00,44.00
2025-07-17T12:14:00Z,62.00,42.00
2025-07-17T12:16:00Z,58.00,42.00
2025-07-17T12:17:00Z,57.90,43.00
2025-07-17T12:18:00Z,59.00,43.00
2025-07-17T12:19:00Z,58.00,46.52
2025-07-17T12:20:00Z,61.00,46.52
2025-07-17T12:21:00Z,59.53,46.52
2025-07-17T12:22:00Z,59.00,43.47
2025-07-17T12:23:00Z,59.00,58.84
2025-07-17T12:24:00Z,49.00,48.60
2025-07-17T12:25:00Z,54.67,48.00
2025-07-17T12:26:00Z,55.00,48.90
2025-07-17T12:27:00Z,60.00,48.90
2025-07-17T12:28:00Z,62.00,48.90
2025-07-17T12:29:00Z,65.00,48.90
2025-07-17T12:31:00Z,57.75,48.90
2025-07-17T12:32:00Z,56.00,46.39
2025-07-17T12:33:00Z,56.00,61.11
2025-07-17T12:34:00Z,58.00,45.00
2025-07-17T12:35:00Z,58.00,49.00
2025-07-17T12:36:00Z,55.30,45.00
2025-07-17T12:37:00Z,50.05,53.00
2025-07-17T12:38:00Z,44.17,53.00
2025-07-17T12:39:00Z,52.07,51.31
2025-07-17T12:40:00Z,54.11,51.31
2025-07-17T12:41:00Z,48.88,51.00
