# event_ticker=KXATPCHALLENGERMATCH-26MAY25YMEPUR
# final_score=7-6(4) 6-2
# score_resolution=6-7 2-6
# match_winner=Elias Ymer
# fav_player=Saba Purtseladze
# dog_player=Elias Ymer
# kalshi_date=2026-05-25
timestamp,Elias Ymer,Saba Purtseladze
2026-05-25T03:15:00Z,87.00,
2026-05-25T06:42:00Z,87.00,16.00
2026-05-25T09:25:00Z,85.00,16.00
2026-05-25T10:47:00Z,78.02,24.28
2026-05-25T11:06:00Z,79.00,18.00
2026-05-25T11:07:00Z,81.00,18.00
2026-05-25T11:08:00Z,87.00,12.00
2026-05-25T11:09:00Z,85.50,12.00
2026-05-25T11:10:00Z,87.00,12.00
2026-05-25T11:11:00Z,87.00,12.00
2026-05-25T11:12:00Z,88.00,15.67
2026-05-25T11:13:00Z,85.05,16.00
2026-05-25T11:14:00Z,86.00,16.00
2026-05-25T11:15:00Z,86.00,14.32
2026-05-25T11:16:00Z,86.00,17.86
2026-05-25T11:17:00Z,82.00,20.74
2026-05-25T11:18:00Z,86.00,20.74
2026-05-25T11:19:00Z,86.00,20.74
2026-05-25T11:21:00Z,87.71,15.00
2026-05-25T11:22:00Z,87.71,12.99
2026-05-25T11:23:00Z,88.00,12.99
2026-05-25T11:24:00Z,87.87,16.15
2026-05-25T11:25:00Z,83.00,16.15
2026-05-25T11:26:00Z,76.24,22.35
2026-05-25T11:27:00Z,76.24,29.03
2026-05-25T11:29:00Z,71.37,29.03
2026-05-25T11:30:00Z,67.00,34.86
2026-05-25T11:31:00Z,68.74,34.86
2026-05-25T11:32:00Z,72.00,31.83
2026-05-25T11:33:00Z,71.85,31.83
2026-05-25T11:34:00Z,68.30,30.62
2026-05-25T11:35:00Z,70.98,30.62
2026-05-25T11:36:00Z,70.98,26.00
2026-05-25T11:37:00Z,78.24,21.92
2026-05-25T11:38:00Z,81.31,21.92
2026-05-25T11:39:00Z,83.00,17.00
2026-05-25T11:40:00Z,83.00,16.00
2026-05-25T11:41:00Z,83.00,16.32
2026-05-25T11:43:00Z,84.56,16.27
2026-05-25T11:44:00Z,86.00,17.00
2026-05-25T11:45:00Z,86.00,18.00
2026-05-25T11:46:00Z,79.00,21.00
2026-05-25T11:47:00Z,82.86,21.00
2026-05-25T11:48:00Z,83.91,15.00
2026-05-25T11:49:00Z,86.00,15.00
2026-05-25T11:50:00Z,85.00,16.57
2026-05-25T11:51:00Z,83.00,18.00
2026-05-25T11:52:00Z,82.00,18.00
2026-05-25T11:53:00Z,82.00,22.46
2026-05-25T11:54:00Z,80.65,23.00
2026-05-25T11:55:00Z,80.65,19.92
2026-05-25T11:56:00Z,81.45,23.41
2026-05-25T11:57:00Z,81.45,16.00
2026-05-25T11:59:00Z,86.27,11.62
2026-05-25T12:00:00Z,86.00,11.62
2026-05-25T12:01:00Z,86.00,20.72
2026-05-25T12:02:00Z,81.00,20.27
2026-05-25T12:03:00Z,83.00,23.24
2026-05-25T12:04:00Z,85.49,14.34
2026-05-25T12:06:00Z,82.44,20.71
2026-05-25T12:07:00Z,82.54,20.52
2026-05-25T12:08:00Z,78.50,20.50
2026-05-25T12:09:00Z,81.00,20.50
2026-05-25T12:10:00Z,87.63,11.36
2026-05-25T12:11:00Z,91.65,6.57
2026-05-25T12:12:00Z,93.53,6.57
2026-05-25T12:14:00Z,93.53,8.00
2026-05-25T12:15:00Z,93.53,9.00
2026-05-25T12:16:00Z,92.00,9.00
2026-05-25T12:18:00Z,92.00,9.00
2026-05-25T12:19:00Z,90.00,10.00
2026-05-25T12:21:00Z,90.00,11.50
2026-05-25T12:22:00Z,88.00,11.50
2026-05-25T12:23:00Z,88.00,10.00
2026-05-25T12:24:00Z,89.92,10.95
2026-05-25T12:25:00Z,91.34,8.00
2026-05-25T12:26:00Z,92.46,8.00
2026-05-25T12:27:00Z,93.00,7.00
2026-05-25T12:28:00Z,94.73,4.76
2026-05-25T12:29:00Z,96.00,4.00
2026-05-25T12:30:00Z,96.00,4.00
2026-05-25T12:31:00Z,97.00,3.00
2026-05-25T12:34:00Z,97.00,5.00
2026-05-25T12:36:00Z,97.67,5.00
2026-05-25T12:37:00Z,98.00,5.00
2026-05-25T12:39:00Z,98.00,5.00
2026-05-25T12:40:00Z,99.00,2.00
2026-05-25T12:41:00Z,97.93,2.47
2026-05-25T12:42:00Z,97.92,2.00
2026-05-25T12:43:00Z,98.90,2.00
2026-05-25T12:44:00Z,98.74,1.16
2026-05-25T12:45:00Z,98.01,1.04
2026-05-25T12:46:00Z,97.97,2.88
2026-05-25T12:47:00Z,98.00,2.26
2026-05-25T12:48:00Z,98.72,1.09
2026-05-25T12:49:00Z,98.65,1.48
2026-05-25T12:50:00Z,98.46,1.00
2026-05-25T12:51:00Z,98.94,1.21
2026-05-25T12:52:00Z,99.00,1.21
2026-05-25T12:53:00Z,99.00,1.21
