# event_ticker=KXATPCHALLENGERMATCH-26APR29HERLAJ
# final_score=7-6(2) 6-3
# score_resolution=6-7 3-6
# match_winner=Pierre-Hugues Herbert
# fav_player=Dusan Lajovic
# dog_player=Pierre-Hugues Herbert
# kalshi_date=2026-04-29
timestamp,Pierre-Hugues Herbert,Dusan Lajovic
2026-04-29T09:15:00Z,,82.00
2026-04-29T09:16:00Z,,4.00
2026-04-29T09:28:00Z,43.00,4.00
2026-04-29T09:31:00Z,14.26,4.00
2026-04-29T09:32:00Z,21.00,4.00
2026-04-29T09:36:00Z,13.00,4.00
2026-04-29T09:40:00Z,13.00,96.00
2026-04-29T09:41:00Z,12.00,30.86
2026-04-29T09:43:00Z,68.00,92.00
2026-04-29T09:44:00Z,68.00,93.00
2026-04-29T09:46:00Z,48.00,93.00
2026-04-29T09:48:00Z,61.00,93.00
2026-04-29T09:53:00Z,65.00,93.00
2026-04-29T09:54:00Z,65.00,93.00
2026-04-29T09:59:00Z,9.00,96.00
2026-04-29T10:00:00Z,12.00,96.00
2026-04-29T10:01:00Z,10.96,96.00
2026-04-29T10:02:00Z,16.14,94.47
2026-04-29T10:03:00Z,22.71,94.47
2026-04-29T10:04:00Z,29.19,94.47
2026-04-29T10:05:00Z,26.69,94.47
2026-04-29T10:06:00Z,23.09,85.00
2026-04-29T10:07:00Z,23.09,82.00
2026-04-29T10:08:00Z,28.00,82.00
2026-04-29T10:09:00Z,21.00,80.00
2026-04-29T10:11:00Z,27.00,74.00
2026-04-29T10:13:00Z,25.00,79.00
2026-04-29T10:14:00Z,28.94,79.00
2026-04-29T10:15:00Z,27.03,79.00
2026-04-29T10:16:00Z,23.92,75.60
2026-04-29T10:17:00Z,27.49,76.00
2026-04-29T10:18:00Z,29.31,80.45
2026-04-29T10:19:00Z,38.17,69.07
2026-04-29T10:20:00Z,49.48,63.83
2026-04-29T10:21:00Z,48.00,61.00
2026-04-29T10:22:00Z,48.00,53.43
2026-04-29T10:23:00Z,48.00,59.00
2026-04-29T10:24:00Z,52.00,59.00
2026-04-29T10:25:00Z,52.00,57.30
2026-04-29T10:26:00Z,54.36,54.14
2026-04-29T10:27:00Z,52.11,51.00
2026-04-29T10:28:00Z,51.97,50.92
2026-04-29T10:29:00Z,49.52,52.00
2026-04-29T10:30:00Z,46.75,54.87
2026-04-29T10:31:00Z,48.50,54.51
2026-04-29T10:32:00Z,53.15,54.95
2026-04-29T10:33:00Z,43.36,58.62
2026-04-29T10:34:00Z,42.00,62.00
2026-04-29T10:35:00Z,39.80,63.23
2026-04-29T10:36:00Z,36.47,68.00
2026-04-29T10:37:00Z,37.54,68.19
2026-04-29T10:38:00Z,39.62,66.39
2026-04-29T10:39:00Z,40.00,67.11
2026-04-29T10:40:00Z,48.31,61.75
2026-04-29T10:41:00Z,41.40,64.03
2026-04-29T10:42:00Z,39.35,67.34
2026-04-29T10:43:00Z,42.69,68.00
2026-04-29T10:44:00Z,42.64,66.88
2026-04-29T10:45:00Z,44.00,67.00
2026-04-29T10:46:00Z,36.43,67.00
2026-04-29T10:47:00Z,55.06,63.68
2026-04-29T10:48:00Z,54.55,41.86
2026-04-29T10:49:00Z,63.01,39.98
2026-04-29T10:50:00Z,69.33,32.21
2026-04-29T10:51:00Z,69.48,34.67
2026-04-29T10:52:00Z,75.27,36.73
2026-04-29T10:53:00Z,84.13,21.79
2026-04-29T10:54:00Z,94.15,7.02
2026-04-29T10:55:00Z,91.39,17.49
2026-04-29T10:56:00Z,76.84,26.81
2026-04-29T10:57:00Z,79.99,24.78
2026-04-29T10:58:00Z,96.89,18.85
2026-04-29T10:59:00Z,97.23,8.14
2026-04-29T11:00:00Z,99.00,1.14
2026-04-29T11:01:00Z,99.00,1.14
2026-04-29T11:02:00Z,99.00,1.14
2026-04-29T11:03:00Z,99.00,1.14
