# event_ticker=KXATPCHALLENGERMATCH-26MAY16VALMUN
# final_score=4-6 7-6(3) 6-4
# score_resolution=4-6 7-6 6-4
# match_winner=Adolfo Daniel Vallejo
# fav_player=Adolfo Daniel Vallejo
# dog_player=Jaume Munar
# kalshi_date=2026-05-16
timestamp,Adolfo Daniel Vallejo,Jaume Munar
2026-05-16T05:23:00Z,,48.00
2026-05-16T05:34:00Z,54.00,48.00
2026-05-16T05:48:00Z,54.00,47.00
2026-05-16T05:59:00Z,54.00,47.00
2026-05-16T06:29:00Z,54.00,46.00
2026-05-16T06:45:00Z,54.00,47.36
2026-05-16T06:58:00Z,54.00,49.00
2026-05-16T08:05:00Z,54.00,48.00
2026-05-16T08:21:00Z,54.00,47.00
2026-05-16T08:26:00Z,54.00,47.00
2026-05-16T08:36:00Z,53.00,47.00
2026-05-16T08:48:00Z,53.00,48.00
2026-05-16T09:07:00Z,53.00,48.00
2026-05-16T09:20:00Z,53.00,49.00
2026-05-16T11:37:00Z,53.00,49.00
2026-05-16T11:38:00Z,53.00,49.00
2026-05-16T11:47:00Z,52.00,49.00
2026-05-16T11:52:00Z,52.00,49.00
2026-05-16T12:09:00Z,51.00,50.00
2026-05-16T12:29:00Z,52.00,50.00
2026-05-16T12:33:00Z,52.00,50.00
2026-05-16T12:44:00Z,52.00,50.00
2026-05-16T12:55:00Z,52.00,50.00
2026-05-16T13:00:00Z,52.00,50.00
2026-05-16T13:05:00Z,52.00,50.00
2026-05-16T13:08:00Z,52.00,50.00
2026-05-16T13:16:00Z,52.00,50.00
2026-05-16T13:35:00Z,52.00,50.00
2026-05-16T13:40:00Z,52.00,50.00
2026-05-16T13:54:00Z,52.00,50.00
2026-05-16T13:55:00Z,52.00,50.00
2026-05-16T13:59:00Z,51.09,50.00
2026-05-16T14:12:00Z,52.00,50.00
2026-05-16T14:24:00Z,52.00,50.00
2026-05-16T14:33:00Z,52.00,50.00
2026-05-16T14:44:00Z,52.00,50.00
2026-05-16T14:50:00Z,52.00,50.00
2026-05-16T14:55:00Z,52.00,50.00
2026-05-16T14:56:00Z,51.00,50.00
2026-05-16T14:57:00Z,49.00,50.00
2026-05-16T15:02:00Z,49.00,50.00
2026-05-16T15:03:00Z,49.00,50.00
2026-05-16T15:04:00Z,49.00,50.00
2026-05-16T15:06:00Z,50.00,49.00
2026-05-16T15:08:00Z,50.00,50.00
2026-05-16T15:13:00Z,50.00,50.00
2026-05-16T15:14:00Z,50.00,51.00
2026-05-16T15:17:00Z,50.00,51.00
2026-05-16T15:22:00Z,50.00,51.00
2026-05-16T15:25:00Z,50.00,51.00
