# event_ticker=KXATPCHALLENGERMATCH-26APR08MIDAMB
# final_score=2-6 6-3 7-5
# match_winner=Lautaro Midon
# fav_player=Lautaro Midon
# dog_player=Luciano Emanuel Ambrogi
# kalshi_date=2026-04-08
timestamp,Lautaro Midon,Luciano Emanuel Ambrogi
2026-04-08T05:04:00Z,,31.00
2026-04-08T06:02:00Z,68.00,31.00
2026-04-08T06:32:00Z,68.00,31.00
2026-04-08T06:54:00Z,68.00,33.00
2026-04-08T07:04:00Z,68.00,33.00
2026-04-08T07:26:00Z,68.00,33.00
2026-04-08T07:54:00Z,68.00,33.00
2026-04-08T08:40:00Z,68.00,33.00
2026-04-08T08:41:00Z,65.87,34.27
2026-04-08T08:42:00Z,65.87,34.00
2026-04-08T08:44:00Z,65.87,35.54
2026-04-08T08:45:00Z,65.87,36.00
2026-04-08T08:59:00Z,59.89,36.00
2026-04-08T09:01:00Z,58.50,40.00
2026-04-08T09:09:00Z,59.00,40.00
2026-04-08T09:18:00Z,59.00,40.00
2026-04-08T10:05:00Z,59.00,40.00
2026-04-08T10:29:00Z,59.00,40.00
2026-04-08T10:36:00Z,59.00,40.00
2026-04-08T10:50:00Z,59.00,40.00
2026-04-08T11:02:00Z,60.00,40.00
2026-04-08T11:19:00Z,60.00,40.00
2026-04-08T11:26:00Z,60.00,40.00
2026-04-08T11:47:00Z,60.00,40.00
2026-04-08T12:42:00Z,60.00,40.00
2026-04-08T12:48:00Z,60.00,40.00
2026-04-08T13:03:00Z,60.00,40.00
2026-04-08T13:05:00Z,60.00,40.00
2026-04-08T13:08:00Z,60.00,40.00
2026-04-08T13:18:00Z,60.00,40.00
2026-04-08T13:22:00Z,60.00,40.00
2026-04-08T13:40:00Z,60.00,40.00
2026-04-08T13:43:00Z,60.00,40.00
2026-04-08T13:46:00Z,60.00,40.00
2026-04-08T13:49:00Z,60.00,40.00
2026-04-08T13:52:00Z,60.00,40.49
2026-04-08T14:11:00Z,60.00,40.49
2026-04-08T14:17:00Z,60.00,40.49
2026-04-08T14:19:00Z,60.00,41.00
2026-04-08T14:41:00Z,60.00,41.00
2026-04-08T14:44:00Z,60.00,41.00
2026-04-08T14:47:00Z,60.00,41.00
2026-04-08T14:48:00Z,61.00,41.00
2026-04-08T14:51:00Z,61.00,41.00
2026-04-08T14:53:00Z,61.00,41.00
2026-04-08T14:57:00Z,61.00,41.00
2026-04-08T15:05:00Z,60.00,41.00
2026-04-08T15:06:00Z,61.00,41.00
2026-04-08T15:07:00Z,60.08,41.00
2026-04-08T15:08:00Z,61.00,40.00
