# event_ticker=KXATPCHALLENGERMATCH-26MAY22AGANED
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Andrej Nedic
# fav_player=Franco Agamenone
# dog_player=Andrej Nedic
# kalshi_date=2026-05-22
timestamp,Franco Agamenone,Andrej Nedic
2026-05-21T23:20:00Z,39.00,
2026-05-22T02:17:00Z,40.00,
2026-05-22T02:55:00Z,39.00,
2026-05-22T03:04:00Z,39.00,
2026-05-22T03:43:00Z,39.00,
2026-05-22T03:44:00Z,39.00,62.00
2026-05-22T04:41:00Z,39.00,62.00
2026-05-22T04:47:00Z,40.00,62.00
2026-05-22T04:51:00Z,40.00,62.00
2026-05-22T05:14:00Z,40.00,62.00
2026-05-22T05:19:00Z,40.00,62.00
2026-05-22T06:00:00Z,40.00,62.00
2026-05-22T06:06:00Z,40.00,62.00
2026-05-22T06:10:00Z,40.00,61.00
2026-05-22T06:33:00Z,40.00,61.00
2026-05-22T06:39:00Z,40.00,62.00
2026-05-22T06:45:00Z,40.00,61.00
2026-05-22T06:52:00Z,40.00,60.00
2026-05-22T08:49:00Z,40.00,59.00
2026-05-22T09:42:00Z,40.00,59.00
2026-05-22T10:06:00Z,42.00,59.00
2026-05-22T10:09:00Z,42.00,59.00
2026-05-22T10:14:00Z,42.00,59.00
2026-05-22T10:32:00Z,42.00,59.00
2026-05-22T10:40:00Z,42.00,59.00
2026-05-22T11:00:00Z,42.00,59.00
2026-05-22T11:01:00Z,43.00,60.87
2026-05-22T11:04:00Z,43.00,60.00
2026-05-22T11:06:00Z,43.28,60.00
2026-05-22T11:07:00Z,43.28,59.00
2026-05-22T11:09:00Z,43.00,59.00
2026-05-22T11:10:00Z,36.00,63.55
2026-05-22T11:11:00Z,38.00,67.00
2026-05-22T11:12:00Z,38.00,66.35
2026-05-22T11:13:00Z,38.00,68.00
2026-05-22T11:14:00Z,38.00,69.00
2026-05-22T11:15:00Z,34.90,66.45
2026-05-22T11:16:00Z,35.00,65.79
