# event_ticker=KXATPCHALLENGERMATCH-26MAR10DONJOH
# final_score=7-6(4) 7-6(9)
# score_resolution=6-7 6-7
# match_winner=Alexander Donski
# fav_player=Garrett Johns
# dog_player=Alexander Donski
# kalshi_date=2026-03-10
timestamp,Garrett Johns,Alexander Donski
2026-03-10T02:33:00Z,51.00,
2026-03-10T04:08:00Z,51.00,55.00
2026-03-10T04:42:00Z,51.00,54.00
2026-03-10T04:53:00Z,51.00,53.00
2026-03-10T05:17:00Z,47.00,53.00
2026-03-10T05:26:00Z,47.00,52.00
2026-03-10T05:27:00Z,47.00,52.00
2026-03-10T06:14:00Z,47.00,54.00
2026-03-10T06:27:00Z,47.00,54.00
2026-03-10T07:07:00Z,48.00,54.00
2026-03-10T07:39:00Z,48.00,54.00
2026-03-10T08:15:00Z,48.00,54.00
2026-03-10T08:21:00Z,48.00,54.00
2026-03-10T08:54:00Z,47.00,56.17
2026-03-10T09:02:00Z,47.00,56.17
2026-03-10T09:09:00Z,47.00,56.00
2026-03-10T09:13:00Z,46.00,56.00
2026-03-10T09:51:00Z,46.00,56.00
2026-03-10T09:57:00Z,46.00,56.00
2026-03-10T10:02:00Z,46.00,54.99
2026-03-10T10:22:00Z,46.00,57.00
2026-03-10T10:27:00Z,46.00,57.00
2026-03-10T10:28:00Z,46.00,57.00
2026-03-10T10:29:00Z,46.00,57.00
2026-03-10T10:33:00Z,46.00,57.00
2026-03-10T10:44:00Z,46.00,54.00
2026-03-10T10:47:00Z,46.00,57.00
2026-03-10T10:48:00Z,46.00,57.00
2026-03-10T10:59:00Z,46.00,56.00
2026-03-10T11:02:00Z,46.00,57.00
2026-03-10T11:04:00Z,46.00,57.00
2026-03-10T11:05:00Z,46.00,57.00
2026-03-10T11:07:00Z,46.00,57.00
2026-03-10T11:08:00Z,46.00,57.00
2026-03-10T11:11:00Z,46.00,57.02
2026-03-10T11:12:00Z,21.00,82.00
2026-03-10T11:13:00Z,48.99,53.00
2026-03-10T11:14:00Z,46.00,53.00
