# event_ticker=KXATPCHALLENGERMATCH-26APR24KWONHSU
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Soonwoo Kwon
# fav_player=Yu Hsiou Hsu
# dog_player=Soonwoo Kwon
# kalshi_date=2026-04-24
timestamp,Soonwoo Kwon,Yu Hsiou Hsu
2026-04-24T14:51:00Z,,29.00
2026-04-24T15:00:00Z,,29.00
2026-04-24T15:27:00Z,,29.00
2026-04-24T15:59:00Z,,29.00
2026-04-24T16:23:00Z,,29.00
2026-04-24T16:35:00Z,72.00,29.00
2026-04-24T16:37:00Z,72.00,29.00
2026-04-24T16:45:00Z,72.00,29.00
2026-04-24T17:49:00Z,72.00,29.00
2026-04-24T17:51:00Z,71.00,29.00
2026-04-24T17:53:00Z,69.72,29.50
2026-04-24T19:01:00Z,69.72,29.00
2026-04-24T19:05:00Z,72.00,29.00
2026-04-24T19:14:00Z,72.00,29.00
2026-04-24T20:23:00Z,72.00,29.00
2026-04-24T20:29:00Z,72.00,29.00
2026-04-24T20:30:00Z,72.00,29.00
2026-04-24T20:47:00Z,72.00,29.00
2026-04-24T20:55:00Z,72.00,29.00
2026-04-24T20:59:00Z,72.00,30.00
2026-04-24T21:02:00Z,71.00,30.00
2026-04-24T21:03:00Z,71.00,30.00
2026-04-24T21:13:00Z,69.00,30.00
2026-04-24T21:14:00Z,69.00,30.82
2026-04-24T21:17:00Z,69.00,30.82
2026-04-24T21:18:00Z,69.00,32.00
2026-04-24T21:19:00Z,69.00,32.00
2026-04-24T21:20:00Z,69.00,31.00
2026-04-24T21:23:00Z,69.00,31.00
2026-04-24T21:25:00Z,69.00,31.96
2026-04-24T21:27:00Z,69.00,32.00
2026-04-24T21:28:00Z,69.00,32.00
2026-04-24T21:33:00Z,69.00,32.00
2026-04-24T21:41:00Z,69.00,32.00
2026-04-24T21:43:00Z,69.00,32.00
2026-04-24T21:44:00Z,68.00,32.00
2026-04-24T21:50:00Z,69.00,32.00
2026-04-24T21:55:00Z,69.00,32.00
2026-04-24T21:57:00Z,68.00,32.00
2026-04-24T21:58:00Z,69.00,32.00
2026-04-24T22:01:00Z,69.00,32.00
2026-04-24T22:09:00Z,69.00,32.00
2026-04-24T22:12:00Z,69.00,32.00
