# event_ticker=KXATPMATCH-25JUL15SMINAN
# final_score=6-4 6-2
# match_winner=Govind Nanda
# fav_player=Govind Nanda
# dog_player=Colton Smith
# kalshi_date=2025-07-15
timestamp,Govind Nanda,Colton Smith
2025-07-15T13:41:00Z,23.00,
2025-07-15T13:56:00Z,23.00,77.00
2025-07-15T14:43:00Z,23.00,77.00
2025-07-15T15:26:00Z,23.00,77.93
2025-07-15T16:42:00Z,21.33,77.93
2025-07-15T16:54:00Z,21.33,80.00
2025-07-15T17:02:00Z,22.00,80.00
2025-07-15T17:34:00Z,22.00,80.00
2025-07-15T18:28:00Z,22.00,80.00
2025-07-15T18:56:00Z,21.69,80.00
2025-07-15T19:14:00Z,22.00,80.00
2025-07-15T19:35:00Z,22.00,80.00
2025-07-15T20:02:00Z,20.00,80.00
2025-07-15T20:03:00Z,20.00,80.00
2025-07-15T20:06:00Z,20.00,80.00
2025-07-15T20:11:00Z,20.00,80.00
2025-07-15T20:16:00Z,20.00,80.00
2025-07-15T20:17:00Z,20.00,80.00
2025-07-15T20:38:00Z,20.00,80.00
2025-07-15T20:39:00Z,20.00,80.00
2025-07-15T20:43:00Z,20.00,80.00
2025-07-15T20:59:00Z,20.00,80.00
2025-07-15T21:10:00Z,20.20,80.00
2025-07-15T21:27:00Z,21.00,80.00
2025-07-15T21:31:00Z,21.00,80.00
2025-07-15T22:03:00Z,21.00,80.00
2025-07-15T22:07:00Z,21.00,80.00
2025-07-15T22:13:00Z,21.00,80.00
2025-07-15T22:33:00Z,21.00,80.00
2025-07-15T22:35:00Z,21.00,80.00
2025-07-15T23:18:00Z,21.00,80.00
2025-07-15T23:26:00Z,21.00,80.00
2025-07-15T23:47:00Z,21.00,80.00
2025-07-15T23:50:00Z,21.00,80.00
2025-07-15T23:56:00Z,21.00,80.00
2025-07-16T00:11:00Z,21.00,80.00
2025-07-16T00:16:00Z,21.00,81.00
2025-07-16T00:31:00Z,21.00,81.00
2025-07-16T00:37:00Z,21.00,81.00
2025-07-16T00:55:00Z,21.00,81.00
2025-07-16T00:57:00Z,21.00,81.00
2025-07-16T00:58:00Z,21.00,81.00
2025-07-16T01:02:00Z,21.00,81.00
2025-07-16T01:05:00Z,21.00,81.00
2025-07-16T01:06:00Z,21.00,81.00
2025-07-16T01:09:00Z,25.00,81.00
2025-07-16T01:11:00Z,21.75,81.00
2025-07-16T01:12:00Z,26.00,75.00
2025-07-16T01:13:00Z,26.00,70.00
2025-07-16T01:14:00Z,32.00,68.00
2025-07-16T01:15:00Z,32.00,68.00
2025-07-16T01:16:00Z,38.00,64.00
2025-07-16T01:17:00Z,37.00,64.00
2025-07-16T01:18:00Z,37.00,65.00
2025-07-16T01:19:00Z,37.00,65.00
2025-07-16T01:20:00Z,37.00,65.54
2025-07-16T01:21:00Z,34.77,65.54
2025-07-16T01:22:00Z,43.00,65.54
2025-07-16T01:23:00Z,55.00,55.00
2025-07-16T01:24:00Z,55.00,54.49
2025-07-16T01:25:00Z,44.13,54.49
2025-07-16T01:26:00Z,40.00,59.50
2025-07-16T01:27:00Z,44.75,58.00
2025-07-16T01:28:00Z,44.75,55.33
2025-07-16T01:29:00Z,38.00,62.00
2025-07-16T01:30:00Z,38.00,63.00
2025-07-16T01:31:00Z,38.00,61.50
2025-07-16T01:32:00Z,37.00,61.50
2025-07-16T01:34:00Z,43.00,59.89
2025-07-16T01:35:00Z,43.00,57.00
2025-07-16T01:38:00Z,49.00,55.00
2025-07-16T01:39:00Z,44.00,55.00
2025-07-16T01:40:00Z,42.00,55.00
2025-07-16T01:41:00Z,42.00,59.67
2025-07-16T01:42:00Z,50.00,59.67
2025-07-16T01:43:00Z,51.00,50.18
2025-07-16T01:45:00Z,55.53,47.00
2025-07-16T01:46:00Z,52.98,47.00
2025-07-16T01:47:00Z,48.00,47.00
2025-07-16T01:48:00Z,46.84,54.00
2025-07-16T01:49:00Z,46.84,56.21
2025-07-16T01:50:00Z,46.84,48.26
2025-07-16T01:51:00Z,57.00,43.54
2025-07-16T01:52:00Z,56.00,43.54
2025-07-16T01:53:00Z,55.00,43.54
2025-07-16T01:54:00Z,55.00,43.54
2025-07-16T01:55:00Z,55.00,46.00
2025-07-16T01:56:00Z,55.00,46.00
2025-07-16T01:57:00Z,55.78,42.00
2025-07-16T01:58:00Z,63.89,36.38
2025-07-16T01:59:00Z,60.00,36.38
2025-07-16T02:00:00Z,65.54,34.84
2025-07-16T02:01:00Z,65.54,47.00
2025-07-16T02:02:00Z,52.94,47.00
2025-07-16T02:03:00Z,50.00,47.00
2025-07-16T02:04:00Z,50.79,49.00
2025-07-16T02:05:00Z,48.85,53.24
2025-07-16T02:06:00Z,49.08,53.66
2025-07-16T02:07:00Z,58.00,53.66
2025-07-16T02:08:00Z,60.11,53.66
2025-07-16T02:09:00Z,57.27,44.00
2025-07-16T02:10:00Z,56.34,44.89
2025-07-16T02:11:00Z,61.22,37.43
2025-07-16T02:12:00Z,56.00,35.30
2025-07-16T02:13:00Z,56.00,47.00
2025-07-16T02:14:00Z,56.00,50.00
2025-07-16T02:15:00Z,56.00,42.00
2025-07-16T02:16:00Z,52.00,42.00
2025-07-16T02:17:00Z,52.87,47.33
2025-07-16T02:18:00Z,52.71,48.00
2025-07-16T02:20:00Z,60.00,48.00
2025-07-16T02:21:00Z,60.00,42.00
2025-07-16T02:22:00Z,71.33,42.00
2025-07-16T02:23:00Z,68.00,31.36
2025-07-16T02:24:00Z,68.13,32.49
2025-07-16T02:25:00Z,76.50,32.49
2025-07-16T02:26:00Z,76.50,25.00
2025-07-16T02:27:00Z,77.00,23.00
2025-07-16T02:28:00Z,80.52,23.00
2025-07-16T02:29:00Z,87.09,23.00
2025-07-16T02:30:00Z,89.00,12.00
2025-07-16T02:31:00Z,92.28,9.00
2025-07-16T02:32:00Z,97.02,4.87
2025-07-16T02:33:00Z,97.98,2.00
2025-07-16T02:34:00Z,97.22,1.00
2025-07-16T02:35:00Z,99.00,1.00
2025-07-16T02:36:00Z,99.00,1.00
