# event_ticker=KXATPCHALLENGERMATCH-26MAY28COPAGA
# final_score=6-2 6-3
# match_winner=Franco Agamenone
# fav_player=Franco Agamenone
# dog_player=Kimmer Coppejans
# kalshi_date=2026-05-28
timestamp,Kimmer Coppejans,Franco Agamenone
2026-05-27T23:35:00Z,67.00,
2026-05-28T01:28:00Z,67.00,35.00
2026-05-28T01:41:00Z,67.00,35.00
2026-05-28T02:09:00Z,67.00,35.00
2026-05-28T02:23:00Z,67.00,35.00
2026-05-28T02:51:00Z,67.00,35.00
2026-05-28T03:04:00Z,67.00,35.00
2026-05-28T03:18:00Z,67.00,35.00
2026-05-28T03:52:00Z,67.00,34.00
2026-05-28T04:08:00Z,66.00,34.00
2026-05-28T05:02:00Z,66.00,34.00
2026-05-28T05:11:00Z,66.00,34.00
2026-05-28T05:15:00Z,66.00,34.00
2026-05-28T05:25:00Z,66.00,34.00
2026-05-28T05:35:00Z,67.00,34.00
2026-05-28T06:24:00Z,67.00,34.00
2026-05-28T09:50:00Z,67.00,34.00
2026-05-28T10:26:00Z,67.00,34.00
2026-05-28T10:27:00Z,67.00,36.00
2026-05-28T10:28:00Z,67.00,36.00
2026-05-28T10:29:00Z,67.00,36.00
2026-05-28T10:31:00Z,66.00,36.00
2026-05-28T10:35:00Z,66.00,36.00
2026-05-28T10:37:00Z,67.00,36.00
2026-05-28T10:45:00Z,67.00,36.00
2026-05-28T10:46:00Z,66.00,36.00
2026-05-28T10:52:00Z,66.00,36.00
2026-05-28T10:57:00Z,67.00,36.00
2026-05-28T10:58:00Z,65.34,36.00
2026-05-28T10:59:00Z,68.00,36.00
2026-05-28T11:01:00Z,68.00,35.53
2026-05-28T11:03:00Z,59.06,39.09
2026-05-28T11:04:00Z,63.17,38.00
2026-05-28T11:05:00Z,62.80,39.00
2026-05-28T11:06:00Z,62.00,39.00
2026-05-28T11:07:00Z,62.03,39.00
2026-05-28T11:08:00Z,62.00,40.00
2026-05-28T11:09:00Z,61.97,40.00
2026-05-28T11:10:00Z,61.17,39.47
2026-05-28T11:11:00Z,60.16,41.75
2026-05-28T11:12:00Z,61.00,42.77
2026-05-28T11:13:00Z,55.97,46.27
2026-05-28T11:14:00Z,50.96,50.01
2026-05-28T11:15:00Z,51.34,50.01
2026-05-28T11:16:00Z,49.74,48.00
2026-05-28T11:17:00Z,43.12,53.94
2026-05-28T11:18:00Z,41.92,53.94
2026-05-28T11:19:00Z,40.26,59.57
2026-05-28T11:20:00Z,38.00,66.50
2026-05-28T11:21:00Z,33.00,66.13
