# event_ticker=KXATPCHALLENGERMATCH-26MAY05BENSAR
# final_score=6-4 1-6 7-6(4)
# score_resolution=4-6 6-1 6-7
# match_winner=Reda Bennani
# fav_player=Paulo Andre Saraiva Dos Santos
# dog_player=Reda Bennani
# kalshi_date=2026-05-05
timestamp,Reda Bennani,Paulo Andre Saraiva Dos Santos
2026-05-05T05:59:00Z,71.86,26.00
2026-05-05T06:47:00Z,71.86,37.00
2026-05-05T07:57:00Z,70.00,37.00
2026-05-05T11:23:00Z,72.00,37.00
2026-05-05T12:13:00Z,73.00,37.00
2026-05-05T12:21:00Z,73.00,37.00
2026-05-05T12:28:00Z,73.00,37.00
2026-05-05T12:53:00Z,72.00,37.00
2026-05-05T12:56:00Z,73.00,37.00
2026-05-05T12:57:00Z,73.00,37.00
2026-05-05T13:13:00Z,73.00,37.00
2026-05-05T13:17:00Z,73.00,29.00
2026-05-05T14:21:00Z,73.00,29.00
2026-05-05T14:32:00Z,74.00,29.00
2026-05-05T14:35:00Z,74.00,29.66
2026-05-05T14:37:00Z,79.29,23.00
2026-05-05T14:44:00Z,79.29,16.00
2026-05-05T14:45:00Z,88.18,16.00
2026-05-05T14:46:00Z,66.50,31.29
2026-05-05T14:48:00Z,66.00,34.00
2026-05-05T14:49:00Z,65.00,34.00
2026-05-05T14:50:00Z,63.00,34.00
2026-05-05T14:51:00Z,64.75,34.00
2026-05-05T14:52:00Z,63.00,39.00
2026-05-05T14:53:00Z,65.00,38.00
2026-05-05T14:54:00Z,64.00,38.89
2026-05-05T14:55:00Z,64.00,38.89
2026-05-05T14:56:00Z,65.68,38.89
2026-05-05T14:57:00Z,65.00,38.89
2026-05-05T14:58:00Z,67.22,33.87
2026-05-05T14:59:00Z,67.22,35.00
2026-05-05T15:02:00Z,64.00,35.35
2026-05-05T15:03:00Z,64.79,36.00
2026-05-05T15:04:00Z,66.00,33.00
2026-05-05T15:05:00Z,65.00,34.71
2026-05-05T15:07:00Z,65.88,34.71
2026-05-05T15:08:00Z,66.16,34.58
2026-05-05T15:09:00Z,63.90,36.00
2026-05-05T15:10:00Z,63.00,36.00
2026-05-05T15:13:00Z,69.01,36.00
2026-05-05T15:14:00Z,69.01,26.00
2026-05-05T15:15:00Z,69.01,30.00
2026-05-05T15:16:00Z,73.23,27.00
2026-05-05T15:17:00Z,74.00,32.00
2026-05-05T15:18:00Z,74.00,35.28
2026-05-05T15:20:00Z,66.00,37.00
2026-05-05T15:21:00Z,66.00,34.00
2026-05-05T15:22:00Z,66.00,32.00
2026-05-05T15:23:00Z,75.78,28.06
2026-05-05T15:24:00Z,80.00,18.00
2026-05-05T15:25:00Z,80.91,18.00
2026-05-05T15:26:00Z,80.91,25.45
2026-05-05T15:27:00Z,82.22,21.42
2026-05-05T15:29:00Z,82.22,15.00
2026-05-05T15:30:00Z,85.00,17.50
2026-05-05T15:31:00Z,86.00,17.50
2026-05-05T15:32:00Z,86.64,12.00
2026-05-05T15:33:00Z,88.00,12.00
2026-05-05T15:34:00Z,89.00,12.00
2026-05-05T15:35:00Z,89.00,12.79
2026-05-05T15:36:00Z,89.00,12.79
2026-05-05T15:37:00Z,89.00,12.93
2026-05-05T15:38:00Z,88.81,13.00
2026-05-05T15:39:00Z,88.81,13.00
2026-05-05T15:40:00Z,88.81,13.79
2026-05-05T15:41:00Z,88.00,14.00
2026-05-05T15:42:00Z,80.83,20.30
2026-05-05T15:43:00Z,80.83,26.57
2026-05-05T15:44:00Z,80.83,18.52
2026-05-05T15:45:00Z,83.17,16.73
2026-05-05T15:46:00Z,86.00,15.56
2026-05-05T15:47:00Z,79.99,19.09
2026-05-05T15:48:00Z,75.94,26.96
2026-05-05T15:49:00Z,73.00,27.00
2026-05-05T15:50:00Z,72.00,28.44
2026-05-05T15:51:00Z,74.10,28.00
2026-05-05T15:52:00Z,73.00,26.84
2026-05-05T15:53:00Z,75.00,27.00
2026-05-05T15:54:00Z,73.00,27.00
2026-05-05T15:55:00Z,73.00,27.39
2026-05-05T15:56:00Z,73.00,28.00
2026-05-05T15:57:00Z,74.00,27.00
2026-05-05T15:58:00Z,75.75,27.00
2026-05-05T15:59:00Z,69.01,30.00
2026-05-05T16:00:00Z,67.00,32.82
2026-05-05T16:01:00Z,68.68,33.00
2026-05-05T16:02:00Z,67.67,34.20
2026-05-05T16:03:00Z,67.67,38.33
2026-05-05T16:04:00Z,62.00,39.06
2026-05-05T16:05:00Z,59.40,41.59
2026-05-05T16:06:00Z,58.36,42.36
2026-05-05T16:07:00Z,58.00,42.17
2026-05-05T16:08:00Z,57.94,41.97
2026-05-05T16:09:00Z,57.94,41.00
2026-05-05T16:10:00Z,58.00,42.22
2026-05-05T16:11:00Z,59.31,41.66
2026-05-05T16:12:00Z,58.19,41.78
2026-05-05T16:13:00Z,61.00,38.58
2026-05-05T16:14:00Z,66.00,34.67
2026-05-05T16:15:00Z,68.32,30.84
2026-05-05T16:16:00Z,68.00,33.59
2026-05-05T16:17:00Z,70.03,35.57
2026-05-05T16:18:00Z,66.53,28.10
2026-05-05T16:19:00Z,75.83,27.20
2026-05-05T16:20:00Z,64.09,34.77
2026-05-05T16:21:00Z,63.44,38.38
2026-05-05T16:22:00Z,67.00,35.69
2026-05-05T16:23:00Z,66.22,36.17
2026-05-05T16:24:00Z,60.19,39.49
2026-05-05T16:25:00Z,61.11,40.08
2026-05-05T16:26:00Z,65.75,36.73
2026-05-05T16:27:00Z,66.86,34.85
2026-05-05T16:28:00Z,69.88,30.54
2026-05-05T16:29:00Z,66.38,34.73
2026-05-05T16:30:00Z,59.81,40.24
2026-05-05T16:31:00Z,60.22,42.31
2026-05-05T16:32:00Z,65.06,38.93
2026-05-05T16:33:00Z,66.10,33.76
2026-05-05T16:34:00Z,67.17,35.34
2026-05-05T16:35:00Z,67.31,34.80
2026-05-05T16:36:00Z,64.50,39.15
2026-05-05T16:37:00Z,63.61,38.36
2026-05-05T16:38:00Z,66.22,35.42
2026-05-05T16:39:00Z,61.89,39.36
2026-05-05T16:40:00Z,56.69,45.36
2026-05-05T16:41:00Z,63.32,38.38
2026-05-05T16:42:00Z,69.00,31.35
2026-05-05T16:43:00Z,69.17,33.34
2026-05-05T16:44:00Z,65.77,35.70
2026-05-05T16:45:00Z,65.85,37.27
2026-05-05T16:46:00Z,62.96,39.49
2026-05-05T16:47:00Z,60.46,41.58
2026-05-05T16:48:00Z,57.30,49.60
2026-05-05T16:49:00Z,62.47,37.97
2026-05-05T16:50:00Z,65.93,37.37
2026-05-05T16:51:00Z,57.94,40.45
2026-05-05T16:52:00Z,66.55,33.15
2026-05-05T16:53:00Z,67.92,31.89
2026-05-05T16:54:00Z,69.78,32.24
2026-05-05T16:55:00Z,74.92,26.40
2026-05-05T16:56:00Z,72.58,31.28
2026-05-05T16:57:00Z,71.84,29.27
2026-05-05T16:58:00Z,66.77,33.86
2026-05-05T16:59:00Z,60.11,42.94
2026-05-05T17:00:00Z,53.42,46.11
2026-05-05T17:01:00Z,52.96,45.60
2026-05-05T17:02:00Z,48.43,54.77
2026-05-05T17:03:00Z,66.11,37.76
2026-05-05T17:04:00Z,68.97,32.73
2026-05-05T17:05:00Z,67.17,32.93
2026-05-05T17:06:00Z,66.21,36.17
2026-05-05T17:07:00Z,72.34,24.54
2026-05-05T17:08:00Z,70.86,28.41
2026-05-05T17:09:00Z,74.15,29.06
2026-05-05T17:10:00Z,71.19,30.32
2026-05-05T17:11:00Z,80.84,17.66
2026-05-05T17:12:00Z,71.81,25.06
2026-05-05T17:13:00Z,74.10,23.16
2026-05-05T17:14:00Z,73.42,29.56
2026-05-05T17:15:00Z,74.84,26.69
2026-05-05T17:16:00Z,75.17,28.40
2026-05-05T17:17:00Z,68.16,34.41
2026-05-05T17:18:00Z,68.14,36.91
2026-05-05T17:19:00Z,77.97,19.53
2026-05-05T17:20:00Z,86.54,10.37
2026-05-05T17:21:00Z,86.47,14.55
2026-05-05T17:22:00Z,85.24,16.24
2026-05-05T17:23:00Z,78.85,23.59
2026-05-05T17:24:00Z,79.67,25.16
2026-05-05T17:25:00Z,85.90,27.00
2026-05-05T17:26:00Z,95.94,8.98
2026-05-05T17:27:00Z,99.00,1.00
2026-05-05T17:28:00Z,99.00,1.00
2026-05-05T17:29:00Z,99.00,1.00
2026-05-05T17:30:00Z,99.00,1.00
2026-05-05T17:31:00Z,99.00,1.00
2026-05-05T17:32:00Z,99.00,1.00
2026-05-05T17:33:00Z,99.00,1.00
