# event_ticker=KXATPCHALLENGERMATCH-26FEB10LAKKAS
# final_score=7-5 6-2
# match_winner=Maks Kasnikowski
# fav_player=Maks Kasnikowski
# dog_player=Aryan Lakshmanan
# kalshi_date=2026-02-10
timestamp,Maks Kasnikowski,Aryan Lakshmanan
2026-02-10T16:43:00Z,88.00,9.00
2026-02-10T17:14:00Z,96.00,9.00
2026-02-10T17:50:00Z,96.00,7.00
2026-02-10T17:52:00Z,93.00,6.00
2026-02-10T17:54:00Z,93.00,6.92
2026-02-10T18:22:00Z,93.00,6.00
2026-02-10T18:23:00Z,96.00,6.00
2026-02-10T18:29:00Z,96.00,6.00
2026-02-10T18:32:00Z,96.00,6.91
2026-02-10T18:33:00Z,96.00,7.00
2026-02-10T18:37:00Z,93.00,7.00
2026-02-10T18:39:00Z,93.00,6.94
2026-02-10T18:54:00Z,93.00,6.92
2026-02-10T18:55:00Z,93.00,6.92
2026-02-10T19:02:00Z,93.00,6.96
2026-02-10T19:33:00Z,93.00,7.00
2026-02-10T19:47:00Z,95.00,7.00
2026-02-10T20:09:00Z,95.00,6.00
2026-02-10T20:13:00Z,95.00,6.00
2026-02-10T20:14:00Z,95.00,6.00
2026-02-10T20:35:00Z,95.00,6.00
2026-02-10T20:44:00Z,95.00,6.00
2026-02-10T20:59:00Z,95.00,6.47
2026-02-10T21:02:00Z,95.00,5.00
2026-02-10T21:04:00Z,95.00,6.00
2026-02-10T21:05:00Z,95.00,6.00
2026-02-10T21:08:00Z,94.00,6.00
2026-02-10T21:16:00Z,94.00,6.00
2026-02-10T21:18:00Z,94.00,6.00
2026-02-10T21:33:00Z,94.00,5.00
2026-02-10T21:35:00Z,94.00,6.00
2026-02-10T21:53:00Z,96.00,6.00
2026-02-10T21:54:00Z,96.00,6.00
2026-02-10T21:56:00Z,96.00,6.00
2026-02-10T22:03:00Z,96.00,7.00
2026-02-10T22:05:00Z,96.00,7.00
2026-02-10T22:08:00Z,96.00,7.00
2026-02-10T22:10:00Z,96.00,7.00
2026-02-10T22:12:00Z,96.00,8.00
2026-02-10T22:15:00Z,96.00,6.00
2026-02-10T22:17:00Z,96.00,6.72
2026-02-10T22:19:00Z,96.00,6.00
2026-02-10T22:20:00Z,96.00,6.00
2026-02-10T22:34:00Z,96.00,6.60
2026-02-10T22:36:00Z,96.00,7.00
2026-02-10T22:37:00Z,93.00,7.00
2026-02-10T22:38:00Z,93.00,7.00
2026-02-10T22:53:00Z,93.00,8.00
2026-02-10T22:54:00Z,93.00,7.97
2026-02-10T23:09:00Z,93.00,7.00
2026-02-10T23:18:00Z,93.00,7.00
2026-02-10T23:20:00Z,93.00,7.00
2026-02-10T23:22:00Z,93.00,7.00
2026-02-10T23:32:00Z,95.00,7.00
2026-02-10T23:37:00Z,95.00,7.00
2026-02-10T23:41:00Z,95.00,7.00
2026-02-10T23:45:00Z,95.00,7.00
2026-02-10T23:50:00Z,95.00,7.00
2026-02-11T00:00:00Z,95.00,7.00
2026-02-11T00:01:00Z,95.00,7.00
2026-02-11T00:02:00Z,95.00,7.00
2026-02-11T00:09:00Z,95.00,6.00
2026-02-11T00:10:00Z,95.00,7.00
2026-02-11T00:12:00Z,95.00,7.00
2026-02-11T00:25:00Z,95.00,7.00
2026-02-11T00:29:00Z,95.00,7.00
2026-02-11T00:39:00Z,95.00,7.00
2026-02-11T00:52:00Z,95.00,7.00
2026-02-11T00:56:00Z,95.00,7.00
2026-02-11T00:57:00Z,95.00,7.00
2026-02-11T01:02:00Z,95.00,7.00
2026-02-11T01:05:00Z,95.00,7.00
2026-02-11T01:07:00Z,95.00,7.00
2026-02-11T01:12:00Z,95.00,7.00
2026-02-11T01:19:00Z,95.00,7.00
2026-02-11T01:22:00Z,95.00,7.00
2026-02-11T01:25:00Z,93.00,7.00
2026-02-11T01:26:00Z,93.00,7.72
2026-02-11T01:27:00Z,93.00,7.00
2026-02-11T01:29:00Z,93.00,7.00
2026-02-11T01:32:00Z,93.00,7.00
2026-02-11T01:33:00Z,94.00,8.00
2026-02-11T01:37:00Z,94.00,5.00
2026-02-11T01:39:00Z,94.00,8.00
2026-02-11T01:43:00Z,95.00,8.00
2026-02-11T01:58:00Z,95.00,5.00
2026-02-11T02:01:00Z,95.00,7.00
2026-02-11T02:05:00Z,95.00,7.00
2026-02-11T02:07:00Z,95.00,7.00
2026-02-11T02:18:00Z,95.00,8.00
2026-02-11T02:29:00Z,95.00,7.00
2026-02-11T02:32:00Z,95.00,7.00
2026-02-11T02:33:00Z,95.00,7.00
2026-02-11T02:35:00Z,95.00,7.00
2026-02-11T02:39:00Z,95.00,6.36
2026-02-11T02:48:00Z,95.00,7.00
2026-02-11T02:50:00Z,95.00,7.71
2026-02-11T02:54:00Z,95.00,7.00
2026-02-11T02:55:00Z,95.00,7.00
2026-02-11T02:56:00Z,95.00,7.00
2026-02-11T03:00:00Z,95.00,7.00
2026-02-11T03:08:00Z,95.00,7.00
2026-02-11T03:10:00Z,95.00,7.00
2026-02-11T03:12:00Z,95.00,7.00
2026-02-11T03:13:00Z,95.00,7.00
2026-02-11T03:16:00Z,95.00,7.00
2026-02-11T03:18:00Z,95.00,7.00
2026-02-11T03:19:00Z,94.00,7.00
2026-02-11T03:23:00Z,94.00,7.00
2026-02-11T03:24:00Z,94.00,7.00
2026-02-11T03:25:00Z,94.00,7.00
2026-02-11T03:26:00Z,93.00,7.00
2026-02-11T03:27:00Z,93.00,7.00
2026-02-11T03:28:00Z,93.00,7.00
2026-02-11T03:29:00Z,93.00,7.00
2026-02-11T03:30:00Z,93.00,7.00
2026-02-11T03:31:00Z,93.00,7.00
2026-02-11T03:32:00Z,93.00,7.00
2026-02-11T03:33:00Z,93.00,7.00
2026-02-11T03:35:00Z,93.00,7.00
