# event_ticker=KXATPCHALLENGERMATCH-26MAY03HURARN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Matteo Arnaldi
# fav_player=Hubert Hurkacz
# dog_player=Matteo Arnaldi
# kalshi_date=2026-05-03
timestamp,Hubert Hurkacz,Matteo Arnaldi
2026-05-03T01:25:00Z,,29.00
2026-05-03T01:26:00Z,,27.00
2026-05-03T01:27:00Z,73.00,27.00
2026-05-03T01:29:00Z,73.00,27.00
2026-05-03T01:37:00Z,73.00,29.00
2026-05-03T01:39:00Z,73.00,29.00
2026-05-03T01:41:00Z,73.00,29.00
2026-05-03T01:55:00Z,73.00,29.00
2026-05-03T02:07:00Z,73.00,29.00
2026-05-03T02:08:00Z,73.00,29.00
2026-05-03T02:18:00Z,73.29,29.00
2026-05-03T02:20:00Z,73.29,29.00
2026-05-03T02:27:00Z,74.00,29.00
2026-05-03T02:29:00Z,74.00,29.00
2026-05-03T02:33:00Z,74.00,29.00
2026-05-03T02:36:00Z,74.00,28.00
2026-05-03T02:37:00Z,74.00,28.00
2026-05-03T02:41:00Z,74.00,28.88
2026-05-03T02:46:00Z,74.00,30.00
2026-05-03T02:47:00Z,73.00,30.00
2026-05-03T02:53:00Z,73.00,30.00
2026-05-03T03:02:00Z,73.00,30.00
2026-05-03T03:03:00Z,73.00,30.00
2026-05-03T03:09:00Z,73.00,28.00
2026-05-03T03:19:00Z,73.00,28.00
2026-05-03T03:22:00Z,73.00,28.00
2026-05-03T03:23:00Z,72.00,28.00
2026-05-03T03:25:00Z,73.00,28.00
2026-05-03T03:36:00Z,73.00,30.00
2026-05-03T03:40:00Z,73.00,30.00
2026-05-03T03:46:00Z,73.00,29.00
2026-05-03T04:04:00Z,73.00,27.00
2026-05-03T04:12:00Z,73.00,30.00
2026-05-03T04:14:00Z,73.00,30.00
2026-05-03T04:16:00Z,73.00,30.00
2026-05-03T04:26:00Z,73.00,30.00
2026-05-03T04:31:00Z,73.00,30.00
2026-05-03T04:35:00Z,73.00,30.00
2026-05-03T04:39:00Z,73.00,30.00
2026-05-03T04:40:00Z,73.00,30.00
2026-05-03T04:42:00Z,73.00,30.00
2026-05-03T04:44:00Z,73.00,30.00
2026-05-03T04:45:00Z,73.00,30.00
2026-05-03T04:51:00Z,73.00,30.00
2026-05-03T04:58:00Z,73.00,30.00
2026-05-03T05:02:00Z,73.00,30.00
2026-05-03T05:03:00Z,73.00,28.20
2026-05-03T05:07:00Z,72.00,28.20
2026-05-03T05:15:00Z,73.00,28.20
