# event_ticker=KXATPCHALLENGERMATCH-26MAR27NEUCOP
# final_score=6-4 6-3
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Lukas Neumayer
# kalshi_date=2026-03-27
timestamp,Kimmer Coppejans,Lukas Neumayer
2026-03-27T14:57:00Z,96.00,
2026-03-27T15:24:00Z,52.00,
2026-03-27T15:25:00Z,43.00,57.00
2026-03-27T15:27:00Z,43.00,57.00
2026-03-27T15:29:00Z,43.00,57.00
2026-03-27T15:30:00Z,43.00,58.00
2026-03-27T15:34:00Z,43.00,57.00
2026-03-27T15:36:00Z,43.00,58.08
2026-03-27T15:37:00Z,41.00,62.00
2026-03-27T15:43:00Z,40.00,62.00
2026-03-27T15:44:00Z,44.00,62.00
2026-03-27T15:47:00Z,40.00,62.00
2026-03-27T15:49:00Z,40.00,62.00
2026-03-27T15:50:00Z,40.00,63.90
2026-03-27T15:54:00Z,40.00,62.00
2026-03-27T15:56:00Z,39.00,62.00
2026-03-27T15:57:00Z,39.00,62.00
2026-03-27T15:58:00Z,39.00,62.00
2026-03-27T16:00:00Z,39.00,62.00
2026-03-27T16:01:00Z,38.00,62.00
2026-03-27T16:02:00Z,37.00,65.54
2026-03-27T16:03:00Z,38.33,65.54
2026-03-27T16:04:00Z,38.00,64.00
2026-03-27T16:06:00Z,37.00,65.97
2026-03-27T16:08:00Z,38.22,65.00
2026-03-27T16:09:00Z,38.00,65.00
2026-03-27T16:11:00Z,37.00,65.00
2026-03-27T16:12:00Z,37.00,63.00
2026-03-27T16:13:00Z,37.65,65.00
2026-03-27T16:14:00Z,37.00,65.00
2026-03-27T16:15:00Z,41.91,64.00
2026-03-27T16:16:00Z,38.78,64.51
2026-03-27T16:17:00Z,37.84,64.84
2026-03-27T16:18:00Z,38.00,65.67
2026-03-27T16:19:00Z,37.72,65.00
2026-03-27T16:20:00Z,38.48,64.66
2026-03-27T16:21:00Z,45.98,64.99
2026-03-27T16:22:00Z,43.49,62.24
2026-03-27T16:23:00Z,40.33,62.94
2026-03-27T16:24:00Z,38.54,64.39
2026-03-27T16:25:00Z,38.27,64.77
2026-03-27T16:26:00Z,38.02,66.27
2026-03-27T16:27:00Z,37.00,66.34
2026-03-27T16:28:00Z,37.98,60.50
2026-03-27T16:29:00Z,38.39,65.60
2026-03-27T16:30:00Z,38.64,63.50
2026-03-27T16:31:00Z,38.68,64.01
2026-03-27T16:32:00Z,38.34,65.68
2026-03-27T16:33:00Z,38.69,64.95
2026-03-27T16:34:00Z,39.70,64.00
2026-03-27T16:35:00Z,39.14,65.45
2026-03-27T16:36:00Z,37.53,68.45
2026-03-27T16:37:00Z,37.44,66.04
2026-03-27T16:38:00Z,36.45,65.38
2026-03-27T16:39:00Z,32.60,67.52
2026-03-27T16:40:00Z,34.55,68.00
2026-03-27T16:41:00Z,31.32,67.52
2026-03-27T16:42:00Z,35.44,65.57
2026-03-27T16:43:00Z,32.98,68.39
2026-03-27T16:44:00Z,32.74,66.56
2026-03-27T16:45:00Z,37.14,63.95
2026-03-27T16:46:00Z,40.26,60.88
2026-03-27T16:47:00Z,37.45,63.29
2026-03-27T16:48:00Z,36.18,67.00
2026-03-27T16:49:00Z,38.35,62.52
2026-03-27T16:50:00Z,37.07,69.39
2026-03-27T16:51:00Z,33.86,68.00
