# event_ticker=KXATPCHALLENGERMATCH-26MAR19KOZMMO
# final_score=7-5 6-2
# match_winner=Michael Mmoh
# fav_player=Michael Mmoh
# dog_player=Stefan Kozlov
# kalshi_date=2026-03-19
timestamp,Michael Mmoh,Stefan Kozlov
2026-03-19T06:40:00Z,53.00,58.00
2026-03-19T09:27:00Z,53.00,34.00
2026-03-19T09:42:00Z,53.00,34.00
2026-03-19T10:26:00Z,67.00,34.00
2026-03-19T10:35:00Z,67.00,34.00
2026-03-19T12:05:00Z,67.00,34.00
2026-03-19T12:57:00Z,67.00,34.00
2026-03-19T13:12:00Z,68.00,34.00
2026-03-19T13:18:00Z,68.00,34.00
2026-03-19T13:19:00Z,68.00,34.00
2026-03-19T13:20:00Z,68.00,34.00
2026-03-19T13:28:00Z,68.00,34.00
2026-03-19T13:30:00Z,68.00,34.00
2026-03-19T13:37:00Z,68.00,32.00
2026-03-19T13:58:00Z,68.00,32.00
2026-03-19T14:01:00Z,68.00,32.00
2026-03-19T14:16:00Z,68.00,34.00
2026-03-19T16:32:00Z,68.00,34.00
2026-03-19T16:37:00Z,68.00,34.00
2026-03-19T16:40:00Z,68.00,34.00
2026-03-19T17:03:00Z,69.00,34.00
2026-03-19T17:35:00Z,69.00,33.00
2026-03-19T17:57:00Z,69.00,33.11
2026-03-19T18:00:00Z,69.00,35.00
2026-03-19T18:07:00Z,69.00,34.00
2026-03-19T18:08:00Z,69.00,34.00
2026-03-19T18:09:00Z,69.00,34.00
2026-03-19T18:11:00Z,69.00,34.00
2026-03-19T18:12:00Z,67.00,35.08
2026-03-19T18:13:00Z,66.00,35.08
2026-03-19T18:14:00Z,67.00,34.60
2026-03-19T18:15:00Z,65.23,33.50
2026-03-19T18:16:00Z,64.01,35.61
2026-03-19T18:17:00Z,64.01,35.00
2026-03-19T18:18:00Z,65.00,37.00
2026-03-19T18:19:00Z,64.00,37.00
2026-03-19T18:20:00Z,63.00,36.94
2026-03-19T18:21:00Z,64.67,43.93
2026-03-19T18:22:00Z,52.91,47.12
2026-03-19T18:23:00Z,52.91,53.23
2026-03-19T18:24:00Z,44.00,56.00
2026-03-19T18:25:00Z,46.99,56.76
2026-03-19T18:26:00Z,47.42,54.17
2026-03-19T18:27:00Z,45.00,56.24
2026-03-19T18:28:00Z,45.00,55.38
2026-03-19T18:29:00Z,47.33,55.00
2026-03-19T18:30:00Z,49.00,51.00
2026-03-19T18:31:00Z,53.36,48.20
2026-03-19T18:32:00Z,56.29,44.19
2026-03-19T18:33:00Z,57.00,44.19
2026-03-19T18:34:00Z,64.40,36.00
2026-03-19T18:35:00Z,64.00,37.00
2026-03-19T18:36:00Z,64.05,37.07
2026-03-19T18:37:00Z,64.05,33.00
2026-03-19T18:38:00Z,67.00,31.31
2026-03-19T18:39:00Z,67.00,30.94
2026-03-19T18:40:00Z,68.01,30.59
2026-03-19T18:41:00Z,76.13,26.00
2026-03-19T18:42:00Z,75.57,21.73
2026-03-19T18:43:00Z,81.05,23.20
2026-03-19T18:44:00Z,81.05,19.00
2026-03-19T18:45:00Z,77.04,19.00
2026-03-19T18:46:00Z,79.00,19.00
2026-03-19T18:47:00Z,78.00,24.46
2026-03-19T18:48:00Z,78.00,30.00
2026-03-19T18:49:00Z,75.00,27.07
2026-03-19T18:50:00Z,65.10,33.00
2026-03-19T18:51:00Z,64.90,34.02
2026-03-19T18:52:00Z,60.00,40.62
2026-03-19T18:53:00Z,63.00,39.84
2026-03-19T18:54:00Z,68.00,35.13
2026-03-19T18:55:00Z,68.00,37.81
2026-03-19T18:56:00Z,68.60,30.39
2026-03-19T18:57:00Z,65.00,37.34
2026-03-19T18:58:00Z,61.00,40.00
2026-03-19T18:59:00Z,52.00,41.38
2026-03-19T19:00:00Z,55.43,44.02
2026-03-19T19:01:00Z,55.43,38.08
2026-03-19T19:02:00Z,55.43,36.00
2026-03-19T19:03:00Z,74.40,28.00
2026-03-19T19:04:00Z,74.25,25.39
2026-03-19T19:05:00Z,76.94,22.02
2026-03-19T19:06:00Z,83.80,16.60
2026-03-19T19:07:00Z,83.80,17.00
2026-03-19T19:08:00Z,83.80,14.00
2026-03-19T19:09:00Z,85.00,16.77
2026-03-19T19:10:00Z,87.00,16.57
2026-03-19T19:11:00Z,78.67,21.38
2026-03-19T19:12:00Z,76.70,23.66
2026-03-19T19:13:00Z,80.97,19.92
2026-03-19T19:14:00Z,86.00,14.09
2026-03-19T19:15:00Z,87.00,12.50
2026-03-19T19:17:00Z,87.00,12.31
2026-03-19T19:18:00Z,87.00,12.89
2026-03-19T19:19:00Z,87.00,13.49
2026-03-19T19:20:00Z,87.00,14.00
2026-03-19T19:21:00Z,87.00,14.00
2026-03-19T19:22:00Z,87.00,14.00
2026-03-19T19:23:00Z,87.00,12.88
2026-03-19T19:24:00Z,91.00,9.74
2026-03-19T19:25:00Z,93.00,6.47
2026-03-19T19:26:00Z,93.00,6.68
