# event_ticker=KXATPCHALLENGERMATCH-26JUN01CECSIM
# final_score=6-3 6-4
# match_winner=Marco Cecchinato
# fav_player=Marco Cecchinato
# dog_player=Ilia Simakin
# kalshi_date=2026-06-01
timestamp,Marco Cecchinato,Ilia Simakin
2026-06-01T03:31:00Z,77.00,
2026-06-01T03:36:00Z,77.00,24.00
2026-06-01T04:53:00Z,77.00,24.00
2026-06-01T05:14:00Z,77.00,24.00
2026-06-01T05:21:00Z,77.00,24.00
2026-06-01T06:37:00Z,77.00,24.00
2026-06-01T07:25:00Z,77.00,24.00
2026-06-01T07:30:00Z,77.00,24.00
2026-06-01T11:43:00Z,77.00,24.00
2026-06-01T12:26:00Z,78.00,24.00
2026-06-01T13:03:00Z,78.00,24.00
2026-06-01T13:13:00Z,78.00,24.00
2026-06-01T13:41:00Z,78.00,25.00
2026-06-01T13:43:00Z,78.00,25.00
2026-06-01T13:57:00Z,78.00,25.00
2026-06-01T14:00:00Z,78.00,25.00
2026-06-01T14:01:00Z,73.33,26.00
2026-06-01T14:02:00Z,73.33,23.00
2026-06-01T14:03:00Z,77.00,24.95
2026-06-01T14:04:00Z,79.00,24.95
2026-06-01T14:05:00Z,80.31,19.36
2026-06-01T14:06:00Z,85.58,15.77
2026-06-01T14:07:00Z,88.00,13.10
2026-06-01T14:08:00Z,87.00,13.10
2026-06-01T14:09:00Z,86.00,14.00
2026-06-01T14:10:00Z,85.51,14.89
2026-06-01T14:11:00Z,87.48,13.88
2026-06-01T14:12:00Z,89.00,12.00
2026-06-01T14:13:00Z,90.35,9.55
2026-06-01T14:14:00Z,90.35,10.58
2026-06-01T14:15:00Z,89.00,10.76
2026-06-01T14:16:00Z,87.66,12.10
2026-06-01T14:17:00Z,87.96,12.52
2026-06-01T14:18:00Z,89.00,11.88
2026-06-01T14:19:00Z,90.00,11.00
2026-06-01T14:20:00Z,89.00,10.36
2026-06-01T14:21:00Z,89.00,11.00
2026-06-01T14:22:00Z,90.00,11.81
2026-06-01T14:23:00Z,86.19,13.47
2026-06-01T14:24:00Z,87.16,12.06
2026-06-01T14:25:00Z,89.85,11.04
2026-06-01T14:26:00Z,89.13,10.42
2026-06-01T14:27:00Z,89.22,11.00
2026-06-01T14:28:00Z,89.00,11.32
2026-06-01T14:29:00Z,89.79,12.81
2026-06-01T14:30:00Z,90.96,10.83
2026-06-01T14:31:00Z,89.24,11.00
2026-06-01T14:32:00Z,89.03,11.00
2026-06-01T14:33:00Z,90.00,11.00
2026-06-01T14:34:00Z,90.00,11.00
2026-06-01T14:35:00Z,88.81,11.10
2026-06-01T14:36:00Z,87.00,13.43
2026-06-01T14:37:00Z,87.00,13.99
2026-06-01T14:38:00Z,87.00,13.67
2026-06-01T14:39:00Z,89.00,11.78
2026-06-01T14:40:00Z,89.00,12.00
2026-06-01T14:41:00Z,86.00,13.78
2026-06-01T14:42:00Z,86.00,15.00
2026-06-01T14:43:00Z,86.53,13.42
2026-06-01T14:44:00Z,88.00,13.42
2026-06-01T14:45:00Z,88.00,11.98
2026-06-01T14:46:00Z,88.77,11.30
2026-06-01T14:47:00Z,87.84,12.91
2026-06-01T14:48:00Z,86.00,15.00
2026-06-01T14:49:00Z,86.00,13.74
2026-06-01T14:50:00Z,87.98,14.81
2026-06-01T14:51:00Z,87.85,12.11
2026-06-01T14:52:00Z,87.76,12.00
2026-06-01T14:53:00Z,89.96,11.11
2026-06-01T14:54:00Z,92.64,8.92
2026-06-01T14:55:00Z,94.62,6.69
2026-06-01T14:56:00Z,98.00,2.98
2026-06-01T14:57:00Z,98.00,2.66
2026-06-01T14:58:00Z,98.98,2.00
2026-06-01T14:59:00Z,99.00,1.00
2026-06-01T15:00:00Z,99.00,2.00
2026-06-01T15:01:00Z,98.74,2.61
2026-06-01T15:02:00Z,99.00,1.02
2026-06-01T15:03:00Z,99.00,1.00
2026-06-01T15:04:00Z,99.00,1.00
