# event_ticker=KXATPCHALLENGERMATCH-26MAR19BOSHUE
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Pedro Boscardin Dias
# fav_player=Connor Huertas Del Pino
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-03-19
timestamp,Connor Huertas Del Pino,Pedro Boscardin Dias
2026-03-19T10:49:00Z,25.00,
2026-03-19T14:56:00Z,25.00,84.00
2026-03-19T16:34:00Z,25.00,84.00
2026-03-19T17:48:00Z,25.00,83.00
2026-03-19T18:31:00Z,25.00,83.00
2026-03-19T18:56:00Z,25.00,83.00
2026-03-19T20:08:00Z,21.27,79.79
2026-03-19T20:20:00Z,21.00,79.79
2026-03-19T20:35:00Z,22.87,79.00
2026-03-19T20:38:00Z,22.00,79.00
2026-03-19T20:42:00Z,23.00,79.00
2026-03-19T20:43:00Z,22.00,79.00
2026-03-19T20:44:00Z,19.95,79.00
2026-03-19T20:45:00Z,22.98,79.00
2026-03-19T20:48:00Z,23.16,79.00
2026-03-19T20:49:00Z,18.44,79.00
2026-03-19T20:50:00Z,24.00,79.00
2026-03-19T20:51:00Z,23.79,78.62
2026-03-19T20:52:00Z,31.42,74.25
2026-03-19T20:54:00Z,29.16,74.00
2026-03-19T20:55:00Z,31.00,74.00
2026-03-19T20:56:00Z,18.33,85.00
2026-03-19T20:57:00Z,17.08,75.28
2026-03-19T20:58:00Z,35.74,75.00
2026-03-19T20:59:00Z,38.74,82.57
2026-03-19T21:00:00Z,24.00,77.26
2026-03-19T21:01:00Z,22.94,79.00
2026-03-19T21:02:00Z,13.00,79.00
2026-03-19T21:03:00Z,26.80,75.11
2026-03-19T21:04:00Z,19.00,87.00
2026-03-19T21:06:00Z,14.20,87.00
2026-03-19T21:08:00Z,12.54,87.00
2026-03-19T21:09:00Z,13.00,88.00
2026-03-19T21:10:00Z,12.33,90.65
2026-03-19T21:11:00Z,12.00,92.53
2026-03-19T21:12:00Z,8.82,94.00
2026-03-19T21:13:00Z,14.05,88.45
2026-03-19T21:14:00Z,6.00,88.45
2026-03-19T21:15:00Z,11.86,88.50
2026-03-19T21:18:00Z,17.88,88.50
2026-03-19T21:19:00Z,6.00,95.00
2026-03-19T21:23:00Z,14.24,95.00
2026-03-19T21:27:00Z,11.38,95.00
2026-03-19T21:29:00Z,20.75,94.00
2026-03-19T21:30:00Z,13.07,84.38
2026-03-19T21:32:00Z,7.19,84.38
2026-03-19T21:34:00Z,15.59,87.00
2026-03-19T21:37:00Z,15.00,94.59
2026-03-19T21:39:00Z,14.00,94.59
2026-03-19T21:41:00Z,19.09,94.59
2026-03-19T21:42:00Z,10.80,95.00
2026-03-19T21:43:00Z,10.80,96.00
2026-03-19T21:44:00Z,6.00,95.00
2026-03-19T21:45:00Z,8.23,93.91
2026-03-19T21:46:00Z,4.64,93.91
2026-03-19T21:47:00Z,4.64,95.66
2026-03-19T21:48:00Z,4.64,94.09
2026-03-19T21:49:00Z,4.36,97.15
2026-03-19T21:50:00Z,11.70,94.48
2026-03-19T21:51:00Z,5.62,97.00
2026-03-19T21:52:00Z,5.62,97.00
2026-03-19T21:53:00Z,5.00,97.00
2026-03-19T21:54:00Z,5.22,95.05
2026-03-19T21:55:00Z,3.28,96.00
2026-03-19T21:57:00Z,8.68,94.57
2026-03-19T21:58:00Z,3.79,97.00
2026-03-19T21:59:00Z,1.32,98.94
2026-03-19T22:00:00Z,1.00,98.94
2026-03-19T22:01:00Z,1.04,99.00
2026-03-19T22:02:00Z,2.00,99.00
2026-03-19T22:03:00Z,1.67,99.00
2026-03-19T22:06:00Z,1.67,99.00
