# event_ticker=KXATPMATCH-25OCT23BERNOR
# final_score=7-6(6) 6-7(9) 6-4
# score_resolution=6-7 7-6 4-6
# match_winner=Matteo Berrettini
# fav_player=Cameron Norrie
# dog_player=Matteo Berrettini
# kalshi_date=2025-10-23
timestamp,Cameron Norrie,Matteo Berrettini
2025-10-23T00:12:00Z,43.00,
2025-10-23T00:18:00Z,43.00,56.00
2025-10-23T00:23:00Z,43.00,56.00
2025-10-23T00:24:00Z,43.00,56.00
2025-10-23T00:43:00Z,43.00,56.00
2025-10-23T00:52:00Z,43.00,56.00
2025-10-23T00:58:00Z,45.00,56.00
2025-10-23T01:04:00Z,45.00,56.00
2025-10-23T01:05:00Z,45.00,56.00
2025-10-23T01:17:00Z,45.00,56.00
2025-10-23T01:33:00Z,45.00,57.00
2025-10-23T01:47:00Z,44.00,57.00
2025-10-23T01:49:00Z,44.00,57.00
2025-10-23T01:55:00Z,44.00,57.00
2025-10-23T01:58:00Z,44.00,57.00
2025-10-23T02:11:00Z,44.00,57.00
2025-10-23T02:12:00Z,45.00,57.00
2025-10-23T02:15:00Z,45.00,57.00
2025-10-23T02:17:00Z,45.00,57.00
2025-10-23T02:21:00Z,45.00,57.00
2025-10-23T02:23:00Z,45.00,57.00
2025-10-23T02:25:00Z,45.00,57.00
2025-10-23T02:26:00Z,44.00,57.00
2025-10-23T02:49:00Z,44.00,57.00
2025-10-23T02:53:00Z,44.00,57.00
2025-10-23T02:59:00Z,44.00,57.00
2025-10-23T03:08:00Z,44.00,57.00
2025-10-23T03:10:00Z,44.00,57.00
2025-10-23T03:12:00Z,44.00,57.00
2025-10-23T03:27:00Z,44.00,57.00
2025-10-23T03:36:00Z,44.00,57.00
2025-10-23T03:37:00Z,43.00,57.00
2025-10-23T03:41:00Z,43.00,57.00
2025-10-23T03:42:00Z,43.00,57.00
2025-10-23T03:43:00Z,45.00,57.00
2025-10-23T03:48:00Z,45.00,57.00
2025-10-23T03:50:00Z,45.00,57.00
2025-10-23T03:52:00Z,45.00,57.00
2025-10-23T04:05:00Z,45.00,57.00
2025-10-23T04:08:00Z,45.00,57.00
2025-10-23T04:11:00Z,45.00,57.00
2025-10-23T04:14:00Z,45.00,57.00
2025-10-23T04:19:00Z,45.00,57.00
2025-10-23T04:35:00Z,44.36,57.00
2025-10-23T04:37:00Z,44.36,57.00
2025-10-23T04:38:00Z,45.00,57.00
2025-10-23T04:41:00Z,45.00,56.00
2025-10-23T04:42:00Z,45.00,57.00
2025-10-23T04:43:00Z,45.00,57.00
2025-10-23T04:44:00Z,45.00,57.00
2025-10-23T04:46:00Z,45.00,57.00
2025-10-23T04:48:00Z,45.00,57.00
2025-10-23T04:50:00Z,45.00,57.00
2025-10-23T04:51:00Z,45.00,57.00
2025-10-23T04:53:00Z,45.00,57.00
