# event_ticker=KXATPCHALLENGERMATCH-26MAY19ROTPIR
# final_score=6-4 6-3
# match_winner=Gabriele Piraino
# fav_player=Gabriele Piraino
# dog_player=Lorenzo Rottoli
# kalshi_date=2026-05-19
timestamp,Lorenzo Rottoli,Gabriele Piraino
2026-05-19T04:13:00Z,,82.00
2026-05-19T04:33:00Z,,82.00
2026-05-19T06:06:00Z,19.00,82.00
2026-05-19T06:48:00Z,19.00,82.00
2026-05-19T08:07:00Z,19.00,82.00
2026-05-19T08:25:00Z,19.00,82.00
2026-05-19T08:59:00Z,19.00,82.00
2026-05-19T09:28:00Z,19.00,81.00
2026-05-19T09:45:00Z,29.79,73.48
2026-05-19T09:47:00Z,23.02,73.48
2026-05-19T09:48:00Z,23.00,73.48
2026-05-19T09:53:00Z,25.00,73.48
2026-05-19T09:54:00Z,24.00,73.48
2026-05-19T09:56:00Z,24.00,79.92
2026-05-19T09:57:00Z,19.00,79.92
2026-05-19T09:58:00Z,19.00,81.00
2026-05-19T09:59:00Z,20.75,81.00
2026-05-19T10:00:00Z,22.00,81.00
2026-05-19T10:01:00Z,22.00,81.00
2026-05-19T10:02:00Z,18.92,81.20
2026-05-19T10:03:00Z,19.00,79.00
2026-05-19T10:04:00Z,19.55,81.00
2026-05-19T10:05:00Z,19.55,82.00
2026-05-19T10:06:00Z,14.00,82.00
2026-05-19T10:09:00Z,14.00,84.86
2026-05-19T10:10:00Z,14.00,86.00
2026-05-19T10:12:00Z,14.00,87.90
2026-05-19T10:13:00Z,14.00,89.00
2026-05-19T10:14:00Z,14.00,89.00
2026-05-19T10:15:00Z,14.00,88.92
2026-05-19T10:16:00Z,14.00,87.00
2026-05-19T10:22:00Z,13.87,87.00
2026-05-19T10:27:00Z,14.85,87.00
2026-05-19T10:28:00Z,12.73,87.00
2026-05-19T10:30:00Z,14.00,87.00
2026-05-19T10:31:00Z,14.00,86.00
2026-05-19T10:33:00Z,14.00,87.00
2026-05-19T10:34:00Z,15.00,87.00
2026-05-19T10:35:00Z,15.00,87.00
2026-05-19T10:36:00Z,15.00,84.00
2026-05-19T10:37:00Z,17.49,82.15
2026-05-19T10:40:00Z,13.00,82.15
2026-05-19T10:43:00Z,21.00,82.15
2026-05-19T10:44:00Z,15.00,87.00
2026-05-19T10:45:00Z,15.00,91.00
2026-05-19T10:46:00Z,11.00,89.00
2026-05-19T10:48:00Z,7.00,92.00
2026-05-19T10:51:00Z,10.00,92.00
2026-05-19T10:53:00Z,11.00,92.00
2026-05-19T10:54:00Z,11.00,92.00
2026-05-19T10:56:00Z,14.32,87.00
2026-05-19T10:58:00Z,23.94,80.00
2026-05-19T11:01:00Z,20.94,90.00
2026-05-19T11:02:00Z,17.05,91.00
2026-05-19T11:03:00Z,11.50,91.00
2026-05-19T11:04:00Z,14.00,87.12
2026-05-19T11:05:00Z,10.51,87.12
2026-05-19T11:06:00Z,11.00,89.30
2026-05-19T11:07:00Z,11.05,87.33
2026-05-19T11:08:00Z,19.85,86.00
2026-05-19T11:09:00Z,15.00,86.98
2026-05-19T11:10:00Z,12.82,87.16
2026-05-19T11:11:00Z,12.61,88.04
2026-05-19T11:12:00Z,13.02,88.88
2026-05-19T11:13:00Z,13.16,89.32
2026-05-19T11:14:00Z,17.00,88.02
2026-05-19T11:16:00Z,17.05,84.80
2026-05-19T11:17:00Z,17.83,85.74
2026-05-19T11:18:00Z,18.00,85.74
2026-05-19T11:20:00Z,24.38,78.96
2026-05-19T11:22:00Z,17.89,86.57
2026-05-19T11:23:00Z,18.64,87.00
2026-05-19T11:24:00Z,12.92,90.22
2026-05-19T11:25:00Z,12.00,90.00
2026-05-19T11:26:00Z,12.00,92.00
2026-05-19T11:27:00Z,12.00,85.00
2026-05-19T11:28:00Z,13.43,85.95
2026-05-19T11:29:00Z,16.94,87.00
2026-05-19T11:30:00Z,20.73,84.36
2026-05-19T11:31:00Z,12.00,89.05
2026-05-19T11:32:00Z,12.00,89.00
2026-05-19T11:34:00Z,7.00,91.11
2026-05-19T11:35:00Z,11.00,91.11
2026-05-19T11:36:00Z,5.39,93.59
2026-05-19T11:37:00Z,5.00,93.59
2026-05-19T11:38:00Z,7.55,92.00
2026-05-19T11:39:00Z,13.00,95.00
2026-05-19T11:40:00Z,6.00,94.04
2026-05-19T11:41:00Z,4.51,96.64
2026-05-19T11:42:00Z,2.94,97.97
2026-05-19T11:43:00Z,1.10,98.89
2026-05-19T11:44:00Z,2.00,98.89
2026-05-19T11:45:00Z,2.01,98.89
2026-05-19T11:46:00Z,6.33,97.00
2026-05-19T11:47:00Z,6.33,99.00
2026-05-19T11:48:00Z,6.33,99.00
2026-05-19T11:49:00Z,1.00,99.00
