# event_ticker=KXATPMATCH-26MAY25MULTSI
# final_score=6-2 3-0 RET
# match_winner=Stefanos Tsitsipas
# fav_player=Alexandre Muller
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-05-25
timestamp,Alexandre Muller,Stefanos Tsitsipas
2026-05-25T23:58:00Z,,84.00
2026-05-26T00:19:00Z,17.00,84.00
2026-05-26T00:24:00Z,17.00,84.00
2026-05-26T00:36:00Z,17.00,84.00
2026-05-26T00:46:00Z,17.00,84.00
2026-05-26T00:51:00Z,17.00,84.00
2026-05-26T00:56:00Z,17.00,84.00
2026-05-26T00:57:00Z,17.00,84.00
2026-05-26T01:09:00Z,17.00,84.00
2026-05-26T01:13:00Z,17.00,84.00
2026-05-26T01:27:00Z,17.00,84.00
2026-05-26T01:54:00Z,17.00,84.00
2026-05-26T01:56:00Z,17.00,84.00
2026-05-26T01:57:00Z,17.00,84.00
2026-05-26T02:03:00Z,17.00,84.00
2026-05-26T02:07:00Z,17.00,84.00
2026-05-26T02:22:00Z,17.00,84.00
2026-05-26T02:34:00Z,17.00,84.00
2026-05-26T02:43:00Z,17.00,84.00
2026-05-26T02:46:00Z,17.00,84.00
2026-05-26T02:48:00Z,17.00,84.00
2026-05-26T02:57:00Z,17.00,84.00
2026-05-26T02:58:00Z,17.00,84.00
2026-05-26T02:59:00Z,17.00,84.00
2026-05-26T03:00:00Z,17.00,84.00
2026-05-26T03:07:00Z,17.00,84.00
2026-05-26T03:14:00Z,17.00,84.00
2026-05-26T03:16:00Z,17.00,84.00
2026-05-26T03:19:00Z,17.00,84.00
2026-05-26T03:21:00Z,17.00,84.00
2026-05-26T03:25:00Z,16.00,84.00
2026-05-26T03:27:00Z,17.00,84.00
2026-05-26T03:31:00Z,17.00,84.00
2026-05-26T03:33:00Z,17.00,84.00
2026-05-26T03:34:00Z,17.00,84.00
2026-05-26T03:36:00Z,17.00,84.00
2026-05-26T03:40:00Z,17.00,84.00
2026-05-26T03:44:00Z,17.00,84.00
2026-05-26T03:45:00Z,17.00,84.00
2026-05-26T03:49:00Z,17.00,84.00
2026-05-26T03:52:00Z,17.00,84.00
2026-05-26T03:54:00Z,17.00,84.00
2026-05-26T04:07:00Z,17.00,84.00
2026-05-26T04:09:00Z,17.00,84.00
2026-05-26T04:11:00Z,17.00,84.00
2026-05-26T04:13:00Z,17.00,84.00
2026-05-26T04:20:00Z,17.00,84.00
2026-05-26T04:26:00Z,17.00,84.00
2026-05-26T04:28:00Z,17.00,84.00
2026-05-26T04:37:00Z,17.00,84.00
2026-05-26T04:44:00Z,17.00,84.00
2026-05-26T04:46:00Z,17.00,84.00
2026-05-26T05:04:00Z,17.00,84.00
2026-05-26T05:05:00Z,17.00,84.00
2026-05-26T05:10:00Z,17.00,84.00
2026-05-26T05:23:00Z,17.00,84.00
2026-05-26T05:29:00Z,17.00,84.00
2026-05-26T05:32:00Z,17.00,84.00
2026-05-26T05:33:00Z,17.00,84.00
2026-05-26T05:36:00Z,17.00,84.00
2026-05-26T05:39:00Z,17.00,84.00
2026-05-26T05:43:00Z,17.00,84.00
2026-05-26T05:47:00Z,17.00,84.00
2026-05-26T05:52:00Z,17.00,84.00
2026-05-26T06:00:00Z,17.00,84.00
