# event_ticker=KXATPCHALLENGERMATCH-26APR14BERLAJ
# final_score=6-4 6-4
# match_winner=Dusan Lajovic
# fav_player=Dusan Lajovic
# dog_player=Remy Bertola
# kalshi_date=2026-04-14
timestamp,Dusan Lajovic,Remy Bertola
2026-04-14T00:32:00Z,67.84,
2026-04-14T01:58:00Z,69.00,
2026-04-14T02:29:00Z,69.00,
2026-04-14T03:36:00Z,69.00,
2026-04-14T04:22:00Z,69.00,
2026-04-14T04:29:00Z,69.00,
2026-04-14T04:49:00Z,68.00,
2026-04-14T05:49:00Z,68.43,
2026-04-14T05:57:00Z,69.00,
2026-04-14T06:17:00Z,69.00,34.00
2026-04-14T06:23:00Z,69.00,34.00
2026-04-14T06:24:00Z,69.00,34.00
2026-04-14T06:28:00Z,69.00,34.00
2026-04-14T06:38:00Z,69.00,34.00
2026-04-14T08:41:00Z,68.00,34.00
2026-04-14T09:51:00Z,68.00,34.00
2026-04-14T11:01:00Z,68.00,34.00
2026-04-14T11:04:00Z,68.00,34.00
2026-04-14T11:21:00Z,68.00,35.00
2026-04-14T11:43:00Z,63.00,37.00
2026-04-14T11:55:00Z,67.00,37.00
2026-04-14T11:59:00Z,67.00,37.00
2026-04-14T12:00:00Z,66.77,36.00
2026-04-14T12:01:00Z,71.21,36.00
2026-04-14T12:02:00Z,70.71,36.00
2026-04-14T12:03:00Z,77.00,36.00
2026-04-14T12:04:00Z,73.63,24.00
2026-04-14T12:05:00Z,68.00,25.64
2026-04-14T12:06:00Z,68.00,33.00
2026-04-14T12:07:00Z,79.00,33.00
2026-04-14T12:09:00Z,80.00,33.00
2026-04-14T12:11:00Z,83.00,33.00
2026-04-14T12:12:00Z,86.00,33.00
2026-04-14T12:13:00Z,87.35,33.00
2026-04-14T12:14:00Z,88.00,10.00
2026-04-14T12:15:00Z,86.43,13.00
2026-04-14T12:16:00Z,86.94,13.00
2026-04-14T12:18:00Z,86.94,11.00
2026-04-14T12:19:00Z,86.65,12.35
2026-04-14T12:21:00Z,86.43,14.00
2026-04-14T12:22:00Z,86.43,15.61
2026-04-14T12:23:00Z,84.00,15.61
2026-04-14T12:25:00Z,86.31,15.61
2026-04-14T12:26:00Z,86.31,14.00
2026-04-14T12:27:00Z,86.00,14.00
2026-04-14T12:31:00Z,84.00,17.00
2026-04-14T12:32:00Z,84.00,18.00
2026-04-14T12:33:00Z,78.00,18.00
2026-04-14T12:34:00Z,77.05,23.46
2026-04-14T12:35:00Z,75.00,25.40
2026-04-14T12:36:00Z,76.14,26.00
2026-04-14T12:37:00Z,76.14,25.00
2026-04-14T12:38:00Z,76.14,23.06
2026-04-14T12:39:00Z,76.00,21.00
2026-04-14T12:40:00Z,76.00,25.85
2026-04-14T12:41:00Z,71.86,31.00
2026-04-14T12:42:00Z,67.70,31.45
2026-04-14T12:43:00Z,73.32,27.68
2026-04-14T12:44:00Z,80.00,20.00
2026-04-14T12:45:00Z,80.00,21.00
2026-04-14T12:46:00Z,79.00,21.00
2026-04-14T12:47:00Z,80.00,21.00
2026-04-14T12:48:00Z,80.00,21.78
2026-04-14T12:50:00Z,80.00,24.00
2026-04-14T12:51:00Z,76.00,24.00
2026-04-14T12:52:00Z,79.96,21.00
2026-04-14T12:53:00Z,81.31,18.82
2026-04-14T12:54:00Z,81.40,18.20
2026-04-14T12:55:00Z,81.40,21.50
2026-04-14T12:56:00Z,76.00,25.00
2026-04-14T12:57:00Z,76.00,25.00
2026-04-14T12:58:00Z,69.00,25.00
2026-04-14T12:59:00Z,72.13,30.00
2026-04-14T13:00:00Z,72.13,22.00
2026-04-14T13:01:00Z,72.13,23.10
2026-04-14T13:02:00Z,72.13,27.00
2026-04-14T13:03:00Z,73.50,27.00
2026-04-14T13:04:00Z,71.05,30.00
2026-04-14T13:05:00Z,72.00,30.00
2026-04-14T13:06:00Z,66.07,30.10
2026-04-14T13:07:00Z,73.71,27.00
2026-04-14T13:08:00Z,77.97,21.48
2026-04-14T13:09:00Z,82.92,16.61
2026-04-14T13:10:00Z,89.08,10.97
2026-04-14T13:11:00Z,87.24,12.63
2026-04-14T13:12:00Z,90.94,8.44
2026-04-14T13:13:00Z,91.01,8.00
2026-04-14T13:14:00Z,87.50,16.93
2026-04-14T13:15:00Z,84.84,14.56
2026-04-14T13:16:00Z,90.68,5.99
2026-04-14T13:17:00Z,95.99,4.24
2026-04-14T13:18:00Z,97.64,1.95
2026-04-14T13:19:00Z,96.99,3.83
2026-04-14T13:20:00Z,95.00,5.00
2026-04-14T13:21:00Z,96.00,5.00
2026-04-14T13:22:00Z,96.97,4.00
2026-04-14T13:23:00Z,97.78,2.68
2026-04-14T13:24:00Z,98.31,3.00
2026-04-14T13:25:00Z,96.60,5.90
2026-04-14T13:26:00Z,98.80,1.00
