# event_ticker=KXATPCHALLENGERMATCH-26MAY08SINMAR
# final_score=7-6(5) 1-0 RET
# match_winner=Ivan Marrero Curbelo
# fav_player=Ivan Marrero Curbelo
# dog_player=Karan (IND) Singh
# kalshi_date=2026-05-08
timestamp,Karan (IND) Singh,Ivan Marrero Curbelo
2026-05-08T05:50:00Z,42.00,
2026-05-08T07:38:00Z,42.00,62.00
2026-05-08T08:05:00Z,42.00,58.18
2026-05-08T08:06:00Z,42.00,58.00
2026-05-08T08:23:00Z,41.34,58.00
2026-05-08T10:51:00Z,42.00,58.00
2026-05-08T13:08:00Z,42.00,58.00
2026-05-08T13:35:00Z,43.00,58.00
2026-05-08T13:58:00Z,43.00,58.00
2026-05-08T14:04:00Z,43.00,58.00
2026-05-08T14:15:00Z,43.00,58.00
2026-05-08T14:30:00Z,43.01,58.00
2026-05-08T14:42:00Z,43.01,58.00
2026-05-08T14:44:00Z,43.01,58.00
2026-05-08T14:56:00Z,43.01,58.00
2026-05-08T15:06:00Z,44.00,58.00
2026-05-08T15:10:00Z,44.00,58.00
2026-05-08T15:12:00Z,44.00,58.10
2026-05-08T15:23:00Z,44.00,58.00
2026-05-08T15:25:00Z,44.00,58.00
2026-05-08T15:36:00Z,44.00,58.92
2026-05-08T15:38:00Z,44.12,58.92
2026-05-08T15:46:00Z,44.12,57.00
2026-05-08T15:47:00Z,44.12,57.00
2026-05-08T15:48:00Z,44.12,57.00
2026-05-08T15:50:00Z,44.00,57.00
2026-05-08T16:00:00Z,44.00,57.00
2026-05-08T16:01:00Z,44.00,58.00
2026-05-08T16:13:00Z,44.00,57.95
2026-05-08T16:15:00Z,44.00,58.00
2026-05-08T16:16:00Z,43.00,58.00
2026-05-08T16:17:00Z,43.00,58.00
2026-05-08T16:18:00Z,43.00,58.00
2026-05-08T16:21:00Z,43.00,58.00
2026-05-08T16:22:00Z,44.96,58.00
2026-05-08T16:29:00Z,45.00,58.00
2026-05-08T16:30:00Z,45.00,58.00
2026-05-08T16:32:00Z,42.02,59.00
2026-05-08T16:33:00Z,42.00,59.00
