# event_ticker=KXATPCHALLENGERMATCH-26MAY26DUTBRO
# final_score=6-3 6-0
# match_winner=Liam Broady
# fav_player=Liam Broady
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-05-26
timestamp,Daniel Dutra Da Silva,Liam Broady
2026-05-26T01:30:00Z,,59.26
2026-05-26T02:27:00Z,40.00,59.26
2026-05-26T03:02:00Z,40.00,59.26
2026-05-26T03:32:00Z,40.00,63.00
2026-05-26T03:51:00Z,40.00,63.00
2026-05-26T04:36:00Z,40.00,63.00
2026-05-26T04:56:00Z,39.00,63.00
2026-05-26T06:24:00Z,39.00,63.00
2026-05-26T06:41:00Z,39.00,63.28
2026-05-26T06:45:00Z,39.00,63.00
2026-05-26T06:57:00Z,39.00,63.00
2026-05-26T07:27:00Z,39.00,63.33
2026-05-26T07:31:00Z,39.00,63.00
2026-05-26T07:42:00Z,39.00,63.00
2026-05-26T07:53:00Z,39.00,62.00
2026-05-26T09:41:00Z,39.00,62.00
2026-05-26T10:09:00Z,39.00,63.00
2026-05-26T10:49:00Z,39.00,63.00
2026-05-26T10:50:00Z,38.94,63.00
2026-05-26T10:51:00Z,39.00,63.00
2026-05-26T11:08:00Z,39.00,63.00
2026-05-26T11:34:00Z,39.00,61.00
2026-05-26T12:13:00Z,39.00,63.90
2026-05-26T12:22:00Z,38.42,63.90
2026-05-26T12:34:00Z,38.42,63.00
2026-05-26T12:35:00Z,39.00,63.00
2026-05-26T12:54:00Z,39.00,64.00
2026-05-26T12:55:00Z,39.00,64.00
2026-05-26T13:03:00Z,39.00,64.00
2026-05-26T13:06:00Z,39.00,64.00
2026-05-26T13:11:00Z,35.19,66.14
2026-05-26T13:12:00Z,33.00,66.50
2026-05-26T13:13:00Z,34.00,67.00
2026-05-26T13:14:00Z,29.18,69.10
2026-05-26T13:15:00Z,24.92,74.87
2026-05-26T13:16:00Z,23.17,78.00
2026-05-26T13:18:00Z,23.17,79.50
2026-05-26T13:19:00Z,20.02,80.00
2026-05-26T13:20:00Z,20.02,78.00
2026-05-26T13:21:00Z,22.00,79.98
2026-05-26T13:22:00Z,22.00,81.00
2026-05-26T13:23:00Z,19.40,81.00
2026-05-26T13:24:00Z,21.00,79.00
2026-05-26T13:25:00Z,21.00,80.98
2026-05-26T13:26:00Z,19.00,81.21
2026-05-26T13:27:00Z,17.98,84.00
2026-05-26T13:28:00Z,19.03,80.83
2026-05-26T13:29:00Z,19.00,80.00
2026-05-26T13:30:00Z,18.00,81.96
2026-05-26T13:31:00Z,18.00,81.96
2026-05-26T13:32:00Z,19.00,81.00
2026-05-26T13:34:00Z,19.00,82.00
2026-05-26T13:35:00Z,19.00,82.00
2026-05-26T13:36:00Z,19.00,82.00
2026-05-26T13:37:00Z,20.00,82.00
2026-05-26T13:38:00Z,22.00,81.17
2026-05-26T13:39:00Z,21.34,81.51
2026-05-26T13:40:00Z,27.04,72.51
2026-05-26T13:41:00Z,27.73,72.84
2026-05-26T13:42:00Z,30.91,70.37
2026-05-26T13:43:00Z,33.00,68.00
2026-05-26T13:44:00Z,30.54,69.55
2026-05-26T13:45:00Z,30.54,73.31
2026-05-26T13:46:00Z,22.65,77.40
2026-05-26T13:47:00Z,20.21,80.19
2026-05-26T13:48:00Z,18.00,82.00
2026-05-26T13:49:00Z,18.24,81.78
2026-05-26T13:50:00Z,15.85,85.00
2026-05-26T13:51:00Z,15.18,85.00
2026-05-26T13:53:00Z,14.29,86.00
2026-05-26T13:55:00Z,15.00,86.00
2026-05-26T13:56:00Z,14.46,86.00
2026-05-26T13:57:00Z,13.07,86.22
2026-05-26T13:58:00Z,14.82,85.14
2026-05-26T13:59:00Z,13.88,86.46
2026-05-26T14:00:00Z,11.52,90.11
2026-05-26T14:01:00Z,7.00,92.69
2026-05-26T14:02:00Z,5.00,94.60
2026-05-26T14:03:00Z,6.00,94.00
2026-05-26T14:04:00Z,6.00,94.00
2026-05-26T14:05:00Z,5.53,95.00
2026-05-26T14:06:00Z,5.18,95.04
2026-05-26T14:07:00Z,5.01,95.00
2026-05-26T14:08:00Z,2.92,96.03
2026-05-26T14:09:00Z,1.22,98.00
2026-05-26T14:10:00Z,2.08,98.03
2026-05-26T14:11:00Z,2.00,98.03
2026-05-26T14:12:00Z,4.00,98.00
2026-05-26T14:13:00Z,4.18,98.00
2026-05-26T14:14:00Z,1.00,99.00
2026-05-26T14:15:00Z,1.12,99.00
2026-05-26T14:18:00Z,1.00,99.00
2026-05-26T14:19:00Z,1.00,99.00
2026-05-26T14:20:00Z,1.00,99.00
