# event_ticker=KXATPCHALLENGERMATCH-26FEB10ZHAUCH
# final_score=6-4 7-6(7)
# score_resolution=6-4 7-6
# match_winner=Zhizhen Zhang
# fav_player=Zhizhen Zhang
# dog_player=Yasutaka Uchiyama
# kalshi_date=2026-02-10
timestamp,Zhizhen Zhang,Yasutaka Uchiyama
2026-02-10T15:45:00Z,60.00,33.39
2026-02-10T15:46:00Z,60.00,33.39
2026-02-10T15:47:00Z,60.86,33.39
2026-02-10T15:59:00Z,67.00,33.39
2026-02-10T17:15:00Z,67.00,33.39
2026-02-10T17:58:00Z,67.50,33.39
2026-02-10T18:20:00Z,67.50,35.00
2026-02-10T18:38:00Z,67.50,36.00
2026-02-10T19:03:00Z,68.00,36.00
2026-02-10T19:46:00Z,64.00,36.00
2026-02-10T19:57:00Z,64.00,36.00
2026-02-10T20:01:00Z,64.00,36.00
2026-02-10T20:03:00Z,66.00,36.00
2026-02-10T20:15:00Z,67.00,36.00
2026-02-10T20:19:00Z,67.43,36.00
2026-02-10T21:13:00Z,68.50,36.00
2026-02-10T21:18:00Z,68.50,34.00
2026-02-10T21:32:00Z,69.00,34.00
2026-02-10T21:41:00Z,69.00,34.00
2026-02-10T21:52:00Z,69.00,32.00
2026-02-10T21:53:00Z,69.00,32.00
2026-02-10T21:59:00Z,69.00,32.00
2026-02-10T22:15:00Z,69.00,32.00
2026-02-10T22:32:00Z,69.00,32.00
2026-02-10T22:53:00Z,69.00,34.00
2026-02-10T23:12:00Z,69.00,34.00
2026-02-10T23:28:00Z,69.00,34.00
2026-02-10T23:29:00Z,69.00,35.00
2026-02-10T23:30:00Z,69.00,35.00
2026-02-10T23:39:00Z,69.00,35.00
2026-02-10T23:58:00Z,69.00,35.00
2026-02-11T00:08:00Z,69.00,35.00
2026-02-11T00:17:00Z,69.00,35.00
2026-02-11T00:20:00Z,69.00,35.00
2026-02-11T00:26:00Z,69.00,35.00
2026-02-11T00:27:00Z,69.00,35.00
2026-02-11T00:28:00Z,69.00,35.00
2026-02-11T00:30:00Z,68.51,35.00
2026-02-11T00:31:00Z,69.00,35.00
2026-02-11T00:37:00Z,69.00,35.00
2026-02-11T00:43:00Z,69.00,35.00
2026-02-11T00:46:00Z,69.00,35.00
2026-02-11T00:53:00Z,69.00,35.00
2026-02-11T00:56:00Z,69.00,35.00
2026-02-11T00:59:00Z,68.75,35.00
2026-02-11T01:07:00Z,68.00,35.00
2026-02-11T01:17:00Z,68.00,35.00
2026-02-11T01:20:00Z,67.00,35.00
2026-02-11T01:21:00Z,67.00,35.00
2026-02-11T01:22:00Z,67.00,35.00
2026-02-11T01:23:00Z,67.00,35.14
2026-02-11T01:24:00Z,67.00,35.14
2026-02-11T01:25:00Z,65.00,35.14
2026-02-11T01:26:00Z,65.00,35.00
2026-02-11T01:27:00Z,65.00,35.96
2026-02-11T01:28:00Z,65.00,38.02
2026-02-11T01:29:00Z,64.00,38.95
2026-02-11T01:30:00Z,64.00,37.98
2026-02-11T01:31:00Z,67.72,34.82
2026-02-11T01:32:00Z,69.46,32.96
2026-02-11T01:33:00Z,70.00,31.82
2026-02-11T01:34:00Z,70.00,28.54
2026-02-11T01:35:00Z,70.00,34.94
2026-02-11T01:36:00Z,70.34,29.52
2026-02-11T01:37:00Z,78.36,19.32
2026-02-11T01:38:00Z,81.00,18.51
2026-02-11T01:39:00Z,81.00,18.96
2026-02-11T01:40:00Z,79.00,20.01
2026-02-11T01:41:00Z,79.00,18.94
2026-02-11T01:42:00Z,83.00,17.19
2026-02-11T01:43:00Z,82.00,17.00
2026-02-11T01:44:00Z,81.00,18.51
2026-02-11T01:45:00Z,81.00,20.27
