# event_ticker=KXATPMATCH-25SEP25DAVUGO
# final_score=6-1 6-3
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-09-25
timestamp,Alejandro Davidovich Fokina,Camilo Ugo Carabelli
2025-09-24T21:47:00Z,73.00,
2025-09-24T21:49:00Z,73.00,23.00
2025-09-24T22:35:00Z,84.00,23.00
2025-09-24T22:36:00Z,84.00,16.00
2025-09-24T22:40:00Z,84.00,16.00
2025-09-24T22:44:00Z,85.00,16.00
2025-09-24T23:29:00Z,85.00,16.00
2025-09-24T23:37:00Z,85.00,16.00
2025-09-25T00:14:00Z,85.00,16.00
2025-09-25T00:57:00Z,85.00,16.00
2025-09-25T01:02:00Z,85.00,16.00
2025-09-25T01:24:00Z,85.00,16.00
2025-09-25T01:45:00Z,85.00,17.00
2025-09-25T02:14:00Z,85.00,17.00
2025-09-25T02:46:00Z,85.00,17.00
2025-09-25T03:12:00Z,85.00,16.00
2025-09-25T03:40:00Z,85.00,17.00
2025-09-25T04:54:00Z,85.00,17.00
2025-09-25T05:03:00Z,85.00,16.00
2025-09-25T05:04:00Z,85.00,17.00
2025-09-25T05:09:00Z,85.00,17.00
2025-09-25T05:19:00Z,85.00,17.00
2025-09-25T05:47:00Z,85.00,17.00
2025-09-25T05:52:00Z,85.00,17.00
2025-09-25T06:13:00Z,85.00,17.00
2025-09-25T06:20:00Z,85.00,17.00
2025-09-25T06:23:00Z,85.00,16.00
2025-09-25T06:27:00Z,85.00,15.00
2025-09-25T06:32:00Z,85.00,16.00
2025-09-25T06:34:00Z,85.00,16.00
2025-09-25T06:55:00Z,85.00,16.00
2025-09-25T09:01:00Z,88.01,16.00
2025-09-25T09:03:00Z,95.00,16.00
2025-09-25T09:08:00Z,95.00,3.30
2025-09-25T09:09:00Z,95.00,3.00
2025-09-25T09:11:00Z,96.00,3.00
2025-09-25T09:12:00Z,96.00,3.00
2025-09-25T09:36:00Z,96.00,5.45
