# event_ticker=KXATPCHALLENGERMATCH-26MAR04CASBRO
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Murphy Cassone
# fav_player=Charles Broom
# dog_player=Murphy Cassone
# kalshi_date=2026-03-04
timestamp,Charles Broom,Murphy Cassone
2026-03-04T13:53:00Z,37.96,
2026-03-04T13:55:00Z,51.00,71.00
2026-03-04T13:56:00Z,50.00,71.00
2026-03-04T13:57:00Z,42.03,70.27
2026-03-04T13:58:00Z,48.00,58.00
2026-03-04T13:59:00Z,54.00,54.69
2026-03-04T14:00:00Z,54.00,57.00
2026-03-04T14:01:00Z,51.00,57.00
2026-03-04T14:02:00Z,51.00,54.04
2026-03-04T14:03:00Z,51.11,52.50
2026-03-04T14:04:00Z,52.00,52.00
2026-03-04T14:05:00Z,45.00,55.00
2026-03-04T14:06:00Z,48.00,55.00
2026-03-04T14:07:00Z,47.87,66.54
2026-03-04T14:08:00Z,40.89,68.00
2026-03-04T14:09:00Z,30.50,66.83
2026-03-04T14:10:00Z,47.10,63.51
2026-03-04T14:11:00Z,47.10,76.00
2026-03-04T14:12:00Z,21.97,76.00
2026-03-04T14:13:00Z,25.45,78.11
2026-03-04T14:14:00Z,29.91,78.14
2026-03-04T14:15:00Z,31.33,71.00
2026-03-04T14:16:00Z,24.61,76.41
2026-03-04T14:17:00Z,21.71,79.84
2026-03-04T14:18:00Z,24.93,79.00
2026-03-04T14:19:00Z,27.87,77.38
2026-03-04T14:20:00Z,37.20,72.23
2026-03-04T14:21:00Z,40.18,64.50
2026-03-04T14:22:00Z,42.18,60.00
2026-03-04T14:23:00Z,43.00,56.59
2026-03-04T14:24:00Z,40.00,61.58
2026-03-04T14:25:00Z,40.11,67.73
2026-03-04T14:26:00Z,38.81,64.24
2026-03-04T14:27:00Z,30.31,70.90
2026-03-04T14:28:00Z,26.63,79.41
2026-03-04T14:29:00Z,24.93,80.32
2026-03-04T14:30:00Z,27.93,78.43
2026-03-04T14:31:00Z,32.73,71.90
2026-03-04T14:32:00Z,33.87,71.69
2026-03-04T14:33:00Z,35.29,70.85
2026-03-04T14:34:00Z,25.14,77.94
2026-03-04T14:35:00Z,25.00,78.00
2026-03-04T14:36:00Z,23.17,77.17
2026-03-04T14:37:00Z,31.19,71.04
2026-03-04T14:38:00Z,32.52,70.97
2026-03-04T14:39:00Z,35.46,70.08
2026-03-04T14:40:00Z,38.44,63.07
2026-03-04T14:41:00Z,37.28,66.98
2026-03-04T14:42:00Z,34.03,72.92
2026-03-04T14:43:00Z,37.97,65.92
2026-03-04T14:44:00Z,27.00,75.72
2026-03-04T14:45:00Z,26.98,75.13
2026-03-04T14:46:00Z,24.09,79.97
2026-03-04T14:47:00Z,22.60,80.25
2026-03-04T14:48:00Z,8.95,88.55
2026-03-04T14:49:00Z,5.72,94.05
2026-03-04T14:50:00Z,3.22,98.17
2026-03-04T14:51:00Z,1.30,98.72
2026-03-04T14:52:00Z,1.30,99.00
