# event_ticker=KXATPCHALLENGERMATCH-26APR06IVASAI
# final_score=7-5 6-2
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Ivan Ivanov
# kalshi_date=2026-04-06
timestamp,Nikolas Sanchez Izquierdo,Ivan Ivanov
2026-04-06T02:42:00Z,56.00,
2026-04-06T03:23:00Z,56.00,
2026-04-06T04:04:00Z,56.00,
2026-04-06T04:06:00Z,57.00,
2026-04-06T04:30:00Z,57.00,
2026-04-06T05:09:00Z,57.00,43.00
2026-04-06T05:10:00Z,57.00,43.00
2026-04-06T05:11:00Z,57.00,43.00
2026-04-06T05:12:00Z,57.00,45.93
2026-04-06T07:09:00Z,55.00,45.93
2026-04-06T07:14:00Z,55.00,47.00
2026-04-06T07:22:00Z,55.00,45.00
2026-04-06T07:30:00Z,55.00,45.00
2026-04-06T07:56:00Z,55.00,45.00
2026-04-06T08:29:00Z,55.72,45.00
2026-04-06T09:04:00Z,55.00,45.00
2026-04-06T09:17:00Z,55.00,45.00
2026-04-06T10:05:00Z,53.00,45.00
2026-04-06T11:03:00Z,56.97,45.00
2026-04-06T11:24:00Z,57.00,45.00
2026-04-06T12:02:00Z,53.31,45.00
2026-04-06T12:15:00Z,53.31,47.00
2026-04-06T12:27:00Z,56.85,47.00
2026-04-06T12:52:00Z,56.85,47.00
2026-04-06T13:09:00Z,56.00,46.00
2026-04-06T13:18:00Z,56.00,46.00
2026-04-06T13:23:00Z,56.00,47.00
2026-04-06T13:28:00Z,56.00,47.00
2026-04-06T13:34:00Z,56.93,45.00
2026-04-06T13:35:00Z,56.93,47.00
2026-04-06T13:42:00Z,56.00,46.00
2026-04-06T13:43:00Z,65.00,46.00
2026-04-06T13:44:00Z,65.00,41.17
2026-04-06T13:45:00Z,62.00,44.00
2026-04-06T13:47:00Z,55.49,44.00
2026-04-06T13:48:00Z,55.49,49.00
2026-04-06T13:49:00Z,55.00,46.50
2026-04-06T13:50:00Z,59.08,43.00
2026-04-06T13:51:00Z,60.00,43.00
2026-04-06T13:52:00Z,60.37,39.50
2026-04-06T13:53:00Z,61.79,42.00
2026-04-06T13:56:00Z,54.88,47.00
2026-04-06T13:57:00Z,55.00,45.50
2026-04-06T13:58:00Z,54.00,45.50
2026-04-06T13:59:00Z,49.44,52.73
2026-04-06T14:00:00Z,47.80,53.48
2026-04-06T14:01:00Z,42.00,58.00
2026-04-06T14:02:00Z,43.00,58.90
2026-04-06T14:03:00Z,50.45,58.90
2026-04-06T14:04:00Z,50.45,47.00
2026-04-06T14:05:00Z,51.86,47.00
2026-04-06T14:06:00Z,49.21,47.00
2026-04-06T14:07:00Z,48.49,55.00
2026-04-06T14:08:00Z,43.00,58.00
2026-04-06T14:09:00Z,41.23,63.00
2026-04-06T14:10:00Z,33.03,65.98
2026-04-06T14:11:00Z,30.90,70.66
2026-04-06T14:12:00Z,30.00,70.00
2026-04-06T14:13:00Z,30.44,72.80
2026-04-06T14:14:00Z,30.00,72.00
2026-04-06T14:15:00Z,33.00,72.00
2026-04-06T14:16:00Z,34.00,68.00
2026-04-06T14:17:00Z,40.44,58.11
2026-04-06T14:18:00Z,47.83,58.11
2026-04-06T14:19:00Z,52.08,51.67
2026-04-06T14:20:00Z,51.00,50.49
2026-04-06T14:21:00Z,51.00,50.49
2026-04-06T14:22:00Z,51.11,52.98
2026-04-06T14:23:00Z,43.11,57.76
2026-04-06T14:24:00Z,45.00,52.95
2026-04-06T14:25:00Z,51.80,52.95
2026-04-06T14:26:00Z,56.50,43.10
2026-04-06T14:27:00Z,59.88,38.09
2026-04-06T14:28:00Z,63.55,40.39
2026-04-06T14:29:00Z,71.25,29.21
2026-04-06T14:30:00Z,76.00,26.00
2026-04-06T14:31:00Z,71.18,29.14
2026-04-06T14:32:00Z,76.00,26.97
2026-04-06T14:33:00Z,81.59,21.85
2026-04-06T14:34:00Z,83.00,18.99
2026-04-06T14:35:00Z,81.06,19.00
2026-04-06T14:36:00Z,81.88,19.00
2026-04-06T14:37:00Z,83.00,19.00
2026-04-06T14:38:00Z,83.00,19.00
2026-04-06T14:39:00Z,81.29,19.02
2026-04-06T14:40:00Z,79.60,22.67
2026-04-06T14:41:00Z,76.67,23.25
2026-04-06T14:42:00Z,75.96,25.10
2026-04-06T14:43:00Z,80.00,22.24
2026-04-06T14:44:00Z,81.01,20.14
2026-04-06T14:45:00Z,83.30,16.28
2026-04-06T14:46:00Z,85.76,13.43
2026-04-06T14:47:00Z,79.68,17.72
2026-04-06T14:48:00Z,77.00,22.74
2026-04-06T14:49:00Z,80.48,21.98
2026-04-06T14:50:00Z,79.40,22.84
2026-04-06T14:51:00Z,79.40,18.04
2026-04-06T14:52:00Z,79.40,18.05
2026-04-06T14:53:00Z,80.05,22.73
2026-04-06T14:54:00Z,86.52,11.22
2026-04-06T14:55:00Z,92.00,7.33
2026-04-06T14:56:00Z,93.00,8.00
2026-04-06T14:57:00Z,95.01,5.39
2026-04-06T14:58:00Z,96.00,4.66
2026-04-06T14:59:00Z,96.00,5.06
2026-04-06T15:00:00Z,97.93,4.23
2026-04-06T15:01:00Z,98.95,1.02
2026-04-06T15:02:00Z,99.00,1.00
2026-04-06T15:03:00Z,99.00,1.00
2026-04-06T15:04:00Z,99.00,1.02
2026-04-06T15:05:00Z,97.33,1.13
2026-04-06T15:06:00Z,97.33,1.94
2026-04-06T15:07:00Z,99.00,1.94
2026-04-06T15:08:00Z,99.00,1.94
2026-04-06T15:09:00Z,99.00,1.94
2026-04-06T15:11:00Z,99.00,1.00
