# event_ticker=KXATPMATCH-26JAN03VUKTIA
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Frances Tiafoe
# fav_player=Aleksandar Vukic
# dog_player=Frances Tiafoe
# kalshi_date=2026-01-03
timestamp,Aleksandar Vukic,Frances Tiafoe
2026-01-03T20:52:00Z,,61.00
2026-01-03T21:18:00Z,40.00,61.00
2026-01-03T21:41:00Z,40.00,61.00
2026-01-03T22:19:00Z,40.00,61.00
2026-01-03T22:28:00Z,39.00,61.00
2026-01-03T23:40:00Z,39.00,61.00
2026-01-04T00:20:00Z,39.00,61.00
2026-01-04T01:25:00Z,39.00,61.00
2026-01-04T01:34:00Z,39.00,61.00
2026-01-04T01:59:00Z,39.00,61.00
2026-01-04T02:10:00Z,39.00,61.00
2026-01-04T02:35:00Z,39.00,60.00
2026-01-04T02:42:00Z,39.00,61.26
2026-01-04T03:21:00Z,39.00,65.00
2026-01-04T03:57:00Z,39.00,65.00
2026-01-04T04:35:00Z,39.00,65.00
2026-01-04T04:53:00Z,39.00,65.00
2026-01-04T05:09:00Z,39.00,65.00
2026-01-04T05:10:00Z,39.00,65.00
2026-01-04T05:13:00Z,39.00,65.00
2026-01-04T05:19:00Z,39.00,65.00
2026-01-04T05:25:00Z,37.00,65.00
2026-01-04T05:32:00Z,37.00,65.00
2026-01-04T05:46:00Z,37.00,65.00
2026-01-04T05:56:00Z,37.00,65.00
2026-01-04T05:57:00Z,37.00,65.00
2026-01-04T05:59:00Z,37.00,65.00
2026-01-04T06:01:00Z,37.00,65.32
2026-01-04T06:05:00Z,37.00,66.00
2026-01-04T06:11:00Z,37.00,66.00
2026-01-04T06:16:00Z,37.00,66.27
2026-01-04T06:23:00Z,36.00,66.27
2026-01-04T06:28:00Z,36.00,67.00
2026-01-04T06:30:00Z,36.00,67.00
2026-01-04T06:35:00Z,36.00,67.00
2026-01-04T06:38:00Z,36.00,67.00
2026-01-04T06:42:00Z,33.00,67.00
2026-01-04T07:00:00Z,33.00,67.73
2026-01-04T07:11:00Z,34.68,67.73
2026-01-04T07:14:00Z,38.00,67.73
2026-01-04T07:15:00Z,33.00,64.00
2026-01-04T07:16:00Z,33.00,67.72
2026-01-04T07:17:00Z,33.00,68.76
2026-01-04T07:18:00Z,24.00,75.70
2026-01-04T07:19:00Z,23.67,75.00
2026-01-04T07:20:00Z,23.67,76.98
2026-01-04T07:22:00Z,23.67,80.57
2026-01-04T07:23:00Z,23.67,83.25
2026-01-04T07:25:00Z,23.67,86.00
2026-01-04T07:26:00Z,23.67,85.00
2026-01-04T07:38:00Z,23.67,88.00
2026-01-04T07:39:00Z,23.67,90.00
2026-01-04T07:42:00Z,10.00,90.00
2026-01-04T07:46:00Z,12.00,90.00
2026-01-04T07:47:00Z,12.00,88.00
2026-01-04T07:51:00Z,6.78,95.28
2026-01-04T07:53:00Z,2.00,97.00
2026-01-04T07:54:00Z,2.00,97.00
2026-01-04T07:55:00Z,2.00,97.00
2026-01-04T07:57:00Z,2.00,96.00
2026-01-04T07:58:00Z,2.00,96.00
2026-01-04T07:59:00Z,2.00,96.00
2026-01-04T08:01:00Z,2.00,97.89
2026-01-04T08:02:00Z,2.00,98.00
2026-01-04T08:04:00Z,2.00,99.00
2026-01-04T08:11:00Z,2.00,99.00
2026-01-04T08:19:00Z,2.00,99.00
