# event_ticker=KXATPMATCH-25JUL29SAFRUU
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Casper Ruud
# fav_player=Roman Safiullin
# dog_player=Casper Ruud
# kalshi_date=2025-07-29
timestamp,Roman Safiullin,Casper Ruud
2025-07-29T12:34:00Z,,69.00
2025-07-29T14:24:00Z,,69.00
2025-07-29T14:27:00Z,36.00,69.00
2025-07-29T14:30:00Z,36.00,69.00
2025-07-29T15:09:00Z,36.00,67.00
2025-07-29T15:45:00Z,36.00,67.00
2025-07-29T17:45:00Z,36.00,66.00
2025-07-29T17:46:00Z,36.00,66.00
2025-07-29T17:49:00Z,36.00,66.00
2025-07-29T18:04:00Z,36.00,67.00
2025-07-29T18:54:00Z,35.00,67.00
2025-07-29T19:09:00Z,35.00,67.00
2025-07-29T19:15:00Z,35.00,67.00
2025-07-29T19:21:00Z,35.00,67.00
2025-07-29T19:22:00Z,35.00,67.00
2025-07-29T19:34:00Z,35.00,67.00
2025-07-29T19:40:00Z,35.00,67.00
2025-07-29T19:42:00Z,35.00,67.00
2025-07-29T19:47:00Z,35.00,67.00
2025-07-29T19:50:00Z,35.00,67.00
2025-07-29T20:00:00Z,35.00,67.00
2025-07-29T20:04:00Z,35.00,67.00
2025-07-29T20:12:00Z,35.00,67.00
2025-07-29T20:25:00Z,35.00,67.00
2025-07-29T20:29:00Z,35.00,67.00
2025-07-29T20:35:00Z,35.00,67.00
2025-07-29T20:36:00Z,35.00,67.00
2025-07-29T20:39:00Z,35.00,67.00
2025-07-29T20:46:00Z,35.00,67.00
2025-07-29T20:51:00Z,35.00,67.00
2025-07-29T21:02:00Z,34.00,67.00
2025-07-29T21:03:00Z,34.00,68.00
2025-07-29T21:04:00Z,35.00,68.00
2025-07-29T21:07:00Z,35.00,67.00
2025-07-29T21:08:00Z,35.00,67.00
2025-07-29T21:09:00Z,35.00,72.23
2025-07-29T21:10:00Z,35.00,68.00
2025-07-29T21:11:00Z,32.00,68.00
2025-07-29T21:12:00Z,39.97,64.92
2025-07-29T21:13:00Z,46.98,64.92
2025-07-29T21:14:00Z,45.55,64.02
2025-07-29T21:15:00Z,42.23,64.04
2025-07-29T21:16:00Z,39.95,64.00
2025-07-29T21:17:00Z,37.26,64.00
2025-07-29T21:18:00Z,40.84,64.00
2025-07-29T21:19:00Z,40.84,62.22
2025-07-29T21:20:00Z,40.00,62.00
2025-07-29T21:21:00Z,40.82,61.80
2025-07-29T21:23:00Z,40.82,67.00
2025-07-29T21:24:00Z,35.00,67.18
2025-07-29T21:25:00Z,30.15,68.60
2025-07-29T21:26:00Z,26.01,74.14
2025-07-29T21:27:00Z,26.01,80.00
2025-07-29T21:28:00Z,18.00,84.00
2025-07-29T21:29:00Z,18.26,85.00
2025-07-29T21:30:00Z,20.00,84.94
2025-07-29T21:31:00Z,18.00,84.94
2025-07-29T21:33:00Z,12.00,87.00
2025-07-29T21:34:00Z,13.00,86.00
2025-07-29T21:35:00Z,8.00,89.92
2025-07-29T21:36:00Z,8.00,92.00
2025-07-29T21:37:00Z,9.00,92.00
2025-07-29T21:38:00Z,10.00,95.71
2025-07-29T21:39:00Z,10.00,91.79
2025-07-29T21:40:00Z,14.00,88.36
2025-07-29T21:41:00Z,15.56,86.96
2025-07-29T21:42:00Z,16.00,86.96
2025-07-29T21:43:00Z,12.13,87.00
2025-07-29T21:44:00Z,12.13,88.00
2025-07-29T21:45:00Z,11.00,89.98
2025-07-29T21:46:00Z,11.00,88.03
2025-07-29T21:47:00Z,9.39,88.03
2025-07-29T21:48:00Z,9.39,89.00
2025-07-29T21:49:00Z,9.39,90.01
2025-07-29T21:50:00Z,14.00,90.01
2025-07-29T21:51:00Z,14.00,87.25
2025-07-29T21:52:00Z,10.00,90.97
2025-07-29T21:53:00Z,10.00,89.81
2025-07-29T21:54:00Z,12.00,88.05
2025-07-29T21:55:00Z,11.03,88.00
2025-07-29T21:56:00Z,13.03,86.00
2025-07-29T21:57:00Z,16.00,83.55
2025-07-29T21:58:00Z,19.00,84.00
2025-07-29T21:59:00Z,12.92,91.00
2025-07-29T22:00:00Z,12.00,91.00
2025-07-29T22:01:00Z,9.00,91.36
2025-07-29T22:02:00Z,12.00,91.36
2025-07-29T22:03:00Z,13.00,89.94
2025-07-29T22:04:00Z,12.00,89.92
2025-07-29T22:05:00Z,9.00,90.00
2025-07-29T22:06:00Z,11.00,89.26
2025-07-29T22:07:00Z,16.00,87.00
2025-07-29T22:08:00Z,16.00,85.18
2025-07-29T22:09:00Z,20.08,80.11
2025-07-29T22:10:00Z,25.00,82.99
2025-07-29T22:11:00Z,16.00,84.00
2025-07-29T22:14:00Z,16.00,87.00
2025-07-29T22:15:00Z,19.00,87.84
2025-07-29T22:16:00Z,9.91,89.00
2025-07-29T22:17:00Z,16.00,89.00
2025-07-29T22:18:00Z,11.40,89.00
2025-07-29T22:19:00Z,11.40,89.74
2025-07-29T22:20:00Z,11.00,88.70
2025-07-29T22:21:00Z,11.00,88.60
2025-07-29T22:22:00Z,10.00,89.00
2025-07-29T22:24:00Z,10.00,90.44
2025-07-29T22:25:00Z,9.22,89.80
2025-07-29T22:26:00Z,1.50,96.94
2025-07-29T22:27:00Z,1.87,98.92
2025-07-29T22:28:00Z,1.71,99.00
2025-07-29T22:29:00Z,2.25,96.40
2025-07-29T22:30:00Z,3.87,99.00
2025-07-29T22:31:00Z,3.00,98.89
2025-07-29T22:32:00Z,3.61,98.11
2025-07-29T22:33:00Z,3.61,99.00
2025-07-29T22:35:00Z,3.61,99.00
