# event_ticker=KXATPCHALLENGERMATCH-26MAY08DEVCAS
# final_score=6-2 6-0
# match_winner=Hernan Casanova
# fav_player=Hernan Casanova
# dog_player=Murkel Dellien
# kalshi_date=2026-05-08
timestamp,Murkel Dellien,Hernan Casanova
2026-05-08T07:01:00Z,41.00,
2026-05-08T08:08:00Z,42.29,
2026-05-08T08:15:00Z,42.29,57.00
2026-05-08T08:19:00Z,43.00,57.00
2026-05-08T08:20:00Z,43.00,57.00
2026-05-08T08:21:00Z,43.00,57.00
2026-05-08T08:22:00Z,43.90,57.00
2026-05-08T08:33:00Z,43.00,56.00
2026-05-08T08:34:00Z,43.00,55.57
2026-05-08T10:05:00Z,50.00,55.57
2026-05-08T10:51:00Z,50.00,51.00
2026-05-08T12:29:00Z,50.00,51.00
2026-05-08T13:07:00Z,49.00,51.00
2026-05-08T13:50:00Z,49.00,52.00
2026-05-08T14:23:00Z,49.00,52.00
2026-05-08T15:02:00Z,49.00,52.00
2026-05-08T15:25:00Z,48.00,52.00
2026-05-08T16:01:00Z,48.00,53.00
2026-05-08T16:10:00Z,48.00,53.00
2026-05-08T16:11:00Z,48.00,53.84
2026-05-08T16:15:00Z,47.00,53.84
2026-05-08T16:16:00Z,47.00,54.00
2026-05-08T16:18:00Z,47.00,54.00
2026-05-08T16:39:00Z,47.00,53.00
2026-05-08T16:44:00Z,47.00,54.00
2026-05-08T16:45:00Z,47.00,54.00
2026-05-08T17:00:00Z,47.00,54.00
2026-05-08T17:14:00Z,47.00,54.00
2026-05-08T17:31:00Z,47.00,53.00
2026-05-08T17:35:00Z,47.00,54.00
2026-05-08T17:45:00Z,47.00,54.00
2026-05-08T17:51:00Z,47.00,54.00
2026-05-08T17:52:00Z,47.00,54.00
2026-05-08T17:58:00Z,47.00,54.00
2026-05-08T17:59:00Z,47.00,54.00
2026-05-08T18:03:00Z,48.00,54.00
2026-05-08T18:04:00Z,48.00,54.00
2026-05-08T18:05:00Z,48.00,54.36
2026-05-08T18:06:00Z,48.00,54.69
2026-05-08T18:07:00Z,48.00,55.00
2026-05-08T18:09:00Z,48.00,55.06
2026-05-08T18:10:00Z,51.65,51.51
2026-05-08T18:11:00Z,52.04,48.18
2026-05-08T18:12:00Z,48.89,54.54
2026-05-08T18:13:00Z,45.01,55.00
2026-05-08T18:14:00Z,44.00,57.93
2026-05-08T18:15:00Z,44.89,56.78
2026-05-08T18:16:00Z,44.22,63.00
2026-05-08T18:17:00Z,33.03,66.04
2026-05-08T18:18:00Z,35.37,69.20
2026-05-08T18:19:00Z,34.54,69.33
2026-05-08T18:20:00Z,34.88,66.03
2026-05-08T18:21:00Z,31.18,69.66
2026-05-08T18:22:00Z,28.69,72.00
2026-05-08T18:23:00Z,28.35,72.00
2026-05-08T18:24:00Z,28.27,71.00
2026-05-08T18:25:00Z,25.01,73.01
2026-05-08T18:26:00Z,26.02,74.92
2026-05-08T18:27:00Z,29.92,74.92
2026-05-08T18:28:00Z,30.79,72.00
2026-05-08T18:29:00Z,28.38,70.44
2026-05-08T18:30:00Z,30.55,70.14
2026-05-08T18:31:00Z,27.00,72.01
2026-05-08T18:32:00Z,26.19,73.92
2026-05-08T18:33:00Z,26.00,74.62
2026-05-08T18:34:00Z,25.00,75.00
2026-05-08T18:35:00Z,28.00,73.68
2026-05-08T18:36:00Z,28.00,72.00
2026-05-08T18:37:00Z,26.00,75.00
2026-05-08T18:38:00Z,29.48,73.37
2026-05-08T18:39:00Z,25.40,75.00
2026-05-08T18:40:00Z,24.78,76.00
2026-05-08T18:41:00Z,23.07,77.00
2026-05-08T18:42:00Z,21.95,79.22
2026-05-08T18:43:00Z,20.25,80.00
2026-05-08T18:44:00Z,20.00,81.00
2026-05-08T18:45:00Z,19.95,81.00
2026-05-08T18:46:00Z,19.00,81.83
2026-05-08T18:47:00Z,17.34,83.34
2026-05-08T18:48:00Z,15.00,85.04
2026-05-08T18:49:00Z,16.00,84.00
2026-05-08T18:50:00Z,15.85,84.97
2026-05-08T18:51:00Z,13.41,86.54
2026-05-08T18:52:00Z,14.93,86.46
2026-05-08T18:53:00Z,10.00,90.72
2026-05-08T18:54:00Z,11.58,87.82
2026-05-08T18:55:00Z,15.70,84.87
2026-05-08T18:56:00Z,15.62,86.21
2026-05-08T18:57:00Z,14.58,90.11
2026-05-08T18:58:00Z,7.21,91.98
2026-05-08T18:59:00Z,8.01,92.37
2026-05-08T19:00:00Z,10.75,90.32
2026-05-08T19:01:00Z,8.70,91.02
2026-05-08T19:02:00Z,6.09,94.72
2026-05-08T19:03:00Z,4.49,95.03
2026-05-08T19:04:00Z,4.16,95.74
2026-05-08T19:05:00Z,5.00,95.03
2026-05-08T19:06:00Z,4.44,96.86
2026-05-08T19:07:00Z,4.56,96.77
2026-05-08T19:08:00Z,3.00,97.88
2026-05-08T19:09:00Z,3.91,97.45
2026-05-08T19:10:00Z,1.96,97.39
2026-05-08T19:11:00Z,1.13,98.98
2026-05-08T19:12:00Z,1.00,99.00
2026-05-08T19:13:00Z,1.00,99.00
2026-05-08T19:14:00Z,1.00,99.00
2026-05-08T19:17:00Z,1.00,99.00
2026-05-08T19:18:00Z,1.00,99.00
2026-05-08T19:20:00Z,1.00,99.00
2026-05-08T19:21:00Z,1.00,99.00
2026-05-08T19:23:00Z,1.00,99.00
