# event_ticker=KXATPCHALLENGERMATCH-26MAR11TRAHAL
# final_score=4-6 7-6(3) 7-6(5)
# score_resolution=4-6 7-6 7-6
# match_winner=Quentin Halys
# fav_player=Quentin Halys
# dog_player=Stefano Travaglia
# kalshi_date=2026-03-11
timestamp,Quentin Halys,Stefano Travaglia
2026-03-11T12:40:00Z,72.00,
2026-03-11T12:48:00Z,71.00,
2026-03-11T12:59:00Z,70.00,
2026-03-11T13:01:00Z,71.00,
2026-03-11T13:06:00Z,70.00,
2026-03-11T13:07:00Z,70.00,
2026-03-11T13:09:00Z,70.00,
2026-03-11T13:11:00Z,70.00,
2026-03-11T13:13:00Z,70.00,
2026-03-11T13:15:00Z,70.00,
2026-03-11T13:20:00Z,70.00,
2026-03-11T13:24:00Z,71.00,
2026-03-11T13:25:00Z,70.00,
2026-03-11T13:34:00Z,70.00,32.00
2026-03-11T14:15:00Z,70.00,32.00
2026-03-11T15:15:00Z,69.00,32.00
2026-03-11T15:17:00Z,69.00,31.00
2026-03-11T15:20:00Z,69.00,31.00
2026-03-11T16:37:00Z,70.00,31.00
2026-03-11T16:40:00Z,70.00,31.00
2026-03-11T16:42:00Z,70.00,31.00
2026-03-11T16:48:00Z,70.00,32.00
2026-03-11T16:58:00Z,70.00,32.00
2026-03-11T17:27:00Z,70.00,32.00
2026-03-11T17:28:00Z,69.00,32.00
2026-03-11T17:30:00Z,69.00,32.00
2026-03-11T17:33:00Z,69.00,32.00
2026-03-11T17:43:00Z,69.00,32.00
2026-03-11T17:44:00Z,69.00,32.00
2026-03-11T17:46:00Z,69.00,32.00
2026-03-11T17:52:00Z,69.52,32.00
2026-03-11T17:55:00Z,69.67,32.00
2026-03-11T17:58:00Z,69.67,32.00
2026-03-11T18:07:00Z,69.00,32.00
2026-03-11T18:09:00Z,68.01,32.00
2026-03-11T18:10:00Z,66.90,32.00
2026-03-11T18:11:00Z,64.00,40.00
2026-03-11T18:12:00Z,64.00,42.00
2026-03-11T18:13:00Z,61.00,39.00
2026-03-11T18:14:00Z,69.00,33.00
2026-03-11T18:15:00Z,69.00,32.00
2026-03-11T18:17:00Z,64.00,36.00
2026-03-11T18:18:00Z,70.95,36.00
2026-03-11T18:20:00Z,73.50,36.00
2026-03-11T18:21:00Z,73.50,30.00
2026-03-11T18:25:00Z,71.00,30.00
2026-03-11T18:27:00Z,67.00,30.00
2026-03-11T18:28:00Z,68.00,30.00
2026-03-11T18:29:00Z,68.00,30.00
2026-03-11T18:32:00Z,71.00,31.40
2026-03-11T18:34:00Z,68.00,31.40
2026-03-11T18:35:00Z,66.77,31.40
2026-03-11T18:36:00Z,66.00,31.40
2026-03-11T18:37:00Z,54.07,43.33
2026-03-11T18:38:00Z,48.06,52.99
2026-03-11T18:39:00Z,44.00,56.00
2026-03-11T18:40:00Z,44.00,56.00
2026-03-11T18:41:00Z,36.29,63.52
2026-03-11T18:42:00Z,35.00,64.00
2026-03-11T18:43:00Z,40.00,64.00
2026-03-11T18:44:00Z,40.00,62.00
2026-03-11T18:45:00Z,37.59,62.06
2026-03-11T18:46:00Z,34.95,65.00
2026-03-11T18:47:00Z,35.00,65.00
2026-03-11T18:48:00Z,35.01,66.74
2026-03-11T18:49:00Z,36.00,65.05
2026-03-11T18:50:00Z,37.00,64.00
2026-03-11T18:51:00Z,37.00,64.00
2026-03-11T18:52:00Z,35.68,67.00
2026-03-11T18:53:00Z,36.82,67.00
2026-03-11T18:54:00Z,33.00,68.00
2026-03-11T18:55:00Z,35.25,67.00
2026-03-11T18:56:00Z,31.00,65.63
2026-03-11T18:57:00Z,36.00,65.00
2026-03-11T18:58:00Z,36.00,65.71
2026-03-11T18:59:00Z,39.00,64.27
2026-03-11T19:00:00Z,40.30,64.27
2026-03-11T19:01:00Z,33.10,66.69
2026-03-11T19:02:00Z,29.15,71.89
2026-03-11T19:03:00Z,33.24,68.86
2026-03-11T19:04:00Z,34.00,68.00
2026-03-11T19:05:00Z,35.00,68.00
2026-03-11T19:06:00Z,34.00,68.00
2026-03-11T19:07:00Z,36.07,66.69
2026-03-11T19:08:00Z,48.00,66.69
2026-03-11T19:09:00Z,45.48,55.91
2026-03-11T19:10:00Z,35.03,64.00
2026-03-11T19:12:00Z,37.00,64.00
2026-03-11T19:13:00Z,45.28,58.00
2026-03-11T19:14:00Z,39.32,63.63
