# event_ticker=KXATPCHALLENGERMATCH-26MAR03MARSAK
# final_score=6-7(4) 6-4 6-1
# score_resolution=6-7 6-4 6-1
# match_winner=Igor Marcondes
# fav_player=Igor Marcondes
# dog_player=Pedro Sakamoto
# kalshi_date=2026-03-03
timestamp,Igor Marcondes,Pedro Sakamoto
2026-03-03T03:23:00Z,,26.00
2026-03-03T03:57:00Z,,26.00
2026-03-03T04:36:00Z,,26.00
2026-03-03T05:01:00Z,78.02,26.00
2026-03-03T05:02:00Z,78.00,26.00
2026-03-03T05:18:00Z,78.00,25.00
2026-03-03T05:53:00Z,78.00,25.00
2026-03-03T05:57:00Z,77.00,25.00
2026-03-03T06:04:00Z,77.00,25.00
2026-03-03T06:07:00Z,77.00,25.00
2026-03-03T06:13:00Z,77.00,25.00
2026-03-03T06:21:00Z,77.00,25.00
2026-03-03T06:26:00Z,75.00,25.00
2026-03-03T06:27:00Z,75.00,25.00
2026-03-03T06:29:00Z,75.00,25.00
2026-03-03T06:30:00Z,77.00,25.00
2026-03-03T06:35:00Z,77.00,25.00
2026-03-03T06:50:00Z,77.00,25.00
2026-03-03T06:59:00Z,77.00,25.00
2026-03-03T07:59:00Z,77.47,25.00
2026-03-03T08:15:00Z,78.00,25.00
2026-03-03T09:23:00Z,78.00,25.00
2026-03-03T09:49:00Z,78.00,26.00
2026-03-03T10:06:00Z,76.00,26.00
2026-03-03T11:22:00Z,76.00,26.00
2026-03-03T11:36:00Z,76.00,26.00
2026-03-03T11:51:00Z,76.00,26.00
2026-03-03T12:41:00Z,72.73,26.00
2026-03-03T12:44:00Z,72.67,26.00
2026-03-03T12:51:00Z,72.67,27.00
2026-03-03T12:58:00Z,75.00,27.00
2026-03-03T13:14:00Z,75.00,27.00
2026-03-03T13:20:00Z,75.00,27.00
2026-03-03T13:21:00Z,75.00,27.00
2026-03-03T13:27:00Z,75.17,27.00
2026-03-03T13:31:00Z,76.00,27.00
2026-03-03T13:33:00Z,76.00,27.00
2026-03-03T13:35:00Z,76.00,27.00
2026-03-03T13:37:00Z,75.00,27.00
2026-03-03T13:38:00Z,75.01,27.00
2026-03-03T13:39:00Z,75.01,27.00
2026-03-03T13:40:00Z,76.00,27.00
2026-03-03T13:41:00Z,76.00,27.00
2026-03-03T13:42:00Z,76.00,22.25
2026-03-03T13:43:00Z,76.00,23.76
2026-03-03T13:44:00Z,78.02,22.43
2026-03-03T13:46:00Z,80.81,19.49
2026-03-03T13:47:00Z,86.48,14.56
2026-03-03T13:48:00Z,85.22,15.90
2026-03-03T13:49:00Z,79.00,20.04
2026-03-03T13:50:00Z,80.87,19.10
2026-03-03T13:51:00Z,80.87,21.80
2026-03-03T13:52:00Z,80.98,19.24
2026-03-03T13:53:00Z,80.00,18.00
2026-03-03T13:54:00Z,83.00,18.74
2026-03-03T13:55:00Z,79.00,22.00
2026-03-03T13:56:00Z,78.61,22.26
2026-03-03T13:57:00Z,76.03,20.31
2026-03-03T13:58:00Z,76.03,20.00
2026-03-03T13:59:00Z,81.00,20.00
2026-03-03T14:00:00Z,81.00,22.12
2026-03-03T14:01:00Z,76.08,23.38
2026-03-03T14:02:00Z,75.04,22.24
2026-03-03T14:03:00Z,75.04,23.00
2026-03-03T14:04:00Z,75.04,22.00
2026-03-03T14:05:00Z,81.00,17.93
2026-03-03T14:06:00Z,87.00,12.55
2026-03-03T14:07:00Z,84.96,16.55
2026-03-03T14:08:00Z,77.00,23.00
2026-03-03T14:09:00Z,75.73,26.47
2026-03-03T14:10:00Z,71.70,26.37
2026-03-03T14:11:00Z,76.10,23.72
2026-03-03T14:12:00Z,79.00,22.02
2026-03-03T14:13:00Z,79.00,22.00
2026-03-03T14:14:00Z,83.00,19.07
2026-03-03T14:15:00Z,78.53,22.51
2026-03-03T14:16:00Z,76.00,21.79
2026-03-03T14:17:00Z,76.00,24.60
2026-03-03T14:18:00Z,76.63,25.49
2026-03-03T14:19:00Z,76.26,23.35
2026-03-03T14:20:00Z,80.00,20.00
2026-03-03T14:21:00Z,80.00,20.16
2026-03-03T14:22:00Z,84.27,17.75
2026-03-03T14:23:00Z,81.67,16.93
2026-03-03T14:24:00Z,79.00,23.57
2026-03-03T14:25:00Z,79.00,24.49
2026-03-03T14:26:00Z,80.00,21.00
2026-03-03T14:27:00Z,78.01,21.40
2026-03-03T14:28:00Z,77.00,21.98
2026-03-03T14:29:00Z,76.04,23.02
2026-03-03T14:30:00Z,77.33,22.01
2026-03-03T14:31:00Z,83.17,15.87
2026-03-03T14:32:00Z,83.91,15.49
2026-03-03T14:33:00Z,78.00,22.38
2026-03-03T14:34:00Z,75.13,24.78
2026-03-03T14:35:00Z,74.18,24.52
2026-03-03T14:36:00Z,77.54,21.88
2026-03-03T14:37:00Z,76.93,29.60
2026-03-03T14:38:00Z,67.76,34.21
2026-03-03T14:39:00Z,74.19,27.91
2026-03-03T14:40:00Z,69.36,30.51
