# event_ticker=KXATPMATCH-26APR24DAVCAR
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Alejandro Davidovich Fokina
# fav_player=Pablo Carreno Busta
# dog_player=Alejandro Davidovich Fokina
# kalshi_date=2026-04-24
timestamp,Alejandro Davidovich Fokina,Pablo Carreno Busta
2026-04-24T21:33:00Z,66.00,
2026-04-24T21:35:00Z,66.00,
2026-04-24T21:38:00Z,66.00,
2026-04-24T21:52:00Z,65.00,
2026-04-24T21:55:00Z,65.00,35.00
2026-04-24T22:05:00Z,66.00,35.00
2026-04-24T22:12:00Z,66.00,35.00
2026-04-24T22:18:00Z,66.00,34.00
2026-04-24T22:21:00Z,66.00,34.00
2026-04-24T22:25:00Z,66.00,34.00
2026-04-24T22:34:00Z,66.00,34.00
2026-04-24T22:40:00Z,66.00,34.00
2026-04-24T22:56:00Z,66.00,35.78
2026-04-24T23:51:00Z,66.00,35.78
2026-04-24T23:52:00Z,66.00,36.00
2026-04-24T23:56:00Z,66.00,36.00
2026-04-24T23:58:00Z,66.00,36.00
2026-04-25T00:01:00Z,66.00,36.00
2026-04-25T00:09:00Z,66.00,36.00
2026-04-25T00:53:00Z,66.32,36.00
2026-04-25T01:05:00Z,67.00,36.00
2026-04-25T01:26:00Z,67.00,36.00
2026-04-25T01:39:00Z,67.00,36.00
2026-04-25T01:41:00Z,67.00,36.00
2026-04-25T01:44:00Z,67.00,36.00
2026-04-25T02:01:00Z,67.00,36.00
2026-04-25T02:18:00Z,66.00,36.00
2026-04-25T02:24:00Z,66.00,36.00
2026-04-25T02:26:00Z,66.00,36.00
2026-04-25T02:30:00Z,66.00,35.00
2026-04-25T02:33:00Z,66.00,35.00
2026-04-25T02:53:00Z,66.00,35.00
2026-04-25T02:56:00Z,66.00,35.00
2026-04-25T02:58:00Z,66.00,35.00
2026-04-25T03:12:00Z,66.00,35.00
2026-04-25T03:14:00Z,66.00,35.00
2026-04-25T03:15:00Z,66.00,35.00
2026-04-25T03:17:00Z,66.00,35.00
2026-04-25T03:21:00Z,66.00,35.00
2026-04-25T03:23:00Z,66.00,35.00
2026-04-25T03:24:00Z,66.00,35.00
2026-04-25T03:25:00Z,65.00,35.00
2026-04-25T03:35:00Z,65.00,35.00
2026-04-25T03:45:00Z,65.00,35.00
2026-04-25T03:47:00Z,66.00,35.00
2026-04-25T03:56:00Z,66.00,35.00
2026-04-25T03:58:00Z,66.00,35.00
2026-04-25T03:59:00Z,66.00,35.00
2026-04-25T04:06:00Z,66.00,35.00
2026-04-25T04:14:00Z,65.40,35.00
2026-04-25T04:15:00Z,65.40,35.00
2026-04-25T04:16:00Z,66.00,35.00
2026-04-25T04:17:00Z,66.00,35.00
2026-04-25T04:20:00Z,66.00,35.00
2026-04-25T04:22:00Z,66.00,35.00
2026-04-25T04:26:00Z,66.00,35.00
2026-04-25T04:33:00Z,66.00,35.00
2026-04-25T04:37:00Z,66.00,35.00
2026-04-25T04:39:00Z,66.00,35.00
2026-04-25T04:41:00Z,66.00,35.00
2026-04-25T04:42:00Z,66.00,35.00
2026-04-25T04:45:00Z,66.00,35.00
2026-04-25T04:49:00Z,66.00,35.00
2026-04-25T04:51:00Z,66.00,35.00
2026-04-25T04:52:00Z,66.00,35.00
2026-04-25T04:53:00Z,66.00,35.00
2026-04-25T04:56:00Z,66.00,35.00
2026-04-25T04:59:00Z,66.00,35.00
2026-04-25T05:05:00Z,66.00,35.00
2026-04-25T05:06:00Z,66.00,35.00
2026-04-25T05:07:00Z,66.00,35.00
2026-04-25T05:10:00Z,66.00,35.00
2026-04-25T05:11:00Z,66.00,35.00
2026-04-25T05:15:00Z,66.00,35.00
2026-04-25T05:16:00Z,66.00,35.00
2026-04-25T05:17:00Z,66.00,35.00
2026-04-25T05:19:00Z,66.00,35.00
2026-04-25T05:21:00Z,66.00,36.59
2026-04-25T05:22:00Z,66.00,38.00
2026-04-25T05:23:00Z,66.00,37.00
2026-04-25T05:24:00Z,66.00,37.00
2026-04-25T05:25:00Z,66.00,36.82
2026-04-25T05:26:00Z,66.00,36.82
2026-04-25T05:27:00Z,66.00,36.82
2026-04-25T05:28:00Z,66.00,36.82
2026-04-25T05:30:00Z,66.00,37.00
2026-04-25T05:31:00Z,66.00,37.00
2026-04-25T05:33:00Z,66.00,37.00
2026-04-25T05:34:00Z,66.00,37.00
2026-04-25T05:35:00Z,65.00,37.00
2026-04-25T05:36:00Z,63.05,37.00
2026-04-25T05:38:00Z,64.00,37.00
2026-04-25T05:39:00Z,63.72,37.00
2026-04-25T05:40:00Z,63.72,37.00
2026-04-25T05:41:00Z,64.00,37.00
2026-04-25T05:42:00Z,64.00,37.00
2026-04-25T05:43:00Z,64.00,37.99
2026-04-25T05:44:00Z,64.00,37.99
2026-04-25T05:45:00Z,64.00,37.99
2026-04-25T05:47:00Z,64.00,37.00
2026-04-25T05:49:00Z,64.00,37.00
2026-04-25T05:50:00Z,64.00,37.00
2026-04-25T05:51:00Z,64.00,37.00
2026-04-25T05:52:00Z,64.00,37.00
2026-04-25T05:54:00Z,64.00,37.00
2026-04-25T05:55:00Z,64.16,37.00
2026-04-25T05:56:00Z,65.00,37.00
2026-04-25T05:57:00Z,65.00,37.00
2026-04-25T05:58:00Z,65.00,37.00
2026-04-25T06:00:00Z,65.00,38.00
2026-04-25T06:01:00Z,65.00,38.00
