# event_ticker=KXATPCHALLENGERMATCH-26APR02KOLCAL
# final_score=5-7 7-6(5) 6-1
# score_resolution=5-7 7-6 6-1
# match_winner=Sergio Callejon Hernando
# fav_player=Sergio Callejon Hernando
# dog_player=Zdenek Kolar
# kalshi_date=2026-04-02
timestamp,Sergio Callejon Hernando,Zdenek Kolar
2026-04-01T21:59:00Z,,74.00
2026-04-01T23:18:00Z,,77.00
2026-04-01T23:19:00Z,,74.00
2026-04-02T03:01:00Z,26.00,74.00
2026-04-02T03:09:00Z,26.00,76.00
2026-04-02T04:03:00Z,24.00,76.00
2026-04-02T04:34:00Z,26.00,76.00
2026-04-02T04:53:00Z,26.00,76.00
2026-04-02T05:06:00Z,26.00,76.00
2026-04-02T05:26:00Z,24.00,76.00
2026-04-02T05:30:00Z,24.00,76.00
2026-04-02T05:42:00Z,26.71,76.00
2026-04-02T06:19:00Z,26.00,76.00
2026-04-02T06:49:00Z,26.00,75.00
2026-04-02T09:10:00Z,26.00,76.00
2026-04-02T09:11:00Z,26.00,76.80
2026-04-02T09:16:00Z,26.94,76.80
2026-04-02T09:23:00Z,26.00,76.80
2026-04-02T09:29:00Z,26.99,76.80
2026-04-02T09:34:00Z,26.99,77.00
2026-04-02T09:37:00Z,24.00,77.00
2026-04-02T09:42:00Z,26.00,77.00
2026-04-02T09:43:00Z,26.00,77.00
2026-04-02T09:44:00Z,26.00,74.09
2026-04-02T09:45:00Z,26.00,76.00
2026-04-02T09:46:00Z,26.00,76.00
2026-04-02T09:47:00Z,25.64,76.00
2026-04-02T09:48:00Z,30.74,71.91
2026-04-02T09:49:00Z,31.88,69.12
2026-04-02T09:50:00Z,42.39,66.97
2026-04-02T09:51:00Z,45.64,55.00
2026-04-02T09:52:00Z,45.20,55.00
2026-04-02T09:53:00Z,45.26,64.44
2026-04-02T09:54:00Z,36.01,62.00
2026-04-02T09:55:00Z,35.00,67.15
2026-04-02T09:56:00Z,35.00,67.03
2026-04-02T09:57:00Z,23.94,80.22
2026-04-02T09:58:00Z,30.00,72.00
2026-04-02T09:59:00Z,28.24,69.00
2026-04-02T10:00:00Z,29.57,74.00
2026-04-02T10:01:00Z,31.00,71.00
2026-04-02T10:02:00Z,33.23,68.59
2026-04-02T10:03:00Z,35.00,67.00
2026-04-02T10:04:00Z,30.00,67.07
2026-04-02T10:05:00Z,34.44,70.04
2026-04-02T10:06:00Z,38.49,63.70
2026-04-02T10:07:00Z,33.01,68.08
2026-04-02T10:08:00Z,28.06,73.00
2026-04-02T10:09:00Z,17.31,73.00
2026-04-02T10:10:00Z,20.88,81.33
2026-04-02T10:11:00Z,16.67,82.00
2026-04-02T10:12:00Z,20.82,84.00
2026-04-02T10:13:00Z,14.92,84.15
2026-04-02T10:14:00Z,16.20,84.64
2026-04-02T10:15:00Z,14.00,87.00
2026-04-02T10:16:00Z,12.15,86.09
2026-04-02T10:17:00Z,12.15,84.02
2026-04-02T10:18:00Z,16.91,84.02
2026-04-02T10:19:00Z,20.92,84.02
2026-04-02T10:20:00Z,26.70,74.66
2026-04-02T10:21:00Z,32.30,71.59
2026-04-02T10:22:00Z,38.75,64.33
2026-04-02T10:23:00Z,36.47,64.15
2026-04-02T10:24:00Z,21.48,80.55
2026-04-02T10:25:00Z,18.70,82.42
2026-04-02T10:26:00Z,19.82,89.31
2026-04-02T10:27:00Z,13.69,87.00
2026-04-02T10:28:00Z,11.37,90.76
2026-04-02T10:29:00Z,12.00,90.00
2026-04-02T10:30:00Z,11.98,90.00
2026-04-02T10:31:00Z,12.00,90.00
2026-04-02T10:32:00Z,12.00,88.68
2026-04-02T10:33:00Z,11.98,89.98
2026-04-02T10:34:00Z,11.20,90.00
2026-04-02T10:35:00Z,8.94,92.97
2026-04-02T10:36:00Z,5.96,94.39
2026-04-02T10:37:00Z,5.38,94.89
2026-04-02T10:38:00Z,7.22,93.67
2026-04-02T10:39:00Z,7.43,92.02
2026-04-02T10:40:00Z,8.54,93.92
2026-04-02T10:41:00Z,10.27,93.26
2026-04-02T10:42:00Z,12.89,88.75
2026-04-02T10:43:00Z,16.97,85.80
2026-04-02T10:44:00Z,17.64,80.85
2026-04-02T10:45:00Z,20.85,81.57
2026-04-02T10:46:00Z,21.63,80.42
2026-04-02T10:47:00Z,15.78,84.83
2026-04-02T10:48:00Z,14.10,87.00
2026-04-02T10:49:00Z,12.05,86.86
2026-04-02T10:50:00Z,10.82,87.71
2026-04-02T10:51:00Z,12.96,88.72
2026-04-02T10:52:00Z,10.90,90.90
2026-04-02T10:53:00Z,8.23,92.85
2026-04-02T10:54:00Z,6.86,94.00
2026-04-02T10:55:00Z,7.11,92.52
2026-04-02T10:56:00Z,7.72,92.52
2026-04-02T10:57:00Z,11.75,91.51
2026-04-02T10:58:00Z,14.23,86.92
2026-04-02T10:59:00Z,12.53,86.25
2026-04-02T11:00:00Z,11.95,87.00
2026-04-02T11:01:00Z,18.42,84.08
2026-04-02T11:02:00Z,20.45,78.36
2026-04-02T11:03:00Z,19.19,79.04
2026-04-02T11:04:00Z,20.55,81.26
2026-04-02T11:05:00Z,18.79,84.19
2026-04-02T11:06:00Z,14.00,84.19
2026-04-02T11:07:00Z,8.89,88.07
2026-04-02T11:08:00Z,5.68,94.65
