# event_ticker=KXATPCHALLENGERMATCH-26MAR10PIRCOP
# final_score=6-1 4-6 7-5
# score_resolution=1-6 6-4 5-7
# match_winner=Kimmer Coppejans
# fav_player=Gabriele Piraino
# dog_player=Kimmer Coppejans
# kalshi_date=2026-03-10
timestamp,Gabriele Piraino,Kimmer Coppejans
2026-03-09T21:26:00Z,31.00,
2026-03-10T04:22:00Z,31.00,70.00
2026-03-10T04:29:00Z,31.00,70.00
2026-03-10T04:37:00Z,31.00,70.00
2026-03-10T04:45:00Z,31.00,70.00
2026-03-10T04:51:00Z,31.00,70.00
2026-03-10T05:00:00Z,33.00,70.00
2026-03-10T05:01:00Z,33.00,70.00
2026-03-10T05:03:00Z,33.00,70.00
2026-03-10T05:22:00Z,33.00,70.00
2026-03-10T05:23:00Z,33.00,70.00
2026-03-10T05:57:00Z,33.00,70.00
2026-03-10T06:09:00Z,33.00,70.00
2026-03-10T06:13:00Z,33.00,70.00
2026-03-10T06:20:00Z,32.00,70.00
2026-03-10T06:26:00Z,32.00,70.00
2026-03-10T06:30:00Z,32.00,70.00
2026-03-10T07:26:00Z,32.00,70.00
2026-03-10T07:27:00Z,32.70,70.00
2026-03-10T07:28:00Z,32.70,70.00
2026-03-10T07:30:00Z,32.70,70.00
2026-03-10T07:38:00Z,33.00,70.00
2026-03-10T07:40:00Z,33.00,70.00
2026-03-10T07:59:00Z,33.00,70.00
2026-03-10T08:02:00Z,33.00,70.00
2026-03-10T08:06:00Z,33.00,72.00
2026-03-10T08:09:00Z,31.00,72.00
2026-03-10T08:10:00Z,31.00,72.00
2026-03-10T08:11:00Z,37.98,70.12
2026-03-10T08:12:00Z,34.50,61.48
2026-03-10T08:13:00Z,25.00,75.73
2026-03-10T08:17:00Z,25.00,79.17
2026-03-10T08:18:00Z,26.00,79.17
2026-03-10T08:19:00Z,21.00,79.17
2026-03-10T08:21:00Z,17.00,79.17
2026-03-10T08:22:00Z,17.00,86.00
2026-03-10T08:23:00Z,17.00,87.50
2026-03-10T08:24:00Z,10.13,89.16
2026-03-10T08:25:00Z,9.00,91.00
2026-03-10T08:28:00Z,9.00,92.00
2026-03-10T08:29:00Z,9.00,92.00
2026-03-10T08:30:00Z,9.00,93.00
2026-03-10T08:31:00Z,8.00,93.00
2026-03-10T08:32:00Z,9.00,93.00
2026-03-10T08:33:00Z,9.40,91.00
2026-03-10T08:34:00Z,11.00,91.00
2026-03-10T08:36:00Z,9.00,91.00
2026-03-10T08:38:00Z,9.00,94.00
2026-03-10T08:40:00Z,7.00,94.00
2026-03-10T08:41:00Z,7.00,93.10
2026-03-10T08:42:00Z,5.15,95.00
2026-03-10T08:43:00Z,7.75,94.82
2026-03-10T08:44:00Z,7.01,94.00
